GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2546,183,1296,163,1250,210
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1802,110,1142,123,660,115
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2609,165,1364,187,1245,231
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",581,65,364,68,217,70
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2032,88,387,95,1645,114
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1695,102,821,117,874,91
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2038,146,1384,142,654,113
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3179,131,1917,189,1262,195
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2215,151,645,184,1570,192
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3138,161,1852,201,1286,208
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1350,78,841,101,509,116
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1468,139,1221,145,247,90
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",833,66,729,76,104,65
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2776,62,2224,129,552,111
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1908,198,781,147,1127,194
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1816,106,1516,119,300,105
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2531,98,1259,126,1272,129
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",2078,102,570,89,1508,133
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4781,266,1561,200,3220,238
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1435,69,760,81,675,86
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1405,114,917,99,488,127
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2141,84,1989,106,152,79
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1696,65,1496,101,200,97
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1055,109,713,108,342,106
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1585,103,352,102,1233,133
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",1959,129,459,102,1500,159
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1575,115,1299,121,276,104
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",850,49,648,87,202,82
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1004,92,406,76,598,109
