GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",1831,184
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia","2,000+",***
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",1731,107
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia","2,000+",***
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1694,113
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1540,95
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",1446,68
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",1411,76
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",1428,73
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",1906,89
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1427,111
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1579,228
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia","2,000+",***
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",1737,203
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1671,225
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1677,222
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",1592,164
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1823,127
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",1563,77
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1483,138
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",991,204
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia","2,000+",***
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1092,189
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1725,220
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1013,62
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",974,47
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",975,211
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",1107,659
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1046,92
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1028,118
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",982,103
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",944,95
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1784,267
