GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2423,189,145,88,0,12,89,72,0,12,56,52,2278,207
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1765,152,132,76,43,44,35,55,0,12,54,38,1633,162
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2493,139,101,60,15,25,61,46,0,17,25,29,2392,144
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",603,65,32,20,14,13,0,12,0,12,18,18,571,69
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1954,143,132,101,0,12,34,36,3,12,95,93,1822,168
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1647,107,170,70,26,24,68,45,17,20,59,38,1477,121
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2092,135,130,69,37,43,15,24,14,21,64,52,1962,161
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3275,203,125,90,8,14,51,69,0,12,66,60,3150,227
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2253,132,145,87,18,32,83,63,0,12,44,42,2108,155
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",2957,130,50,40,0,17,0,17,0,17,50,40,2907,129
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1321,89,79,50,11,17,23,18,0,12,45,42,1242,89
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1536,106,21,24,9,15,12,19,0,17,0,17,1515,111
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",794,64,45,33,13,15,0,12,0,12,32,29,749,73
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2834,98,95,77,0,17,52,59,20,23,23,36,2739,115
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1769,173,51,43,14,20,12,21,0,12,25,30,1718,165
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1992,120,62,46,38,35,0,12,13,20,11,19,1930,121
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2397,146,102,62,25,29,33,38,6,13,38,37,2295,139
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1965,111,91,61,0,12,0,12,0,12,91,61,1874,118
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4898,298,395,178,95,79,101,101,0,17,199,97,4503,347
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1425,63,19,18,0,12,7,11,5,8,7,10,1406,65
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1396,112,31,29,13,17,0,12,0,12,18,22,1365,112
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2012,131,29,34,17,27,12,20,0,17,0,17,1983,129
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1503,104,72,45,53,34,10,16,0,12,9,16,1431,102
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1285,80,140,72,36,31,64,63,0,12,40,38,1145,89
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1618,90,17,19,0,12,0,12,7,12,10,15,1601,91
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",2000,153,106,71,8,13,49,53,7,11,42,48,1894,167
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1455,94,22,19,0,12,14,17,8,13,0,12,1433,97
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",797,59,9,11,5,8,0,12,4,7,0,12,788,59
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",958,73,36,24,3,7,0,12,5,9,28,24,922,76
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1470,48,28,31,0,12,0,12,12,19,16,20,1442,58
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",2039,149,106,78,0,17,56,57,27,31,23,28,1933,155
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",2061,114,44,48,7,11,0,12,0,12,37,47,2017,130
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1061,102,7,13,7,13,0,12,0,12,0,12,1054,100
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1347,98,98,75,0,12,58,59,8,16,32,36,1249,110
