GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07
Id,Id2,Geography,Total:,Unmarried-partner households:,Unmarried-partner households: - Male householder and male partner,Unmarried-partner households: - Male householder and female partner,Unmarried-partner households: - Female householder and female partner,Unmarried-partner households: - Female householder and male partner,All other households
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2726,135,23,66,11,35,2591
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",58,0,0,0,0,0,58
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1888,85,14,34,8,29,1803
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2791,111,0,31,0,80,2680
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",686,22,16,0,0,6,664
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1762,161,33,50,8,70,1601
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1777,135,52,33,0,50,1642
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2104,139,7,43,28,61,1965
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",2920,94,24,26,0,44,2826
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2296,46,0,17,0,29,2250
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3269,90,14,44,0,32,3179
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1353,99,28,40,7,24,1254
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1484,23,4,13,0,6,1461
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",791,33,5,16,0,12,758
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2556,118,27,36,13,42,2438
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",2275,114,21,46,0,47,2161
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1857,79,29,32,12,6,1778
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2576,148,39,79,23,7,2428
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",2058,100,16,56,13,15,1958
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4653,262,26,106,0,130,4391
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1467,63,37,16,0,10,1404
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1242,51,9,14,14,14,1191
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2228,93,37,28,20,8,2135
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1635,17,6,0,0,11,1618
