GEO.id,HC03_VC73,HC03_EST_VC01,AIDS_Cases
11001000100,2.5,7,26
11001000201,5.8,-,-1
11001000202,2.7,14.4,14
11001000300,2.2,12,13
11001000400,1.3,4.9,6
11001000501,3.2,14.3,21
11001000502,4.6,7.2,12
11001000600,8.5,5.3,11
11001000701,10.3,1.5,28
11001000702,7,8.6,14
11001000801,2.6,7,15
11001000802,6.2,8.1,10
11001000901,3.8,4.9,10
11001000902,1,5.7,-1
11001001001,4.7,7.7,21
11001001002,12.5,15.9,12
11001001100,3.9,7.4,11
11001001200,3.3,9.7,27
11001001301,12.4,10.1,10
11001001302,5,6.4,20
11001001401,8.1,6.2,7
11001001402,22.9,6.8,15
11001001500,14.5,3,15
11001001600,73.2,3.9,35
11001001702,66.1,9.9,25
11001001803,76.6,14.3,66
11001001804,61.1,26.5,80
11001001901,83.4,10.6,53
11001001902,82.2,7.8,18
11001002001,54,7,53
11001002002,61.3,11.5,79
11001002101,66.9,17,102
11001002102,75.1,12.2,120
11001002201,76.6,3.5,58
11001002202,83.5,10.8,68
11001002301,78.6,12.3,55
11001002302,67,30.9,41
11001002400,79.3,12.7,79
11001002501,73.1,28.4,52
11001002502,44.2,11,105
11001002600,40.5,6,40
11001002701,21.7,12.5,97
11001002702,17,7.6,111
11001002801,42.8,20.9,87
11001002802,33.5,21.6,89
11001002900,35.9,18,90
11001003000,49.8,23.1,79
11001003100,40.5,7.8,66
11001003200,62.5,20.5,97
11001003301,71.9,22.4,96
11001003302,64.2,18.9,78
11001003400,81.1,34,93
11001003500,70.4,31.9,81
11001003600,51.2,19.5,115
11001003700,56.5,26.2,120
11001003800,23.1,5.9,118
11001003900,18.2,5.1,96
11001004001,1.3,3.7,33
11001004002,8.5,5.5,61
11001004100,3.7,4.2,46
11001004201,12.2,19.6,128
11001004202,2.3,4.8,81
11001004300,29,19.3,97
11001004400,30.1,12.3,151
11001004600,72.9,19.1,124
11001004701,88.2,49,85
11001004702,58.9,33.1,35
11001004801,55.6,14.4,91
11001004802,60.6,13.7,75
11001004901,56.1,24.3,77
11001004902,32.1,17.3,87
11001005001,31,10.3,89
11001005002,20.8,11.8,164
11001005201,14.8,11.9,231
11001005301,16.6,16.7,146
11001005500,8.5,12.8,83
11001005600,7.7,26.2,38
11001005800,6.8,5.6,29
11001005900,39.8,44.4,79
11001006202,-,-,-1
11001006400,89.1,31.1,60
11001006500,3.1,1.3,33
11001006600,0,8.7,15
11001006700,15.4,4.6,49
11001006801,70,17.9,63
11001006802,63.9,2.7,53
11001006804,92,91.2,572
11001006900,35,9.1,41
11001007000,11.3,10.7,42
11001007100,71.4,45.4,86
11001007200,58.2,11.7,49
11001007301,24.4,1.4,-1
11001007304,99.4,38.2,87
11001007401,94.4,57.3,74
11001007403,99.5,35.7,70
11001007404,98.9,48.8,90
11001007406,100,47.2,44
11001007407,99.7,31.7,67
11001007408,97.8,53.3,89
11001007409,98.7,34.2,87
11001007502,98.7,37.8,110
11001007503,100,37.8,76
11001007504,97.9,47.6,80
11001007601,97.6,19.4,111
11001007603,89.4,12.5,66
11001007604,93.5,21.2,87
11001007605,96.1,28.5,85
11001007703,94.3,26.3,111
11001007707,97.9,16.1,87
11001007708,98.5,32,73
11001007709,95,16.1,50
11001007803,98.2,25.9,94
11001007804,99.1,35.8,82
11001007806,91,23,37
11001007807,98.9,27.9,49
11001007808,97,39.2,90
11001007809,99,35,63
11001007901,88,37.7,105
11001007903,95.4,16.1,51
11001008001,52.9,11.7,64
11001008002,40.7,7.5,74
11001008100,19.4,6.6,57
11001008200,3.7,13,18
11001008301,14.6,7.3,51
11001008302,12.3,2.8,43
11001008402,49.6,19.7,86
11001008410,81.2,14.5,63
11001008701,92.1,8.3,74
11001008702,81.3,16.8,69
11001008802,87.9,27.4,124
11001008803,63.1,32.9,49
11001008804,98.2,40.3,70
11001008903,97.5,29.4,56
11001008904,97.9,25.8,109
11001009000,97.6,16.9,46
11001009102,90.9,32.8,88
11001009201,64.8,19.4,32
11001009203,77.2,12.4,72
11001009204,87,24.4,67
11001009301,72.9,23.2,49
11001009302,80.5,4.4,32
11001009400,88,8.7,73
11001009501,53.5,19.7,73
11001009503,82.2,8.8,38
11001009504,76,13,54
11001009505,88.8,6.2,33
11001009507,91,4.4,22
11001009508,91,9,38
11001009509,88.7,5.5,31
11001009601,100,45.6,33
11001009602,98.5,41.8,69
11001009603,99.3,15.2,95
11001009604,99.5,20.1,37
11001009700,99.6,31.8,63
11001009801,98.4,39.6,38
11001009802,98.5,45.6,45
11001009803,98.6,24.3,49
11001009804,98.5,24.5,44
11001009807,98.7,14.5,71
11001009810,98.8,34.9,55
11001009811,100,46.2,96
11001009901,94.4,6,33
11001009902,94.3,23.4,49
11001009903,98.5,24.3,32
11001009904,97.7,23.8,55
11001009905,97.1,18.1,52
11001009906,93.5,13.1,28
11001009907,97.6,40.7,59
11001010100,20.2,14,68
11001010200,44.9,10.6,45
