GEO.id,ACS_MA,ACS_TP,ACS_MP,ACS_MPp,ACS_FP,ACS_FPp,ACS_AAP,ACS_AAPp,a_e1824,a_e24lm,a_e24lf,a_nh24l,a_nh24lm,a_nh24lf,a_hs24l,a_hs24lm,a_hs24lf,a_as24l,a_as24lm,a_as24lf,a_ba24l,a_ba24lm,a_ba24lf,a_hs34l,a_hs34lm,a_hs34lf,a_ba34l,a_ba34lm,a_ba34lf,a_hs44l,a_hs44lm,a_hs44lf,a_ba44l,a_ba44lm,a_ba44lf,acs_e,acs_elfp,acs_ue,acs_uep,asc_nlf,acs_nlfp,acs_e16f,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000,acs_mgr,ACS_MOC,ACS_MO,ACS_FOC,ACS_FO,ACS_MRC,ACS_MR,ACS_FRC,ACS_FR,ACS_OO,ACS_RO,ACS_BPL,ACS_BPLp,ACS_BPLM,ACS_BPLMp,ACS_BPLF,ACS_BPLFp,DEC_MI,ACS_SSM,ACS_SSMF,ACS_SSF,ACS_SSO,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
1400000US11001000100,42,4784,2372,49.6,2412,50.4,90,1.9,446,222,224,0,0,0,6.3,6.3,6.3,26.2,34.7,17.9,67.5,59,75.9,100,100,100,94.5,100,89,100,100,100,89.4,81.4,100,3084,71.3,105,2.4,1119,25.9,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,32,31,130,28,116,124,818,1485,0,0,45,0,53,0,0,14,1296,1250,334,7,126,5.3,208,8.6,109947,71,42,0,2372,-3.914344344,-5.343579836,-11.05261191,-2.108180087,-0.589587658,-1.372077737,-5.418995648
1400000US11001000201,19.4,4227,2024,47.9,2203,52.1,246,5.8,4160,2009,2151,0,0,0,11,8.4,13.5,89,91.6,86.5,0,0,0,100,100,100,57.1,100,55.6,NA,NA,NA,NA,NA,NA,994,23.5,0,0,3233,76.5,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,-3.182336847,-6.023178408,-11.05178714,-3.318723721,0.080642242,0.889292811,0.586414356
1400000US11001000202,27.8,4553,2214,48.6,2339,51.4,88,1.9,1556,676,880,0,0,0,13,1.5,21.8,81.5,97.3,69.3,5.5,1.2,8.9,98.7,97.3,100,98.7,97.3,100,100,100,100,90.6,91.6,89.4,2377,56.1,51,1.2,1808,42.7,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,22,269,180,605,2000,0,11,10,0,0,0,10,0,1142,660,495,14.4,197,11.5,298,17.4,120114,24,46,0,1686,-3.425575724,-5.455432462,-13.03121388,-2.78399508,0.46268217,-2.985065445,-3.189542181
1400000US11001000300,30.3,5664,2851,50.3,2813,49.7,106,1.9,960,453,507,5.1,2.4,7.5,2.2,4.6,0,26.1,38.9,14.8,66.6,54.1,77.7,100,100,100,92.7,90.2,95.5,100,100,100,85.7,93.2,75.6,3806,75.5,139,2.8,1075,21.3,2481,0,19,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,14,16,134,47,312,544,245,1767,26,12,79,0,12,35,0,22,1364,1245,681,12,323,11.3,358,12.7,101250,52,40,0,2484,-3.675242969,-5.982534045,-11.52568505,-2.086819767,-0.01730241,-3.512466872,-4.783396248
1400000US11001000400,40.7,1296,651,50.2,645,49.8,17,1.3,87,49,38,35.6,63.3,0,21.8,0,50,20.7,36.7,0,21.8,0,50,100,100,100,100,100,100,100,100,100,95.8,92.6,100,843,73.6,0,0,303,26.4,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,37,90,184,1528,0,16,8,0,0,0,0,0,364,217,63,4.9,49,7.5,14,2.2,158580,0,0,0,559,-3.331985719,-1.840298154,-11.01545499,-1.886612367,0.326392842,-0.02015495,0.056671544
1400000US11001000501,30.5,3388,1358,40.1,2030,59.9,85,2.5,758,179,579,0,0,0,22.6,6.1,27.6,7.4,10.1,6.6,70.1,83.8,65.8,100,100,100,96.1,91.4,100,100,100,100,88.3,89.5,87.5,2423,74.9,113,3.5,700,21.6,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,58,143,58,86,1648,0,0,13,0,0,0,0,15,387,1645,459,14.3,92,7,367,19.3,87415,0,61,0,1885,-3.335991411,-4.585790414,-11.2514225,-2.220777461,-1.08442167,-2.630109454,-2.941609426
1400000US11001000502,39.5,3241,1426,44,1815,56,124,3.8,267,81,186,9.7,32.1,0,3.7,12.3,0,0,0,0,86.5,55.6,100,100,100,100,98,94.2,100,95.6,95.1,96,76.2,90.6,64.4,2152,76.4,21,0.7,643,22.8,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,105,50,159,120,374,1319,0,0,13,12,0,0,28,7,821,874,234,7.2,88,6.2,146,8,95694,29,49,14,1532,-3.628064154,-3.577446515,-10.20831006,-1.876969134,-0.113340173,-0.979536743,-4.443439519
1400000US11001000600,48.2,4777,2141,44.8,2636,55.2,388,8.1,302,73,229,8.6,0,11.4,10.3,16.4,8.3,22.8,56.2,12.2,58.3,27.4,68.1,100,100,100,98.9,97.4,100,99,100,98.2,94.8,95.6,94.2,2521,59.7,82,1.9,1591,37.6,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,196,43,120,182,717,1452,0,0,72,18,0,0,0,0,1384,654,216,5.3,53,2.8,163,7.6,115648,34,0,24,1919,-4.231713297,-5.623158026,-11.16439766,2.358525344,1.036471849,-0.6343619,-4.401305422
1400000US11001000701,49.3,4585,1971,43,2614,57,249,5.4,319,73,246,6.6,0,8.5,0,0,0,0.9,0,1.2,92.5,100,90.2,100,100,100,89.7,78.8,97.4,100,100,100,93.9,100,89.9,3111,71,70,1.6,1202,27.4,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,76,156,190,511,152,384,152,235,1277,0,14,9,31,0,0,39,11,1917,1262,69,1.5,0,0,69,2.6,79649,63,77,16,2957,-4.182036342,-5.445023729,-10.62276334,0.771529807,0.441327711,0.457650743,-7.980452781
1400000US11001000702,30.3,3106,1324,42.6,1782,57.4,217,7,556,288,268,0,0,0,4.9,6.3,3.4,2.5,4.9,0,92.6,88.9,96.6,100,100,100,86.4,84.4,88.2,96.3,100,95.5,96.3,100,95.5,2460,80.6,145,4.7,449,14.7,1755,0,0,0,0,0,11,0,0,0,32,0,0,0,0,0,0,18,54,140,255,125,0,10,0,1298,0,0,0,0,0,14,25,9,645,1570,267,8.6,133,10,134,7.5,63794,0,32,0,2091,-3.36969392,-4.454681044,-10.91189671,-2.01841639,-1.133276675,-1.35206103,-2.308815075
