2010,2000,DEC_MA,DEC_TP,DEC_MP,DEC_MPP,DEC_FP,DEC_FPP,DEC_AAP,DEC_AAPP,DEC_LF,DEC_LFP,DEC_EM,DEC_EMP,DEC_UE,DEC_UEP,DEC_NLF,DECNLFP,DEC_FLF,DEC_FLFP,D_E1824,D_E24LM,D_E24LF,D_NH24L,D_NH24LM,D_NH24LF,D_HS24L,D_HS24LM,D_AS24L,D_AS24LM,D_AS24LF,D_BA24L,D_BA24LM,D_BA24LF,D_HS34LM,D_HS34LF,D_BA34L,D_BA34LM,D_BA34LF,D_HS44L,D_HS44LM,D_HS44LF,DEC_10KL,DEC_1015,DEC_1519,DEC_2025,DEC_2530,DEC_3035,DEC_3540,DEC_4050,DEC_5059,DEC_6069,DEC_7079,DEC_8089,DEC_9099,DEC_1124,DEC_12549,DEC_15074,DEC_17599,DEC_20049,DEC_25099,DEC_30099,DEC_40099,DEC_500749,DEC_750999,DEC_1000,DEC_MGRP,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_BPLMP,DEC_BPLFP,DEC_MI,AREA,PERCENTAGE
1400000US11001000100,1400000US11001000100,40.7,4674,2194,46.9,2480,53.1,188,4,3128,73.1,3066,71.6,58,1.4,1152,26.9,1528,67.2,288,122,166,72,41,31,0,0,54,46,8,162,35,127,100,100,98.7,100,97.4,96.7,98.7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,35,10,18,43,0,25.8,0,26,0,10,0,17,0,10,1447,1277,23,66,11,2591,243,5.2,84,8.1,106,7.9,92540,0.000229998,94.34436557
1400000US11001000100,1400000US11001000202,32.9,3850,1912,49.7,1938,50.3,61,1.6,2425,68.1,2413,67.8,12,0.3,1136,31.9,1111,60.9,1101,422,679,0,0,0,39,8,484,251,233,578,163,415,100,100,99.3,98.8,100,98,97.3,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50,9,5,0,7,35,20,0,14,1075,839,14,34,8,1803,944,24.5,325,33.1,582,48.3,90653,6.26E-06,2.568132279
1400000US11001000100,1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,0,0,0,53,11,42,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,6.16E-06,2.528080736
1400000US11001000100,1400000US11001004100,42.8,2570,1238,48.2,1332,51.8,98,3.8,1850,77.4,1813,75.8,22,0.9,541,22.6,882,69.7,127,56,71,8,0,8,10,10,6,0,6,103,46,57,97.8,98.1,92.3,87.1,97.2,95.3,92.6,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,7,7,0,0,12,7,8,728,853,48,19,26,1437,92,3.6,55,9,23,3.1,88170,1.08E-06,0.442655951
1400000US11001000100,1400000US11001005600,29,5946,2576,43.3,3370,56.7,359,6,3392,57.8,3240,55.2,152,2.6,2474,42.2,1752,53.9,2367,1003,1364,9,0,9,353,175,1594,655,939,411,173,238,96.2,100,94.9,90.6,100,95.6,95.3,95.9,0,0,0,0,0,0,0,0,0,20,0,26,0,0,6,6,0,0,0,0,0,0,0,0,25.8,0,0,0,14,24,36,11,50,1237,2319,31,51,7,3335,1192,24.6,365,24.6,780,37.4,39286,1.45E-07,0.059424681
1400000US11001000100,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,1.11E-07,0.045468053
1400000US11001000100,1400000US11001006202,47,12,5,41.7,7,58.3,5,41.7,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,8,0,18,135,227,267,127,45,12,18,0,0,0,0,0,6,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,-9999,0,-9999,0,2.89E-08,0.011873157
1400000US11001000201,1400000US11001000201,19.9,4467,2019,45.2,2448,54.8,240,5.4,2415,54.1,2322,52.1,93,2.1,2045,45.9,1334,56.7,4284,2087,2197,0,0,0,266,130,3993,1957,2036,25,0,25,100,-9999,100,-9999,100,100,-9999,100,0,0,0,0,0,0,0,0,7,0,0,0,0,12,10,19,56,57,137,106,83,39,0,0,20.9,0,0,0,0,0,0,0,0,20,10,0,0,0,58,143,71.1,0,0,143,79.9,87904,4.88E-05,85.27946495
1400000US11001000201,1400000US11001000802,34.3,2806,1370,48.8,1436,51.2,93,3.3,1776,71.1,1749,70,27,1.1,723,28.9,834,64.3,325,125,200,20,20,0,13,0,60,38,22,232,67,165,100,98.7,98,96.2,100,98.9,100,97.8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,7,0,22.5,0,10,13,15,6,5,13,30,750,598,28,40,7,1254,377,13.4,125,20.1,196,28.9,76919,7.65E-06,13.35640413
1400000US11001000201,1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,4020,74.8,3922,73,84,1.6,1355,25.2,2067,73.9,1248,588,660,55,16,39,69,42,455,313,142,669,217,452,100,100,97.6,95.5,100,97.2,98.1,96.5,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0,27.9,0,32,10,10,22,47,18,30,1314,1464,0,31,0,2680,898,15.6,350,21.3,371,21,73558,7.81E-07,1.36413228
