,GEO_ID_1,B_DEC_TP,B_DEC_1759,B_DEC_1507,B_D_E1824,B_DEC_MP,B_DEC_NLF,B_DEC_MO,B_DEC_MI,B_DEC_7079,B_DEC_MPP,B_DEC_MA,B_DEC_BPL,B_DEC_FLFP,B_DEC_2004,B_D_NH24L,B_DEC_EM,B_DEC_8089,B_DEC_10KL,B_DEC_EMP,B_DEC_4050,B_DEC_SSMF,B_DEC_1519,B_DEC_2509,B_DEC_SSF,B_DEC_1254,B_DEC_SSM,B_DEC_SSO,B_DEC_AAP,B_DEC_MR,B_DEC_LF,B_DEC_BPLP,B_DEC_7509,B_DEC_1015,B_DEC_BPLF,B_D_HS34LF,B_DEC_5007,B_DEC_BPLM,B_D_HS34LM,B_D_BA24L,B_DEC_MOC,B_DEC_FPP,B_DEC_OO,B_DEC_RO,B_DEC_3009,B_DEC_2025,B_DEC_2530,B_D_E24LM,B_DEC_MRC,B_DEC_3540,B_DEC_1000,B_D_HS24LM,B_DEC_LFP,B_D_AS24LM,B_DEC_1124,B_D_AS24L,B_D_AS24LF,B_D_HS44L,B_D_NH24LF,B_DEC_9099,B_D_NH24LM,B_DEC_5059,B_DEC_AAPP,B_DEC_FOC,B_DEC_UE,B_DEC_UEP,B_D_HS44LF,B_DEC_3035,B_DEC_6069,B_D_E24LF,B_D_BA34LF,B_DEC_FO,B_DECNLFP,B_D_HS24L,B_D_BA34LM,B_D_BA34L,B_D_BA24LM,B_DEC_FRC,B_D_HS44LM,B_DEC_MGRP,B_DEC_FLF,B_DEC_4009,B_D_BA24LF,B_DEC_FP,B_DEC_FR
0,1400000US11001000100,659.165645413,0.162544499857,0.0839960317181,47.5080001314,310.270131309,164.54180805,0.287847984057,13736.3814598,0.0027056067115,321.0,5.9415420657,39.7025330029,-9615.0,1.1868116474,9.50269594721,430.714461811,0.27332016719,0.0,-9587.2,0.0,9.0003429376,0.0,0.0,1.55983287304,1.3681165939,3.32659438775,362.138946965,25.9195943055,0.0180410715279,439.12896658,-9932.1,5.66259678306,0.0,1.30902533859,14.6410775071,2.42047669978,13.6829824671,14.6391536813,26.1634681654,0.0768307533349,379.0,202.673636175,178.202383439,4.61017903966,0.0,0.0,19.6986113261,0.0134162209674,0.0,2.05930842051e-05,0.151852113365,-9577.8,8.134793935,1.75197377215,11.278583252,3.14378931701,14.1801235157,4.1014540083,0.145780432139,5.40124193891,0.00173816933077,66.3,3.47386622423,7.85806941885,-9990.7,13.9697754447,0.0,0.00840881920083,27.8093888053,14.2979583147,2.49644071561,-9820.2,0.563252766792,14.6084516497,14.4526087627,6.01072333882,1.37285649497,14.4308450517,3.97161209635,213.753795334,1.31766056912,20.1527448266,348.895514104,1.48524325822
1,1400000US11001000201,1434.30871558,17.5124059791,6.0005315119,1341.79778491,649.45285147,647.981594488,0.113801040126,28341.0290554,0.0524848803815,140.4,6.61583414745,50.5187876385,194.9,17.8116492543,0.333516666754,750.806822795,0.0199942401453,0.0,195.1,0.0,0.469590212073,0.0,42.8540442807,0.0686196930141,3.14238955351,0.274478772057,37.0716994808,76.1665577189,0.172423613068,780.308218002,100.1,0.0686196930141,0.0,0.25027121147,-3115.86754798,12.5695654961,2.10009966733,32.4041768639,11.7397628982,0.0,159.6,16.8709574163,12.638425046,33.0843940656,0.014995680109,0.0,653.295630732,0.152429372922,0.0,0.0,40.6311275541,200.0,611.229326178,3.77586602425,1246.50186481,635.272538634,32.3863957853,0.0974719207085,0.0249928001817,0.236044746045,2.18217772733,11.8,0.178005093459,29.4664052863,4.8,32.3738631946,0.0,0.0882253195896,688.502154177,32.4041768639,0.166480227293,100.0,83.2226405327,-3115.90330178,32.3785729653,1.19913225422,0.172034999498,-3115.85955296,6.80565242595,429.202284974,26.2665055842,10.540630644,784.855864113,0.369062799177
2,1400000US11001000202,682.672256145,0.643846954975,0.259922210724,224.407653872,336.403368652,208.133398377,5.6088771611,15829.9458125,0.0369382431509,285.8,5.65473550796,154.463800964,375.6,0.64786515743,0.213531107329,423.307339678,0.0149082320036,0.0,398.3,0.0,5.64889820905,0.0,1.5630194316,1.30341285769,0.128665228661,2.35826944072,297.580092464,13.0592974272,0.0943470682895,426.531418784,132.8,0.0459064388906,0.0,5.37706475847,-91.443701058,1.73691794649,52.6958177226,17.5997349923,94.1203670433,1.42486898361,314.2,176.753533396,138.760973792,1.18249885122,0.0105537837574,0.0,91.0152013707,0.080275356613,0.0,0.0,2.74401435335,405.3,61.6141967917,0.158241867315,120.842931052,59.2287342602,17.2719191579,0.0773607648706,0.0180442702082,0.136170342458,0.0755777970443,21.8,0.903448587249,3.19832313718,6.7,17.359910888,0.0,0.0433978040889,133.392452502,17.5990001845,3.27821582236,194.7,9.23082466993,-91.6536538725,17.4746789753,26.5208198832,1.20097692879,-91.8686298946,8.30697558154,198.390824787,1.09184204968,67.5995471601,346.268887493,2.41680823928
3,1400000US11001000300,1112.85777143,4.23253328556,5.90740472186,241.675749057,516.056021174,264.163111485,4.23976885654,14458.0894162,3.99989006193,227.5,6.06050781789,175.355554255,332.1,3.2709131995,10.5459143766,764.192896558,1.5917259617,0.0,336.7,0.0,6.12543723002,0.0,4.41800718517,0.0238032284668,1.93919198385,0.0962194558962,525.79231768,34.7343324593,3.67123187321,783.333407593,58.4,0.0238032284668,0.0,4.25228037693,19.8677055223,0.143445186199,68.067684753,19.8710542558,129.862398649,0.0,272.5,255.254667107,289.780841307,3.05360569465,1.14345154738,0.0,113.235646822,1.99236203184,0.0,0.0,8.18923726531,356.5,59.982749975,2.81183878553,87.8046595393,27.8219095643,19.3026410139,7.42880532866,1.9821514957,3.11710904797,0.0,21.7,6.23382971238,16.4718524693,18.9,19.1804930073,0.000438070779103,0.0306041508859,128.440102234,19.8632115317,8.97019003008,143.5,13.462776492,18.9909820802,19.3984149696,41.9465505341,2.18949623726,19.453738654,5.50301441155,403.67781659,0.137958476118,87.9158481148,596.80175026,6.22261386727
4,1400000US11001000400,278.995623568,4.78897034509,2.68901185647,15.7922242983,134.403227194,82.4824744259,0.894269037014,21197.779946,0.163109255806,266.1,7.56029319654,10.001995819,415.8,0.200842095539,0.349337254689,158.910059689,7.38781665446,0.0,430.8,0.0,0.388688994601,0.0,0.0998947210182,0.0467895142245,5.77410585701,2.92633415266,125.240071538,12.4808928907,0.172974336475,159.89541365,52.7,0.0,0.0528981233703,0.456316735157,16.9153655913,0.0,2.00123477296,16.9088903047,10.7869445304,0.133139159261,333.9,81.2413604211,46.1052832092,0.0322507473239,0.00881010438402,0.0,3.6764174754,0.0178222496012,0.0528981233703,0.0,0.169498868183,440.0,0.613754008283,9.40630217553,1.09263786028,0.478883851994,16.7223310888,0.137705655716,4.35311688216,0.211631598973,0.0137612131378,34.4,0.27579024675,0.946781974874,8.6,16.8441977087,0.0,0.0595103887915,12.1158068229,16.9235325389,2.48385594255,160.0,3.56330465296,16.9013812323,16.9123197515,2.68153299997,0.055068625706,16.6544280652,4.8313466375,71.9560962654,0.0167640566566,8.1054115304,144.592396374,1.0652641746
5,1400000US11001000501,466.386529112,4.24678410375,5.63779124309,63.6280540973,202.286238098,87.4361553813,0.129877308714,10438.5183685,2.60337646796,281.9,5.2496732644,30.5210843891,432.7,1.89415043189,3.97302642818,342.010819282,10.2078555537,0.0,446.7,0.0,8.00422884589,0.00699359894585,0.238788638999,1.44806567547,11.5269206144,5.26738497015,263.484480633,28.1240125371,0.890937384868,355.751401474,44.5,0.0182060543058,0.0317924160979,1.43739839393,14.9218498145,0.0719543745476,11.6175655682,15.1495142702,34.4565174633,1.04048417111,318.1,57.1308137636,233.34869546,1.12310685527,0.0,0.0,26.0292276012,0.218284538769,0.0317924160979,0.00699359894585,2.28442431433,460.4,5.94997733847,18.7310499605,22.4916866316,16.5417092932,14.8992198576,0.42960207841,8.22679961982,3.54342434977,1.62401693984,57.6,1.10932655848,12.7797092989,12.6,14.3311531504,0.0,0.0753413486861,37.5988264961,15.8913031105,0.376090686103,139.6,2.7068235742,15.8615396701,15.8749149704,14.2514015986,0.420250750588,15.7847100064,4.57091847188,199.42512458,0.787697686638,20.2051158646,264.100291014,5.27871639957
6,1400000US11001000502,767.889533865,4.04111501047,9.6988650916,44.1633922067,342.661468177,138.20362022,1.72125982811,16361.8140687,3.61570792643,170.4,9.26728927788,32.9324274562,286.4,5.48831247261,7.70081497978,550.409922917,0.271602337035,0.0,294.5,0.0,8.20696723693,0.00629122336694,2.34120542208,0.164105360148,17.2262340327,12.3485619981,403.57445506,23.2974291721,4.6940945447,557.97284824,19.4,0.0,1.87296433767,2.8359655466,24.3156475157,0.0080887157575,17.3956506407,24.2902925647,28.0791844225,4.46956128173,229.6,207.763634858,215.888719578,0.0248161430654,0.0,0.0,26.1268331452,0.0,1.87296433767,0.00629122336694,2.22684059921,301.1,3.23492794804,24.3324910267,6.05275646824,2.8178285202,22.9128408575,1.77118306877,9.161553177,5.92963191101,0.0389967962456,26.2,6.05496344468,7.49478161133,6.2,22.3578792758,0.0,2.10708487987,18.0365590615,24.341245362,5.39345857091,98.9,2.33063633624,24.2845237395,24.3131269508,14.735432687,0.106137704679,23.616868957,6.56081619094,295.172439906,0.0565098318433,13.3437517355,425.228065688,3.27051618429
7,1400000US11001000600,1624.75665035,7.11187853876,34.4964217378,102.248903636,685.977487286,517.878965175,5.48752354218,29128.2983953,2.82944909537,128.1,14.8747484141,69.2398460585,205.8,2.51202639151,10.0646448463,912.703772314,1.61609711903,0.0,216.8,0.0,14.8151536867,0.0441809549351,0.850106584179,8.98546370992,81.330485348,2.67463525204,664.767403395,202.654484881,0.312453063956,923.857409197,16.3,0.365466381983,0.0,2.71536080488,32.675341976,2.33699651164,18.735877613,30.6545498725,73.3171028991,0.135063662907,171.9,442.472272954,288.526959741,5.29131761741,0.0,0.0,29.6786317203,0.0556144494323,0.0,0.1554098538,4.81086568802,220.5,2.26134943783,90.8337834372,7.93739906305,5.67604962522,31.2843482193,8.39293327787,16.024199219,1.67171156846,0.0,24.5,12.3199741505,8.58176693589,3.5,31.1583126269,0.0,0.0,72.5702719154,32.8012070371,13.516776084,79.5,10.9297568272,29.1149782917,30.9746063182,20.934705026,6.03773361732,31.473728279,6.46554484101,503.54836192,7.59187060358,52.3823978731,938.779163066,21.5085226235
8,1400000US11001000701,740.138043804,7.50148521451,1.3608239275,69.0043986041,300.506761662,234.656433246,0.0407547877268,9115.01441541,0.00168671275057,257.3,7.49239343084,44.9597474692,381.0,0.853569738385,7.48263342367,447.057303783,0.10574032657,0.0,390.7,0.0,4.44126553333,0.0172700609149,5.41680148059,0.00524755077957,9.1463312543,3.99420237466,475.16325969,27.4274620156,5.33281028554,465.348966562,58.1,0.0,0.0,1.75521182188,16.6892754699,0.00327130390488,14.5526840184,16.9934271767,39.9547672514,0.0230267478865,342.7,237.286436169,252.954196394,2.64140572768,0.00327130390488,0.0230267478865,27.333845812,0.0241882292277,0.0,0.0143917174291,2.47790076275,413.0,5.60164264137,1.81369132365,18.9648806454,13.3632380041,16.4048015507,3.00061284795,3.40230609733,4.48202057572,0.0259050913724,38.0,2.91444984167,18.2505847405,21.2,16.2283757836,0.00228991273342,0.0,41.6705527922,16.0798854712,5.61588682237,187.0,2.60211728366,16.4526672725,16.225578538,14.7722818321,0.243914639605,16.693015558,4.99536776478,267.444382111,1.31647738223,25.1824854192,439.631282142,13.8599756834
9,1400000US11001000702,826.212760941,2.17619536218,0.101125071948,141.892488548,343.01337513,182.547277305,1.47839957089,9296.00136049,0.0483971947534,177.2,7.71349504558,151.316591465,264.5,1.49146685448,0.34845782285,564.362699525,3.35002889858,0.0,274.7,0.0,4.24455971567,0.0,0.215588845849,0.0,1.94017515324,0.118380208418,555.475544165,53.7725145555,9.95477789037,581.300750971,43.4,0.0,0.0,6.30817758439,24.2709402375,0.0,49.0370807755,24.2327125595,83.1147207897,0.0,222.8,123.323230028,445.189704895,0.115701880759,0.0138277699296,0.0,40.6852390619,2.16452799854,0.0,0.0,9.44552283839,281.6,11.3435437445,7.19069415556,44.8763593763,33.5328156319,22.6628752147,0.178561810607,3.92394928821,0.169896012243,0.0,17.7,5.15429334221,16.9057866493,6.6,23.3934718302,0.0,0.0,101.207249486,23.8244149593,0.275947823416,118.4,13.5529505588,23.7064044257,23.7757294341,19.7262764668,11.4442820983,21.4841002542,5.65876756594,357.116277675,0.0394139138066,63.3884443229,483.199385811,20.2223950006
