GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population for whom poverty status is determined
HC01_MOE_VC01,Total; Margin of Error; Population for whom poverty status is determined
HC02_EST_VC01,Below poverty level; Estimate; Population for whom poverty status is determined
HC02_MOE_VC01,Below poverty level; Margin of Error; Population for whom poverty status is determined
HC03_EST_VC01,Percent  below poverty level; Estimate; Population for whom poverty status is determined
HC03_MOE_VC01,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined
HC01_EST_VC03,Total; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
HC01_MOE_VC03,Total; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
HC02_EST_VC03,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
HC02_MOE_VC03,Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
HC03_EST_VC03,Percent  below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
HC03_MOE_VC03,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
HC01_EST_VC04,Total; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
HC01_MOE_VC04,Total; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
HC02_EST_VC04,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
HC02_MOE_VC04,Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
HC03_EST_VC04,Percent  below poverty level; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
HC03_MOE_VC04,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
HC01_EST_VC05,Total; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
HC01_MOE_VC05,Total; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
HC02_EST_VC05,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
HC02_MOE_VC05,Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
HC03_EST_VC05,Percent  below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
HC03_MOE_VC05,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
HC01_EST_VC06,Total; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
HC01_MOE_VC06,Total; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
HC02_EST_VC06,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
HC02_MOE_VC06,Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
HC03_EST_VC06,Percent  below poverty level; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
HC03_MOE_VC06,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
HC01_EST_VC08,Total; Estimate; Population for whom poverty status is determined - SEX - Male
HC01_MOE_VC08,Total; Margin of Error; Population for whom poverty status is determined - SEX - Male
HC02_EST_VC08,Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male
HC02_MOE_VC08,Below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Male
HC03_EST_VC08,Percent  below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male
HC03_MOE_VC08,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Male
HC01_EST_VC09,Total; Estimate; Population for whom poverty status is determined - SEX - Female
