GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",1485,127
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia","2,000+",***
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",1767,242
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1528,225
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1648,131
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1319,84
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",1452,80
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",1277,100
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",1298,82
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",1775,90
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1237,105
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1591,533
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2000,715
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",1615,316
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1481,143
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1643,439
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",1559,168
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1714,160
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",1560,73
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1406,173
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",891,105
