GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2453,186,87,58,41,52,25,28,0,18,21,29,2366,195
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1834,126,164,76,61,48,40,47,0,13,63,41,1670,141
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2466,161,133,69,12,20,78,53,0,18,43,41,2333,171
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",612,51,44,33,12,19,0,13,0,13,32,31,568,64
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1988,142,151,83,0,13,53,49,17,28,81,64,1837,150
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1662,97,138,63,22,26,71,57,6,10,39,31,1524,112
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2070,124,92,63,17,26,0,13,17,26,58,51,1978,142
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",2958,184,138,96,20,31,59,90,13,22,46,41,2820,198
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2270,121,71,55,0,13,28,34,0,13,43,41,2199,129
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3337,192,99,63,0,18,11,18,0,18,88,62,3238,206
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1317,84,66,43,0,13,20,19,0,13,46,41,1251,95
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1499,124,48,41,48,41,0,18,0,18,0,18,1451,116
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",818,58,46,34,19,19,0,13,0,13,27,28,772,67
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2829,78,94,70,12,19,17,27,26,30,39,51,2735,84
