GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2423,189,1259,208,1164,192
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,12,0,12,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1765,152,1184,142,581,122
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2493,139,1452,148,1041,163
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",603,65,455,59,148,57
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1954,143,299,113,1655,156
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1647,107,838,88,809,104
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2092,135,1449,141,643,136
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3275,203,1500,234,1775,197
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2253,132,525,126,1728,167
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",2957,130,2051,187,906,192
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1321,89,841,91,480,101
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1536,106,1240,92,296,83
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",794,64,707,61,87,43
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2834,98,2220,164,614,150
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1769,173,758,146,1011,176
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1992,120,1500,147,492,122
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2397,146,1311,128,1086,156
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1965,111,589,97,1376,123
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4898,298,1509,243,3389,315
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1425,63,768,79,657,92
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1396,112,845,90,551,124
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2012,131,1924,149,88,50
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1503,104,1319,106,184,85
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1285,80,739,87,546,88
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1618,90,295,71,1323,117
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",2000,153,487,109,1513,188
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1455,94,1168,131,287,95
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",797,59,646,70,151,76
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",958,73,412,67,546,96
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1470,48,993,99,477,106
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",2039,149,1076,166,963,161
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",2061,114,1038,112,1023,139
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1061,102,820,107,241,76
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1347,98,619,111,728,118
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1047,86,781,92,266,88
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",824,106,160,72,664,121
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1342,80,773,114,569,117
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",955,83,479,83,476,93
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",2169,149,658,149,1511,191
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",973,82,755,63,218,67
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2551,176,668,148,1883,228
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2180,161,894,141,1286,168
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1771,95,381,105,1390,126
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2035,113,300,78,1735,128
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1595,93,701,105,894,128
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1460,99,405,92,1055,115
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",995,89,540,100,455,94
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1730,127,996,121,734,128
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1431,105,986,143,445,113
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",917,74,543,95,374,101
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1270,113,718,137,552,122
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",1072,78,412,70,660,88
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1925,160,548,128,1377,182
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2328,175,549,132,1779,200
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2821,134,841,151,1980,168
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2647,154,694,142,1953,182
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2157,160,1142,154,1015,169
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1705,133,577,100,1128,155
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1437,117,719,85,718,129
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2101,89,782,127,1319,118
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1751,89,555,91,1196,109
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1896,122,472,130,1424,164
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2554,101,1281,172,1273,167
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1232,110,592,127,640,141
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1862,130,368,110,1494,153
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1143,72,411,83,732,110
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1015,108,496,101,519,113
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1553,107,330,84,1223,122
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1051,65,277,69,774,79
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1381,123,498,80,883,124
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",929,65,407,113,522,111
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3406,208,875,175,2531,244
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4101,215,1596,247,2505,234
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3412,191,1236,201,2176,223
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3930,338,1324,241,2606,314
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3510,286,1033,212,2477,224
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1667,127,618,91,1049,132
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1339,104,143,60,1196,105
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,12,0,12,0,12
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",986,92,210,78,776,88
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1240,98,643,84,597,96
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",866,95,514,76,352,92
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1742,130,1097,119,645,115
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",847,71,473,65,374,83
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",922,81,625,81,297,72
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,12,0,12,0,12
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1206,46,754,101,452,94
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1135,78,529,87,606,94
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1346,64,542,83,804,90
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",1774,119,387,82,1387,131
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",775,95,0,12,775,95
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1227,92,283,64,944,104
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",909,72,69,28,840,74
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1094,63,57,38,1037,70
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1163,107,276,112,887,132
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",1000,90,51,36,949,96
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1094,96,381,71,713,100
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1024,94,71,46,953,94
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1559,71,248,73,1311,94
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1674,106,314,108,1360,121
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",893,71,257,70,636,88
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",949,113,189,73,760,116
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1785,149,959,158,826,175
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",1879,182,771,157,1108,196
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1606,134,574,111,1032,130
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1568,111,300,82,1268,120
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2247,130,647,130,1600,170
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1503,101,699,108,804,128
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1100,110,170,59,930,126
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",953,94,206,61,747,102
