GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2463,183,1289,159,1174,189
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",80,35,70,44,10,16
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1601,108,979,144,622,142
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2455,158,1356,170,1099,178
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",627,53,453,63,174,56
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1903,86,457,101,1446,120
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1663,100,886,117,777,117
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2040,97,1434,122,606,122
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",2951,178,1938,174,1013,181
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",1912,173,522,157,1390,163
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3170,159,1974,181,1196,189
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1325,83,882,83,443,98
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1538,107,1294,116,244,97
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",833,61,779,69,54,42
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2738,76,2211,130,527,112
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1712,171,790,139,922,149
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1782,116,1494,126,288,84
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2430,117,1236,137,1194,139
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1991,109,630,122,1361,163
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4436,221,1682,198,2754,241
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1482,45,802,71,680,81
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1437,79,893,106,544,120
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2258,94,2095,111,163,74
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1639,84,1461,103,178,87
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",1132,101,642,110,490,122
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",984,98,744,96,240,86
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1534,97,401,119,1133,131
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",1911,89,494,104,1417,131
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1642,38,1298,139,344,137
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",887,30,688,91,199,94
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1045,102,407,101,638,120
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1356,107,901,127,455,132
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",1714,132,918,98,796,128
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",1987,145,1173,169,814,166
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1084,92,887,114,197,88
