GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Owner occupied:
HD02_VD02,Margin of Error; Owner occupied:
HD01_VD03,Estimate; Owner occupied: - Family households:
HD02_VD03,Margin of Error; Owner occupied: - Family households:
HD01_VD04,Estimate; Owner occupied: - Family households: - Married-couple family:
HD02_VD04,Margin of Error; Owner occupied: - Family households: - Married-couple family:
HD01_VD05,Estimate; Owner occupied: - Family households: - Married-couple family: - With own children under 18 years
HD02_VD05,Margin of Error; Owner occupied: - Family households: - Married-couple family: - With own children under 18 years
HD01_VD06,Estimate; Owner occupied: - Family households: - Married-couple family: - No own children under 18 years
HD02_VD06,Margin of Error; Owner occupied: - Family households: - Married-couple family: - No own children under 18 years
HD01_VD07,Estimate; Owner occupied: - Family households: - Other family:
HD02_VD07,Margin of Error; Owner occupied: - Family households: - Other family:
HD01_VD08,"Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present:"
HD02_VD08,"Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present:"
HD01_VD09,"Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years"
HD02_VD09,"Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years"
HD01_VD10,"Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years"
HD02_VD10,"Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years"
HD01_VD11,"Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present:"
HD02_VD11,"Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present:"
HD01_VD12,"Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
HD02_VD12,"Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
HD01_VD13,"Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years"
HD02_VD13,"Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years"
HD01_VD14,Estimate; Owner occupied: - Nonfamily households
HD02_VD14,Margin of Error; Owner occupied: - Nonfamily households
HD01_VD15,Estimate; Renter occupied:
HD02_VD15,Margin of Error; Renter occupied:
HD01_VD16,Estimate; Renter occupied: - Family households:
HD02_VD16,Margin of Error; Renter occupied: - Family households:
HD01_VD17,Estimate; Renter occupied: - Family households: - Married-couple family:
HD02_VD17,Margin of Error; Renter occupied: - Family households: - Married-couple family:
HD01_VD18,Estimate; Renter occupied: - Family households: - Married-couple family: - With own children under 18 years
HD02_VD18,Margin of Error; Renter occupied: - Family households: - Married-couple family: - With own children under 18 years
HD01_VD19,Estimate; Renter occupied: - Family households: - Married-couple family: - No own children under 18 years
HD02_VD19,Margin of Error; Renter occupied: - Family households: - Married-couple family: - No own children under 18 years
HD01_VD20,Estimate; Renter occupied: - Family households: - Other family:
HD02_VD20,Margin of Error; Renter occupied: - Family households: - Other family:
HD01_VD21,"Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present:"
HD02_VD21,"Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present:"
HD01_VD22,"Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years"
HD02_VD22,"Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years"
HD01_VD23,"Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years"
HD02_VD23,"Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years"
HD01_VD24,"Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present:"
HD02_VD24,"Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present:"
HD01_VD25,"Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
HD02_VD25,"Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
HD01_VD26,"Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years"
HD02_VD26,"Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years"
HD01_VD27,Estimate; Renter occupied: - Nonfamily households
HD02_VD27,Margin of Error; Renter occupied: - Nonfamily households
pHD01_VD12,"perc Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
pHD01_VD25,"perc Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years"
