GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2410,223,109,91,30,37,50,64,0,95,29,39,2301,215
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,95,0,95,0,95,0,95,0,95,0,95,0,95
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1777,103,156,85,52,46,46,52,0,95,58,43,1621,133
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2487,181,141,78,49,61,59,48,0,95,33,25,2346,173
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",597,59,25,25,0,95,0,95,0,95,25,25,572,63
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2008,99,133,80,0,95,98,64,0,95,35,40,1875,126
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1730,81,149,69,36,31,59,50,7,10,47,33,1581,103
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2041,117,105,57,15,22,0,95,22,25,68,46,1936,118
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3000,163,165,123,32,38,76,105,13,23,44,41,2835,221
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2394,120,98,60,0,95,29,35,0,95,69,50,2296,128
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3383,166,133,102,46,68,12,20,0,95,75,69,3250,191
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1352,90,66,53,0,95,19,20,0,95,47,50,1286,103
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1446,111,43,35,43,35,0,95,0,95,0,95,1403,111
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",810,66,55,38,13,18,0,95,0,95,42,34,755,77
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2822,57,108,61,27,31,12,20,29,34,40,37,2714,85
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1792,208,68,60,24,31,16,26,0,95,28,38,1724,213
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1804,128,114,68,50,42,20,25,14,22,30,35,1690,142
