GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC32,HC02_VC32,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC48,HC02_VC48,HC01_VC49,HC02_VC49,HC01_VC50,HC02_VC50,HC01_VC51,HC02_VC51,HC01_VC52,HC02_VC52,HC01_VC53,HC02_VC53,HC01_VC55,HC02_VC55,HC01_VC56,HC02_VC56,HC01_VC57,HC02_VC57,HC01_VC58,HC02_VC58,HC01_VC59,HC02_VC59,HC01_VC60,HC02_VC60,HC01_VC61,HC02_VC61,HC01_VC62,HC02_VC62,HC01_VC64,HC02_VC64,HC01_VC65,HC02_VC65,HC01_VC66,HC02_VC66,HC01_VC67,HC02_VC67,HC01_VC68,HC02_VC68,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC71,HC02_VC71,HC01_VC72,HC02_VC72,HC01_VC73,HC02_VC73,HC01_VC74,HC02_VC74,HC01_VC75,HC02_VC75,HC01_VC76,HC02_VC76,HC01_VC78,HC02_VC78,HC01_VC79,HC02_VC79,HC01_VC80,HC02_VC80,HC01_VC81,HC02_VC81,HC01_VC82,HC02_VC82,HC01_VC83,HC02_VC83,HC01_VC84,HC02_VC84,HC01_VC85,HC02_VC85,HC01_VC86,HC02_VC86,HC01_VC87,HC02_VC87,HC01_VC88,HC02_VC88,HC01_VC89,HC02_VC89,HC01_VC90,HC02_VC90,HC01_VC91,HC02_VC91,HC01_VC93,HC02_VC93,HC01_VC94,HC02_VC94,HC01_VC95,HC02_VC95,HC01_VC96,HC02_VC96,HC01_VC97,HC02_VC97,HC01_VC98,HC02_VC98,HC01_VC100,HC02_VC100,HC01_VC101,HC02_VC101,HC01_VC102,HC02_VC102,HC01_VC103,HC02_VC103,HC01_VC104,HC02_VC104
Id,Id2,Geography,Number; Total population,Percent; Total population,Number; Total population - SEX AND AGE - Male,Percent; Total population - SEX AND AGE - Male,Number; Total population - SEX AND AGE - Female,Percent; Total population - SEX AND AGE - Female,Number; Total population - SEX AND AGE - Under 5 years,Percent; Total population - SEX AND AGE - Under 5 years,Number; Total population - SEX AND AGE - 5 to 9 years,Percent; Total population - SEX AND AGE - 5 to 9 years,Number; Total population - SEX AND AGE - 10 to 14 years,Percent; Total population - SEX AND AGE - 10 to 14 years,Number; Total population - SEX AND AGE - 15 to 19 years,Percent; Total population - SEX AND AGE - 15 to 19 years,Number; Total population - SEX AND AGE - 20 to 24 years,Percent; Total population - SEX AND AGE - 20 to 24 years,Number; Total population - SEX AND AGE - 25 to 34 years,Percent; Total population - SEX AND AGE - 25 to 34 years,Number; Total population - SEX AND AGE - 35 to 44 years,Percent; Total population - SEX AND AGE - 35 to 44 years,Number; Total population - SEX AND AGE - 45 to 54 years,Percent; Total population - SEX AND AGE - 45 to 54 years,Number; Total population - SEX AND AGE - 55 to 59 years,Percent; Total population - SEX AND AGE - 55 to 59 years,Number; Total population - SEX AND AGE - 60 to 64 years,Percent; Total population - SEX AND AGE - 60 to 64 years,Number; Total population - SEX AND AGE - 65 to 74 years,Percent; Total population - SEX AND AGE - 65 to 74 years,Number; Total population - SEX AND AGE - 75 to 84 years,Percent; Total population - SEX AND AGE - 75 to 84 years,Number; Total population - SEX AND AGE - 85 years and over,Percent; Total population - SEX AND AGE - 85 years and over,Number; Total population - SEX AND AGE - Median age (years),Percent; Total population - SEX AND AGE - Median age (years),Number; Total population - SEX AND AGE - 18 years and over,Percent; Total population - SEX AND AGE - 18 years and over,Number; Total population - SEX AND AGE - 18 years and over - Male,Percent; Total population - SEX AND AGE - 18 years and over - Male,Number; Total population - SEX AND AGE - 18 years and over - Female,Percent; Total population - SEX AND AGE - 18 years and over - Female,Number; Total population - SEX AND AGE - 21 years and over,Percent; Total population - SEX AND AGE - 21 years and over,Number; Total population - SEX AND AGE - 62 years and over,Percent; Total population - SEX AND AGE - 62 years and over,Number; Total population - SEX AND AGE - 65 years and over,Percent; Total population - SEX AND AGE - 65 years and over,Number; Total population - SEX AND AGE - 65 years and over - Male,Percent; Total population - SEX AND AGE - 65 years and over - Male,Number; Total population - SEX AND AGE - 65 years and over - Female,Percent; Total population - SEX AND AGE - 65 years and over - Female,Number; Total population - RACE - One race,Percent; Total population - RACE - One race,Number; Total population - RACE - One race - White,Percent; Total population - RACE - One race - White,Number; Total population - RACE - One race - Black or African American,Percent; Total population - RACE - One race - Black or African American,Number; Total population - RACE - One race - American Indian and Alaska Native,Percent; Total population - RACE - One race - American Indian and Alaska Native,Number; Total population - RACE - One race - Asian,Percent; Total population - RACE - One race - Asian,Number; Total population - RACE - One race - Asian - Asian Indian,Percent; Total population - RACE - One race - Asian - Asian Indian,Number; Total population - RACE - One race - Asian - Chinese,Percent; Total population - RACE - One race - Asian - Chinese,Number; Total population - RACE - One race - Asian - Filipino,Percent; Total population - RACE - One race - Asian - Filipino,Number; Total population - RACE - One race - Asian - Japanese,Percent; Total population - RACE - One race - Asian - Japanese,Number; Total population - RACE - One race - Asian - Korean,Percent; Total population - RACE - One race - Asian - Korean,Number; Total population - RACE - One race - Asian - Vietnamese,Percent; Total population - RACE - One race - Asian - Vietnamese,Number; Total population - RACE - One race - Asian - Other Asian [1],Percent; Total population - RACE - One race - Asian - Other Asian [1],Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Number; Total population - RACE - One race - Some other race,Percent; Total population - RACE - One race - Some other race,Number; Total population - RACE - Two or more races,Percent; Total population - RACE - Two or more races,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Number; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Number; RELATIONSHIP - Total population,Percent; RELATIONSHIP - Total population,Number; RELATIONSHIP - Total population - In households,Percent; RELATIONSHIP - Total population - In households,Number; RELATIONSHIP - Total population - In households - Householder,Percent; RELATIONSHIP - Total population - In households - Householder,Number; RELATIONSHIP - Total population - In households - Spouse,Percent; RELATIONSHIP - Total population - In households - Spouse,Number; RELATIONSHIP - Total population - In households - Child,Percent; RELATIONSHIP - Total population - In households - Child,Number; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Percent; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Number; RELATIONSHIP - Total population - In households - Other relatives,Percent; RELATIONSHIP - Total population - In households - Other relatives,Number; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Number; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Number; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Number; RELATIONSHIP - Total population - In group quarters,Percent; RELATIONSHIP - Total population - In group quarters,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Number; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Number; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSEHOLDS BY TYPE - Total households,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families),Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families),Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,"Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years",Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Percent; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size,Percent; HOUSEHOLDS BY TYPE - Total households - Average family size,Number; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Number; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,"Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use","Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use",Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Number; HOUSING TENURE - Occupied housing units,Percent; HOUSING TENURE - Occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Number; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4674,100.0,2194,46.9,2480,53.1,159,3.4,121,2.6,93,2.0,119,2.5,250,5.3,1104,23.6,777,16.6,723,15.5,380,8.1,261,5.6,342,7.3,222,4.7,123,2.6,40.7,(X),4214,90.2,1971,42.2,2243,48.0,4158,89.0,841,18.0,687,14.7,290,6.2,397,8.5,4612,98.7,4220,90.3,188,4.0,9,0.2,167,3.6,30,0.6,30,0.6,55,1.2,15,0.3,11,0.2,7,0.1,19,0.4,3,0.1,1,0.0,0,0.0,1,0.0,1,0.0,25,0.5,62,1.3,4274,91.4,198,4.2,18,0.4,194,4.2,8,0.2,47,1.0,4674,100.0,192,4.1,28,0.6,10,0.2,15,0.3,139,3.0,4482,95.9,4059,86.8,4674,100.0,4584,98.1,2724,58.3,769,16.5,485,10.4,421,9.0,51,1.1,4,0.1,555,11.9,169,3.6,90,1.9,0,0.0,90,1.9,2724,100.0,881,32.3,265,9.7,769,28.2,214,7.9,77,2.8,40,1.5,1843,67.7,1482,54.4,310,11.4,274,10.1,553,20.3,1.68,(X),2.48,(X),2933,100.0,2724,92.9,209,7.1,69,2.4,1.2,(X),5.4,(X),2724,100.0,1445,53.0,1279,47.0,1.86,(X),1.48,(X)
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",4467,100.0,2019,45.2,2448,54.8,4,0.1,2,0.0,0,0.0,2447,54.8,1909,42.7,33,0.7,18,0.4,12,0.3,9,0.2,6,0.1,14,0.3,3,0.1,10,0.2,19.9,(X),4435,99.3,2009,45.0,2426,54.3,974,21.8,32,0.7,27,0.6,5,0.1,22,0.5,4465,100.0,3925,87.9,240,5.4,0,0.0,242,5.4,80,1.8,80,1.8,1,0.0,40,0.9,0,0.0,0,0.0,41,0.9,56,1.3,54,1.2,0,0.0,2,0.0,0,0.0,2,0.0,2,0.0,3927,87.9,240,5.4,1,0.0,243,5.4,56,1.3,2,0.0,4467,100.0,75,1.7,3,0.1,0,0.0,0,0.0,72,1.6,4392,98.3,3852,86.2,4467,100.0,78,1.7,28,0.6,4,0.1,8,0.2,7,0.2,2,0.0,0,0.0,36,0.8,2,0.0,4389,98.3,0,0.0,4389,98.3,28,100.0,8,28.6,4,14.3,4,14.3,1,3.6,3,10.7,2,7.1,20,71.4,12,42.9,1,3.6,4,14.3,4,14.3,2.79,(X),2.75,(X),31,100.0,28,90.3,3,9.7,1,3.2,0.0,(X),13.3,(X),28,100.0,15,53.6,13,46.4,3.53,(X),1.92,(X)
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",3850,100.0,1912,49.7,1938,50.3,146,3.8,78,2.0,51,1.3,69,1.8,961,25.0,736,19.1,507,13.2,503,13.1,252,6.5,182,4.7,221,5.7,114,3.0,30,0.8,32.9,(X),3535,91.8,1765,45.8,1770,46.0,3355,87.1,461,12.0,365,9.5,177,4.6,188,4.9,3776,98.1,3472,90.2,61,1.6,3,0.1,204,5.3,37,1.0,57,1.5,24,0.6,25,0.6,14,0.4,5,0.1,42,1.1,2,0.1,0,0.0,1,0.0,0,0.0,1,0.0,34,0.9,74,1.9,3532,91.7,72,1.9,11,0.3,239,6.2,7,0.2,68,1.8,3850,100.0,190,4.9,38,1.0,13,0.3,12,0.3,127,3.3,3660,95.1,3314,86.1,3850,100.0,3840,99.7,1916,49.8,567,14.7,361,9.4,299,7.8,52,1.4,11,0.3,944,24.5,113,2.9,10,0.3,0,0.0,10,0.3,1916,100.0,657,34.3,197,10.3,567,29.6,159,8.3,57,3.0,27,1.4,1259,65.7,797,41.6,115,6.0,207,10.8,279,14.6,2.00,(X),2.49,(X),2043,100.0,1916,93.8,127,6.2,51,2.5,1.0,(X),2.9,(X),1916,100.0,1080,56.4,836,43.6,1.92,(X),2.12,(X)
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5706,100.0,2649,46.4,3057,53.6,238,4.2,123,2.2,74,1.3,84,1.5,1089,19.1,1950,34.2,757,13.3,606,10.6,264,4.6,176,3.1,186,3.3,114,2.0,45,0.8,30.4,(X),5217,91.4,2407,42.2,2810,49.2,5067,88.8,429,7.5,345,6.0,131,2.3,214,3.8,5558,97.4,4951,86.8,175,3.1,10,0.2,328,5.7,80,1.4,75,1.3,43,0.8,37,0.6,33,0.6,17,0.3,43,0.8,2,0.0,0,0.0,0,0.0,0,0.0,2,0.0,92,1.6,148,2.6,5080,89.0,206,3.6,29,0.5,395,6.9,8,0.1,149,2.6,5706,100.0,324,5.7,52,0.9,22,0.4,16,0.3,234,4.1,5382,94.3,4727,82.8,5706,100.0,5706,100.0,2784,48.8,767,13.4,574,10.1,469,8.2,91,1.6,11,0.2,1490,26.1,137,2.4,0,0.0,0,0.0,0,0.0,2784,100.0,933,33.5,325,11.7,767,27.6,261,9.4,119,4.3,52,1.9,1851,66.5,1177,42.3,150,5.4,337,12.1,291,10.5,2.05,(X),2.53,(X),2881,100.0,2784,96.6,97,3.4,25,0.9,0.7,(X),1.5,(X),2784,100.0,1331,47.8,1453,52.2,1.96,(X),2.13,(X)
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1510,100.0,737,48.8,773,51.2,50,3.3,43,2.8,78,5.2,72,4.8,105,7.0,235,15.6,168,11.1,248,16.4,158,10.5,106,7.0,127,8.4,87,5.8,33,2.2,45.2,(X),1289,85.4,611,40.5,678,44.9,1258,83.3,303,20.1,247,16.4,111,7.4,136,9.0,1467,97.2,1284,85.0,67,4.4,3,0.2,89,5.9,17,1.1,10,0.7,27,1.8,11,0.7,5,0.3,1,0.1,18,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,1.6,43,2.8,1325,87.7,69,4.6,4,0.3,93,6.2,1,0.1,62,4.1,1510,100.0,123,8.1,14,0.9,6,0.4,12,0.8,91,6.0,1387,91.9,1189,78.7,1510,100.0,1503,99.5,649,43.0,314,20.8,261,17.3,212,14.0,51,3.4,5,0.3,228,15.1,19,1.3,7,0.5,0,0.0,7,0.5,649,100.0,347,53.5,119,18.3,314,48.4,113,17.4,26,4.0,6,0.9,302,46.5,238,36.7,52,8.0,124,19.1,180,27.7,2.32,(X),2.80,(X),694,100.0,649,93.5,45,6.5,15,2.2,1.1,(X),1.4,(X),649,100.0,441,68.0,208,32.0,2.34,(X),2.25,(X)
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2765,100.0,1171,42.4,1594,57.6,47,1.7,28,1.0,25,0.9,23,0.8,393,14.2,1105,40.0,455,16.5,307,11.1,106,3.8,65,2.4,96,3.5,84,3.0,31,1.1,32.5,(X),2655,96.0,1112,40.2,1543,55.8,2549,92.2,240,8.7,211,7.6,75,2.7,136,4.9,2700,97.6,2383,86.2,134,4.8,6,0.2,155,5.6,24,0.9,34,1.2,16,0.6,20,0.7,24,0.9,13,0.5,24,0.9,2,0.1,1,0.0,0,0.0,0,0.0,1,0.0,20,0.7,65,2.4,2439,88.2,148,5.4,23,0.8,175,6.3,2,0.1,45,1.6,2765,100.0,157,5.7,22,0.8,16,0.6,11,0.4,108,3.9,2608,94.3,2263,81.8,2765,100.0,2611,94.4,1793,64.8,277,10.0,126,4.6,105,3.8,27,1.0,3,0.1,388,14.0,109,3.9,154,5.6,0,0.0,154,5.6,1793,100.0,318,17.7,72,4.0,277,15.4,59,3.3,33,1.8,9,0.5,1475,82.3,1200,66.9,128,7.1,74,4.1,185,10.3,1.46,(X),2.35,(X),1878,100.0,1793,95.5,85,4.5,53,2.8,0.3,(X),0.9,(X),1793,100.0,329,18.3,1464,81.7,1.72,(X),1.40,(X)
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3112,100.0,1393,44.8,1719,55.2,112,3.6,75,2.4,94,3.0,75,2.4,197,6.3,813,26.1,551,17.7,511,16.4,240,7.7,123,4.0,181,5.8,96,3.1,44,1.4,38.0,(X),2778,89.3,1232,39.6,1546,49.7,2745,88.2,385,12.4,321,10.3,143,4.6,178,5.7,3036,97.6,2757,88.6,83,2.7,8,0.3,122,3.9,34,1.1,18,0.6,26,0.8,13,0.4,10,0.3,5,0.2,16,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,66,2.1,76,2.4,2822,90.7,93,3.0,25,0.8,154,4.9,2,0.1,99,3.2,3112,100.0,222,7.1,29,0.9,16,0.5,6,0.2,171,5.5,2890,92.9,2632,84.6,3112,100.0,3109,99.9,1743,56.0,503,16.2,397,12.8,322,10.3,56,1.8,12,0.4,410,13.2,122,3.9,3,0.1,0,0.0,3,0.1,1743,100.0,598,34.3,211,12.1,503,28.9,163,9.4,69,4.0,37,2.1,1145,65.7,893,51.2,117,6.7,220,12.6,251,14.4,1.78,(X),2.60,(X),1798,100.0,1743,96.9,55,3.1,11,0.6,0.9,(X),1.1,(X),1743,100.0,814,46.7,929,53.3,2.05,(X),1.55,(X)
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4919,100.0,2075,42.2,2844,57.8,186,3.8,170,3.5,173,3.5,142,2.9,215,4.4,820,16.7,716,14.6,762,15.5,314,6.4,270,5.5,420,8.5,406,8.3,325,6.6,45.6,(X),4281,87.0,1760,35.8,2521,51.3,4233,86.1,1312,26.7,1151,23.4,383,7.8,768,15.6,4809,97.8,3880,78.9,630,12.8,13,0.3,178,3.6,43,0.9,55,1.1,26,0.5,11,0.2,15,0.3,5,0.1,23,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,108,2.2,110,2.2,3977,80.8,665,13.5,24,0.5,224,4.6,11,0.2,138,2.8,4919,100.0,331,6.7,24,0.5,13,0.3,11,0.2,283,5.8,4588,93.3,3669,74.6,4919,100.0,4234,86.1,2144,43.6,768,15.6,752,15.3,608,12.4,87,1.8,19,0.4,483,9.8,108,2.2,685,13.9,670,13.6,15,0.3,2144,100.0,880,41.0,369,17.2,768,35.8,328,15.3,91,4.2,33,1.5,1264,59.0,1003,46.8,192,9.0,385,18.0,438,20.4,1.97,(X),2.83,(X),2214,100.0,2144,96.8,70,3.2,30,1.4,0.7,(X),1.4,(X),2144,100.0,1375,64.1,769,35.9,2.18,(X),1.60,(X)
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4395,100.0,1782,40.5,2613,59.5,106,2.4,76,1.7,58,1.3,84,1.9,354,8.1,954,21.7,597,13.6,580,13.2,291,6.6,225,5.1,442,10.1,441,10.0,187,4.3,44.5,(X),4095,93.2,1641,37.3,2454,55.8,4057,92.3,1200,27.3,1070,24.3,385,8.8,685,15.6,4269,97.1,3759,85.5,159,3.6,6,0.1,250,5.7,44,1.0,33,0.8,93,2.1,31,0.7,17,0.4,3,0.1,29,0.7,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1,92,2.1,126,2.9,3858,87.8,191,4.3,28,0.6,295,6.7,4,0.1,159,3.6,4395,100.0,375,8.5,46,1.0,21,0.5,16,0.4,292,6.6,4020,91.5,3513,79.9,4395,100.0,4385,99.8,2915,66.3,617,14.0,370,8.4,285,6.5,91,2.1,10,0.2,392,8.9,107,2.4,10,0.2,0,0.0,10,0.2,2915,100.0,750,25.7,182,6.2,617,21.2,134,4.6,96,3.3,35,1.2,2165,74.3,1913,65.6,576,19.8,196,6.7,873,29.9,1.50,(X),2.44,(X),3097,100.0,2915,94.1,182,5.9,92,3.0,0.6,(X),2.0,(X),2915,100.0,1424,48.9,1491,51.1,1.56,(X),1.45,(X)
