GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,"Less than $10,000"
VD03,"$10,000 to $14,999"
VD04,"$15,000 to $19,999"
VD05,"$20,000 to $24,999"
VD06,"$25,000 to $29,999"
VD07,"$30,000 to $34,999"
VD08,"$35,000 to $39,999"
VD09,"$40,000 to $49,999"
VD10,"$50,000 to $59,999"
VD11,"$60,000 to $69,999"
VD12,"$70,000 to $79,999"
VD13,"$80,000 to $89,999"
VD14,"$90,000 to $99,999"
VD15,"$100,000 to $124,999"
VD16,"$125,000 to $149,999"
VD17,"$150,000 to $174,999"
VD18,"$175,000 to $199,999"
VD19,"$200,000 to $249,999"
VD20,"$250,000 to $299,999"
VD21,"$300,000 to $399,999"
VD22,"$400,000 to $499,999"
VD23,"$500,000 to $749,999"
VD24,"$750,000 to $999,999"
VD25,"$1,000,000 or more"
