GEO.id,GEO.id2,GEO.display-label,VD01,
Id,Id2,Geography,Median household income in 1999,
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",92540,121134.86
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",87904,115066.34
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",90653,118664.78
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",73558,96287.42
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",129133,169035.10
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",65521,85766.99
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",66815,87460.84
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",89507,117164.66
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",53470,69992.23
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",37244,48752.40
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",80266,105068.19
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",76919,100686.97
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",160829,210525.16
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",119932,156990.99
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",109770,143688.93
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",49647,64987.92
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",103184,135067.86
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",77753,101778.68
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",68417,89557.85
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",58790,76956.11
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",87823,114960.31
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",84105,110093.45
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",107917,141263.35
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",94624,123862.82
