GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Income in 1999 below poverty level:
VD03,Income in 1999 below poverty level: - Male:
VD04,Income in 1999 below poverty level: - Male: - Under 5 years
VD05,Income in 1999 below poverty level: - Male: - 5 years
VD06,Income in 1999 below poverty level: - Male: - 6 to 11 years
VD07,Income in 1999 below poverty level: - Male: - 12 to 14 years
VD08,Income in 1999 below poverty level: - Male: - 15 years
VD09,Income in 1999 below poverty level: - Male: - 16 and 17 years
VD10,Income in 1999 below poverty level: - Male: - 18 to 24 years
VD11,Income in 1999 below poverty level: - Male: - 25 to 34 years
VD12,Income in 1999 below poverty level: - Male: - 35 to 44 years
VD13,Income in 1999 below poverty level: - Male: - 45 to 54 years
VD14,Income in 1999 below poverty level: - Male: - 55 to 64 years
VD15,Income in 1999 below poverty level: - Male: - 65 to 74 years
VD16,Income in 1999 below poverty level: - Male: - 75 years and over
VD17,Income in 1999 below poverty level: - Female:
VD18,Income in 1999 below poverty level: - Female: - Under 5 years
VD19,Income in 1999 below poverty level: - Female: - 5 years
VD20,Income in 1999 below poverty level: - Female: - 6 to 11 years
VD21,Income in 1999 below poverty level: - Female: - 12 to 14 years
VD22,Income in 1999 below poverty level: - Female: - 15 years
VD23,Income in 1999 below poverty level: - Female: - 16 and 17 years
VD24,Income in 1999 below poverty level: - Female: - 18 to 24 years
VD25,Income in 1999 below poverty level: - Female: - 25 to 34 years
VD26,Income in 1999 below poverty level: - Female: - 35 to 44 years
VD27,Income in 1999 below poverty level: - Female: - 45 to 54 years
VD28,Income in 1999 below poverty level: - Female: - 55 to 64 years
VD29,Income in 1999 below poverty level: - Female: - 65 to 74 years
VD30,Income in 1999 below poverty level: - Female: - 75 years and over
VD31,Income in 1999 at or above poverty level:
VD32,Income in 1999 at or above poverty level: - Male:
VD33,Income in 1999 at or above poverty level: - Male: - Under 5 years
VD34,Income in 1999 at or above poverty level: - Male: - 5 years
VD35,Income in 1999 at or above poverty level: - Male: - 6 to 11 years
VD36,Income in 1999 at or above poverty level: - Male: - 12 to 14 years
VD37,Income in 1999 at or above poverty level: - Male: - 15 years
VD38,Income in 1999 at or above poverty level: - Male: - 16 and 17 years
VD39,Income in 1999 at or above poverty level: - Male: - 18 to 24 years
VD40,Income in 1999 at or above poverty level: - Male: - 25 to 34 years
VD41,Income in 1999 at or above poverty level: - Male: - 35 to 44 years
VD42,Income in 1999 at or above poverty level: - Male: - 45 to 54 years
VD43,Income in 1999 at or above poverty level: - Male: - 55 to 64 years
VD44,Income in 1999 at or above poverty level: - Male: - 65 to 74 years
VD45,Income in 1999 at or above poverty level: - Male: - 75 years and over
VD46,Income in 1999 at or above poverty level: - Female:
VD47,Income in 1999 at or above poverty level: - Female: - Under 5 years
VD48,Income in 1999 at or above poverty level: - Female: - 5 years
VD49,Income in 1999 at or above poverty level: - Female: - 6 to 11 years
VD50,Income in 1999 at or above poverty level: - Female: - 12 to 14 years
VD51,Income in 1999 at or above poverty level: - Female: - 15 years
VD52,Income in 1999 at or above poverty level: - Female: - 16 and 17 years
VD53,Income in 1999 at or above poverty level: - Female: - 18 to 24 years
VD54,Income in 1999 at or above poverty level: - Female: - 25 to 34 years
VD55,Income in 1999 at or above poverty level: - Female: - 35 to 44 years
VD56,Income in 1999 at or above poverty level: - Female: - 45 to 54 years
VD57,Income in 1999 at or above poverty level: - Female: - 55 to 64 years
VD58,Income in 1999 at or above poverty level: - Female: - 65 to 74 years
VD59,Income in 1999 at or above poverty level: - Female: - 75 years and over
pVD02,perc Income in 1999 below poverty level: All
pVD03,perc Income in 1999 below poverty level: - Male:
pVD17,perc Income in 1999 below poverty level: - Female:
