GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,pVD02,pVD03,pVD17
Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - Under 5 years,Income in 1999 below poverty level: - Male: - 5 years,Income in 1999 below poverty level: - Male: - 6 to 11 years,Income in 1999 below poverty level: - Male: - 12 to 14 years,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - Under 5 years,Income in 1999 below poverty level: - Female: - 5 years,Income in 1999 below poverty level: - Female: - 6 to 11 years,Income in 1999 below poverty level: - Female: - 12 to 14 years,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - Under 5 years,Income in 1999 at or above poverty level: - Male: - 5 years,Income in 1999 at or above poverty level: - Male: - 6 to 11 years,Income in 1999 at or above poverty level: - Male: - 12 to 14 years,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - Under 5 years,Income in 1999 at or above poverty level: - Female: - 5 years,Income in 1999 at or above poverty level: - Female: - 6 to 11 years,Income in 1999 at or above poverty level: - Female: - 12 to 14 years,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over,perc Income in 1999 below poverty level:,perc Income in 1999 below poverty level: - Male:,perc Income in 1999 below poverty level: - Female:
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4674,243,112,0,0,0,5,0,6,30,49,22,0,0,0,0,131,0,0,0,0,0,0,38,31,25,8,14,10,5,4431,2100,104,9,73,0,15,6,92,448,380,380,292,174,127,2331,48,43,79,12,6,12,128,547,366,398,335,147,210,0.05198973,0.023962345,0.028027386
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",201,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,25,0,25,22,0,49,22,58,22,0,0,0,0,0,0,0,22,0,0,0,0,0,36,0,0,0,0,0,0,0,0,21,15,0,0,0,0.711442786,0,0.711442786
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",3857,944,348,0,0,10,0,0,0,293,22,15,0,0,0,8,596,5,0,0,0,0,6,514,41,9,6,15,0,0,2913,1498,66,7,26,0,0,9,129,372,317,173,203,135,61,1415,70,14,47,35,16,10,165,302,198,193,228,69,68,0.244749806,0.090225564,0.154524242
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5750,898,425,11,0,0,0,0,0,277,97,31,0,9,0,0,473,23,0,12,0,0,0,290,92,11,0,45,0,0,4852,2315,83,13,34,22,0,0,311,876,373,229,233,82,59,2537,122,0,36,19,0,21,370,896,336,323,200,107,107,0.156173913,0.073913043,0.08226087
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1501,45,5,0,0,0,0,0,0,5,0,0,0,0,0,0,40,0,0,0,0,0,0,23,12,0,0,5,0,0,1456,741,35,0,72,18,6,10,6,128,96,115,148,60,47,715,29,0,13,11,17,18,40,135,118,93,99,79,63,0.029980013,0.003331113,0.026648901
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2618,156,61,0,0,0,0,0,0,16,22,8,10,5,0,0,95,0,0,0,0,0,0,30,24,6,20,9,0,6,2462,1074,30,0,35,11,0,10,89,420,221,146,52,38,22,1388,5,5,31,5,0,6,108,634,179,217,87,34,77,0.059587471,0.023300229,0.036287242
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3062,133,77,0,0,0,0,0,0,22,28,9,18,0,0,0,56,0,0,0,0,0,0,9,26,0,0,0,5,16,2929,1290,37,0,19,25,14,23,85,276,289,225,161,86,50,1639,97,0,35,15,0,25,59,358,377,233,264,121,55,0.043435663,0.025146963,0.0182887
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4290,206,56,0,0,0,0,0,0,11,7,30,0,8,0,0,150,0,0,0,0,6,0,35,46,9,7,22,9,16,4084,1753,111,9,111,81,5,16,77,321,328,296,211,94,93,2331,47,0,123,74,29,45,183,438,355,470,257,119,191,0.048018648,0.013053613,0.034965035
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4395,253,103,0,0,0,0,0,0,41,24,31,7,0,0,0,150,0,0,0,0,0,0,42,32,17,7,9,0,43,4142,1606,53,4,26,11,0,16,118,357,213,243,195,173,197,2536,63,0,45,34,0,34,197,482,355,333,356,254,383,0.057565415,0.023435722,0.034129693
