GEO.id,GEO.id2,GEO.display-label,HC02_VC01,HC03_VC01,HC04_VC01,HC02_VC02,HC03_VC02,HC04_VC02,HC02_VC03,HC03_VC03,HC04_VC03,HC02_VC04,HC03_VC04,HC04_VC04,HC02_VC05,HC03_VC05,HC04_VC05,HC02_VC06,HC03_VC06,HC04_VC06,HC02_VC07,HC03_VC07,HC04_VC07,HC02_VC08,HC03_VC08,HC04_VC08,HC02_VC09,HC03_VC09,HC04_VC09,HC02_VC10,HC03_VC10,HC04_VC10,HC02_VC11,HC03_VC11,HC04_VC11,HC02_VC12,HC03_VC12,HC04_VC12,HC02_VC13,HC03_VC13,HC04_VC13,HC02_VC14,HC03_VC14,HC04_VC14,HC02_VC15,HC03_VC15,HC04_VC15,HC02_VC16,HC03_VC16,HC04_VC16,HC02_VC17,HC03_VC17,HC04_VC17,HC02_VC18,HC03_VC18,HC04_VC18,HC02_VC19,HC03_VC19,HC04_VC19,HC02_VC20,HC03_VC20,HC04_VC20,HC02_VC21,HC03_VC21,HC04_VC21,HC02_VC22,HC03_VC22,HC04_VC22,HC02_VC23,HC03_VC23,HC04_VC23,HC02_VC25,HC03_VC25,HC04_VC25,HC02_VC26,HC03_VC26,HC04_VC26,HC02_VC27,HC03_VC27,HC04_VC27,HC02_VC28,HC03_VC28,HC04_VC28,HC02_VC29,HC03_VC29,HC04_VC29,HC02_VC30,HC03_VC30,HC04_VC30,HC02_VC31,HC03_VC31,HC04_VC31,HC02_VC32,HC03_VC32,HC04_VC32,HC02_VC33,HC03_VC33,HC04_VC33,HC02_VC34,HC03_VC34,HC04_VC34,HC02_VC35,HC03_VC35,HC04_VC35
Id,Id2,Geography,Number - All income levels; All individuals for whom poverty status is determined,Number - Below poverty level; All individuals for whom poverty status is determined,Percent below poverty level; All individuals for whom poverty status is determined,Number - All income levels; All individuals for whom poverty status is determined - Under 18 years,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years,Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years,Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In married-couple families,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In married-couple families,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In married-couple families,"Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In families with female householder, no husband present","Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In families with female householder, no husband present","Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 18 years - In families with female householder, no husband present",Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years,Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In married-couple families,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In married-couple families,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In married-couple families,"Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In families with female householder, no husband present","Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In families with female householder, no husband present","Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children under 6 years - In families with female householder, no husband present",Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years,Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In married-couple families,Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In married-couple families,Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In married-couple families,"Number - All income levels; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In families with female householder, no husband present","Number - Below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In families with female householder, no husband present","Percent below poverty level; All individuals for whom poverty status is determined - Under 18 years - Related children 5 to 17 years - In families with female householder, no husband present",Number - All income levels; All individuals for whom poverty status is determined - 65 years and over,Number - Below poverty level; All individuals for whom poverty status is determined - 65 years and over,Percent below poverty level; All individuals for whom poverty status is determined - 65 years and over,Number - All income levels; All individuals for whom poverty status is determined - Citizen,Number - Below poverty level; All individuals for whom poverty status is determined - Citizen,Percent below poverty level; All individuals for whom poverty status is determined - Citizen,Number - All income levels; All individuals for whom poverty status is determined - Not a citizen,Number - Below poverty level; All individuals for whom poverty status is determined - Not a citizen,Percent below poverty level; All individuals for whom poverty status is determined - Not a citizen,Number - All income levels; Unrelated individuals for whom poverty status is determined,Number - Below poverty level; Unrelated individuals for whom poverty status is determined,Percent below poverty level; Unrelated individuals for whom poverty status is determined,Number - All income levels; Unrelated individuals for whom poverty status is determined - Male,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - Male,Percent below poverty level; Unrelated individuals for whom poverty status is determined - Male,Number - All income levels; Unrelated individuals for whom poverty status is determined - Male - Mean income deficit (dollars),Number - Below poverty level; Unrelated individuals for whom poverty status is determined - Male - Mean income deficit (dollars),Percent below poverty level; Unrelated individuals for whom poverty status is determined - Male - Mean income deficit (dollars),Number - All income levels; Unrelated individuals for whom poverty status is determined - Female,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - Female,Percent below poverty level; Unrelated individuals for whom poverty status is determined - Female,Number - All income levels; Unrelated individuals for whom poverty status is determined - Female - Mean income deficit (dollars),Number - Below poverty level; Unrelated individuals for whom poverty status is determined - Female - Mean income deficit (dollars),Percent below poverty level; Unrelated individuals for whom poverty status is determined - Female - Mean income deficit (dollars),Number - All income levels; Unrelated individuals for whom poverty status is determined - 65 years and over,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over,Percent below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over,Number - All income levels; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone,Percent below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone,Number - All income levels; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Male,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Male,Percent below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Male,Number - All income levels; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Female,Number - Below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Female,Percent below poverty level; Unrelated individuals for whom poverty status is determined - 65 years and over - Living alone - Female,Number - All income levels; All individuals below: - 50 percent of poverty level,Number - Below poverty level; All individuals below: - 50 percent of poverty level,Percent below poverty level; All individuals below: - 50 percent of poverty level,Number - All income levels; All individuals below: - 125 percent of poverty level,Number - Below poverty level; All individuals below: - 125 percent of poverty level,Percent below poverty level; All individuals below: - 125 percent of poverty level,Number - All income levels; All individuals below: - 130 percent of poverty level,Number - Below poverty level; All individuals below: - 130 percent of poverty level,Percent below poverty level; All individuals below: - 130 percent of poverty level,Number - All income levels; All individuals below: - 130 percent of poverty level - Children under 18 years,Number - Below poverty level; All individuals below: - 130 percent of poverty level - Children under 18 years,Percent below poverty level; All individuals below: - 130 percent of poverty level - Children under 18 years,Number - All income levels; All individuals below: - 130 percent of poverty level - Children under 18 years - Children 5 to 17 years,Number - Below poverty level; All individuals below: - 130 percent of poverty level - Children under 18 years - Children 5 to 17 years,Percent below poverty level; All individuals below: - 130 percent of poverty level - Children under 18 years - Children 5 to 17 years,Number - All income levels; All individuals below: - 150 percent of poverty level,Number - Below poverty level; All individuals below: - 150 percent of poverty level,Percent below poverty level; All individuals below: - 150 percent of poverty level,Number - All income levels; All individuals below: - 175 percent of poverty level,Number - Below poverty level; All individuals below: - 175 percent of poverty level,Percent below poverty level; All individuals below: - 175 percent of poverty level,Number - All income levels; All individuals below: - 185 percent of poverty level,Number - Below poverty level; All individuals below: - 185 percent of poverty level,Percent below poverty level; All individuals below: - 185 percent of poverty level,Number - All income levels; All individuals below: - 185 percent of poverty level - Children under 18 years,Number - Below poverty level; All individuals below: - 185 percent of poverty level - Children under 18 years,Percent below poverty level; All individuals below: - 185 percent of poverty level - Children under 18 years,Number - All income levels; All individuals below: - 185 percent of poverty level - Children under 18 years - Children 5 to 17 years,Number - Below poverty level; All individuals below: - 185 percent of poverty level - Children under 18 years - Children 5 to 17 years,Percent below poverty level; All individuals below: - 185 percent of poverty level - Children under 18 years - Children 5 to 17 years,Number - All income levels; All individuals below: - 200 percent of poverty level,Number - Below poverty level; All individuals below: - 200 percent of poverty level,Percent below poverty level; All individuals below: - 200 percent of poverty level
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4674,243,5.2,418,11,2.6,418,11,2.6,370,0,0.0,48,11,22.9,204,0,0.0,204,0,0.0,0,0,(X),266,11,4.1,218,0,0.0,48,11,22.9,673,15,2.2,4081,121,3.0,593,122,20.6,2372,190,8.0,1036,84,8.1,4439,(X),(X),1336,106,7.9,6321,(X),(X),356,15,4.2,275,0,0.0,70,0,0.0,205,0,0.0,160,(X),(X),348,(X),(X),356,(X),(X),11,(X),(X),11,(X),(X),449,(X),(X),501,(X),(X),533,(X),(X),25,(X),(X),16,(X),(X),606,(X),(X)
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",201,143,71.1,0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),71,71,100.0,176,118,67.0,25,25,100.0,201,143,71.1,22,0,0.0,(X),(X),(X),179,143,79.9,4556,(X),(X),71,71,100.0,0,0,(X),0,0,(X),0,0,(X),71,(X),(X),143,(X),(X),143,(X),(X),0,(X),(X),0,(X),(X),143,(X),(X),143,(X),(X),143,(X),(X),0,(X),(X),0,(X),(X),143,(X),(X)
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",3857,944,24.5,321,21,6.5,315,15,4.8,286,15,5.2,13,0,0.0,162,5,3.1,162,5,3.1,0,0,(X),174,10,5.7,145,10,6.9,13,0,0.0,341,8,2.3,3452,842,24.4,405,102,25.2,2186,907,41.5,981,325,33.1,6204,(X),(X),1205,582,48.3,6210,(X),(X),141,8,5.7,109,8,7.3,39,8,20.5,70,0,0.0,765,(X),(X),1013,(X),(X),1026,(X),(X),21,(X),(X),16,(X),(X),1051,(X),(X),1106,(X),(X),1131,(X),(X),21,(X),(X),16,(X),(X),1131,(X),(X)
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5750,898,15.6,396,46,11.6,396,46,11.6,342,46,13.5,44,0,0.0,252,34,13.5,246,34,13.8,6,0,0.0,157,12,7.6,109,12,11.0,38,0,0.0,355,0,0.0,4932,711,14.4,818,187,22.9,3413,721,21.1,1644,350,21.3,6793,(X),(X),1769,371,21.0,5429,(X),(X),159,0,0.0,147,0,0.0,28,0,0.0,119,0,0.0,688,(X),(X),1021,(X),(X),1021,(X),(X),46,(X),(X),12,(X),(X),1088,(X),(X),1201,(X),(X),1201,(X),(X),46,(X),(X),12,(X),(X),1221,(X),(X)
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1501,45,3.0,229,0,0.0,229,0,0.0,229,0,0.0,0,0,(X),64,0,0.0,64,0,0.0,0,0,(X),165,0,0.0,165,0,0.0,0,0,(X),249,0,0.0,1223,22,1.8,278,23,8.3,521,45,8.6,248,5,2.0,4360,(X),(X),273,40,14.7,6428,(X),(X),69,0,0.0,36,0,0.0,0,0,(X),36,0,0.0,45,(X),(X),53,(X),(X),53,(X),(X),0,(X),(X),0,(X),(X),78,(X),(X),90,(X),(X),90,(X),(X),6,(X),(X),0,(X),(X),90,(X),(X)
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2618,156,6.0,138,0,0.0,138,0,0.0,129,0,0.0,4,0,0.0,40,0,0.0,35,0,0.0,0,0,(X),103,0,0.0,99,0,0.0,4,0,0.0,177,6,3.4,2163,122,5.6,455,34,7.5,1765,156,8.8,726,61,8.4,6220,(X),(X),1039,95,9.1,5647,(X),(X),100,6,6.0,94,6,6.4,21,0,0.0,73,6,8.2,97,(X),(X),253,(X),(X),253,(X),(X),27,(X),(X),12,(X),(X),279,(X),(X),284,(X),(X),289,(X),(X),31,(X),(X),16,(X),(X),317,(X),(X)
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3062,133,4.3,290,0,0.0,290,0,0.0,239,0,0.0,22,0,0.0,134,0,0.0,134,0,0.0,0,0,(X),156,0,0.0,105,0,0.0,22,0,0.0,333,21,6.3,2894,126,4.4,168,7,4.2,1434,117,8.2,610,72,11.8,6185,(X),(X),824,45,5.5,7062,(X),(X),145,10,6.9,121,10,8.3,45,0,0.0,76,10,13.2,88,(X),(X),183,(X),(X),192,(X),(X),0,(X),(X),0,(X),(X),329,(X),(X),336,(X),(X),373,(X),(X),31,(X),(X),31,(X),(X),381,(X),(X)
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4290,206,4.8,657,6,0.9,657,6,0.9,579,0,0.0,78,6,7.7,167,0,0.0,159,0,0.0,8,0,0.0,499,6,1.2,429,0,0.0,70,6,8.6,522,25,4.8,3986,199,5.0,304,7,2.3,1770,193,10.9,673,56,8.3,3296,(X),(X),1097,137,12.5,5113,(X),(X),248,25,10.1,195,25,12.8,49,0,0.0,146,25,17.1,136,(X),(X),268,(X),(X),275,(X),(X),13,(X),(X),13,(X),(X),319,(X),(X),367,(X),(X),367,(X),(X),13,(X),(X),13,(X),(X),383,(X),(X)
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4395,253,5.8,286,0,0.0,286,0,0.0,243,0,0.0,43,0,0.0,120,0,0.0,102,0,0.0,18,0,0.0,170,0,0.0,145,0,0.0,25,0,0.0,1050,43,4.1,3756,189,5.0,639,64,10.0,2455,224,9.1,827,82,9.9,4376,(X),(X),1628,142,8.7,4654,(X),(X),630,43,6.8,607,25,4.1,162,0,0.0,445,25,5.6,134,(X),(X),334,(X),(X),359,(X),(X),0,(X),(X),0,(X),(X),539,(X),(X),598,(X),(X),641,(X),(X),65,(X),(X),46,(X),(X),720,(X),(X)
