GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,pVD02,pVD03
Id,Id2,Geography,Total:,Owner occupied,Renter occupied,perc Owner occupied,perc Renter occupied
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2724,1447,1277,0.531204112,0.468795888
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",30,20,10,0.666666667,0.333333333
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1914,1075,839,0.561650993,0.438349007
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",2778,1314,1464,0.47300216,0.52699784
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",670,451,219,0.673134328,0.326865672
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1772,315,1457,0.177765237,0.822234763
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1720,849,871,0.493604651,0.506395349
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",2167,1345,822,0.620673743,0.379326257
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",2915,1427,1488,0.489536878,0.510463122
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2302,476,1826,0.206776716,0.793223284
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",3280,1981,1299,0.603963415,0.396036585
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1348,750,598,0.556379822,0.443620178
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1463,1301,162,0.889268626,0.110731374
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",839,685,154,0.816448153,0.183551847
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2548,1989,559,0.780612245,0.219387755
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",2281,688,1593,0.301622096,0.698377904
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",1854,1409,445,0.759978425,0.240021575
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2567,1270,1297,0.494740943,0.505259057
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",2048,642,1406,0.313476563,0.686523438
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4648,1511,3137,0.325086059,0.674913941
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1460,767,693,0.525342466,0.474657534
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1232,834,398,0.676948052,0.323051948
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2222,1953,269,0.878937894,0.121062106
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1633,1465,168,0.897121862,0.102878138
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",1232,589,643,0.478084416,0.521915584
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",983,712,271,0.724313327,0.275686673
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",7,0,7,0,1
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1506,307,1199,0.203851262,0.796148738
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",1774,580,1194,0.326944758,0.673055242
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1511,1201,310,0.794837856,0.205162144
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",816,682,134,0.835784314,0.164215686
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1046,321,725,0.306883365,0.693116635
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1260,882,378,0.7,0.3
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",1938,840,1098,0.433436533,0.566563467
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",2000,1151,849,0.5755,0.4245
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1135,905,230,0.797356828,0.202643172
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1259,588,671,0.467037331,0.532962669
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1029,763,266,0.741496599,0.258503401
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",586,161,425,0.274744027,0.725255973
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1252,792,460,0.632587859,0.367412141
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",886,536,350,0.60496614,0.39503386
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",1920,736,1184,0.383333333,0.616666667
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",963,701,262,0.727933541,0.272066459
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2650,586,2064,0.221132075,0.778867925
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2553,823,1730,0.322365844,0.677634156
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1400,255,1145,0.182142857,0.817857143
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",1738,151,1587,0.086881473,0.913118527
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1394,561,833,0.402439024,0.597560976
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1025,248,777,0.24195122,0.75804878
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",915,471,444,0.514754098,0.485245902
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1554,863,691,0.555341055,0.444658945
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1030,611,419,0.593203883,0.406796117
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",643,417,226,0.648522551,0.351477449
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1058,351,707,0.331758034,0.668241966
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",834,231,603,0.276978417,0.723021583
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",1603,275,1328,0.171553337,0.828446663
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",1792,158,1634,0.088169643,0.911830357
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2445,538,1907,0.2200409,0.7799591
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2854,736,2118,0.257883672,0.742116328
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2315,1037,1278,0.447948164,0.552051836
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1784,645,1139,0.361547085,0.638452915
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1581,728,853,0.460468058,0.539531942
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2167,713,1454,0.329026304,0.670973696
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1912,565,1347,0.295502092,0.704497908
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1775,433,1342,0.243943662,0.756056338
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",1124,518,606,0.460854093,0.539145907
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1081,500,581,0.46253469,0.53746531
1400000US11001004700,11001004700,"Census Tract 47, District of Columbia, District of Columbia",1740,121,1619,0.06954023,0.93045977
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",836,319,517,0.381578947,0.618421053
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1177,189,988,0.16057774,0.83942226
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",844,247,597,0.292654028,0.707345972
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1002,101,901,0.100798403,0.899201597
1400000US11001005000,11001005000,"Census Tract 50, District of Columbia, District of Columbia",3614,829,2785,0.229385722,0.770614278
1400000US11001005100,11001005100,"Census Tract 51, District of Columbia, District of Columbia",565,62,503,0.109734513,0.890265487
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",3039,718,2321,0.236261928,0.763738072
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",503,9,494,0.017892644,0.982107356
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3692,1230,2462,0.333152763,0.666847237
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",123,63,60,0.512195122,0.487804878
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",968,184,784,0.190082645,0.809917355
