,GEO.id,HC01_VC32,HC01_VC23,HC02_VC23,sdsdsds89
0,1400000US11001000100,83.4,5.8,3.8,288
1,1400000US11001000201,60.8,12.5,0.0,4284
2,1400000US11001000202,85.3,2.8,1.5,1101
3,1400000US11001000300,83.5,5.3,3.7,1248
4,1400000US11001000400,81.5,6.8,8.1,74
5,1400000US11001000501,83.3,4.7,4.4,391
6,1400000US11001000502,82.2,3.8,5.1,175
7,1400000US11001000600,72.5,6.1,4.2,306
8,1400000US11001000701,72.4,7.6,4.3,398
9,1400000US11001000702,77.1,5.7,6.1,576
10,1400000US11001000801,80.3,6.3,2.3,1305
11,1400000US11001000802,86.3,3.3,0.8,325
12,1400000US11001000901,84.0,5.1,1.7,3336
13,1400000US11001000902,81.4,5.6,5.7,84
14,1400000US11001001001,82.1,6.5,1.4,343
15,1400000US11001001002,86.6,4.3,4.7,693
16,1400000US11001001100,78.3,8.9,8.1,230
17,1400000US11001001200,80.8,6.5,6.1,476
18,1400000US11001001301,84.5,6.0,3.3,300
19,1400000US11001001302,81.3,6.2,3.5,359
20,1400000US11001001401,79.4,7.8,2.5,175
21,1400000US11001001402,46.4,16.7,18.3,168
22,1400000US11001001500,75.1,6.4,3.0,131
23,1400000US11001001600,74.0,8.5,6.8,166
24,1400000US11001001701,40.9,19.8,23.1,214
25,1400000US11001001702,37.5,18.9,24.0,142
26,1400000US11001001801,42.3,3.5,3.9,331
27,1400000US11001001803,26.7,26.3,26.1,245
28,1400000US11001001804,26.0,23.7,22.4,392
29,1400000US11001001901,21.7,26.6,24.2,309
30,1400000US11001001902,37.6,20.3,19.7,138
31,1400000US11001002001,28.9,18.1,13.1,145
32,1400000US11001002002,30.7,23.1,21.2,340
33,1400000US11001002101,15.2,33.6,30.4,466
34,1400000US11001002102,20.2,28.7,32.1,539
35,1400000US11001002201,14.9,29.7,25.8,323
36,1400000US11001002202,14.6,27.2,27.2,234
37,1400000US11001002301,17.9,28.8,28.2,228
38,1400000US11001002302,43.6,15.7,21.4,344
39,1400000US11001002400,11.8,33.1,36.0,299
40,1400000US11001002501,23.3,20.0,19.1,196
41,1400000US11001002502,13.5,23.2,20.5,565
42,1400000US11001002600,69.9,8.7,7.8,122
43,1400000US11001002701,42.6,16.0,16.6,693
44,1400000US11001002702,45.5,11.3,9.4,772
45,1400000US11001002801,18.1,18.5,13.0,417
46,1400000US11001002802,11.0,13.9,15.4,694
47,1400000US11001002900,12.2,21.3,20.5,478
48,1400000US11001003000,19.1,22.4,22.0,228
49,1400000US11001003100,10.3,25.9,28.9,315
50,1400000US11001003200,15.8,22.0,25.8,416
51,1400000US11001003301,28.2,19.5,22.2,254
52,1400000US11001003302,24.3,25.4,24.9,146
53,1400000US11001003400,18.5,27.9,26.1,2059
54,1400000US11001003500,22.2,23.2,21.7,1543
55,1400000US11001003600,20.3,19.9,18.0,475
56,1400000US11001003700,16.2,20.3,21.1,1122
57,1400000US11001003800,44.9,11.7,11.5,476
58,1400000US11001003900,69.8,7.1,6.6,522
59,1400000US11001004001,83.8,5.3,5.7,191
60,1400000US11001004002,75.2,5.1,5.0,208
61,1400000US11001004100,81.8,3.9,3.8,127
62,1400000US11001004201,77.2,6.0,6.4,367
63,1400000US11001004202,80.3,4.9,6.1,290
64,1400000US11001004300,47.9,10.0,10.1,297
65,1400000US11001004400,42.0,16.1,16.3,290
66,1400000US11001004600,18.9,30.5,32.0,297
67,1400000US11001004700,10.4,27.8,22.6,390
68,1400000US11001004801,15.5,22.4,24.9,134
69,1400000US11001004802,12.4,31.2,22.3,322
70,1400000US11001004901,27.0,19.8,21.6,151
71,1400000US11001004902,23.1,22.2,17.5,411
72,1400000US11001005000,36.5,16.0,13.7,1060
73,1400000US11001005100,51.3,10.1,6.2,32
74,1400000US11001005201,62.1,10.5,7.9,484
75,1400000US11001005202,57.4,15.3,15.8,178
76,1400000US11001005301,79.4,5.0,6.2,648
77,1400000US11001005302,85.5,0.0,0.0,33
78,1400000US11001005401,84.7,4.2,5.2,540
79,1400000US11001005402,(X),(X),(X),0
