,GEO.id,QWE12,HC02_EST_VC23,QQQQ23
0,1400000US11001000100,53654,100.0,100.0
1,1400000US11001000201,34875,100.0,100.0
2,1400000US11001000202,65938,100.0,98.8
3,1400000US11001000300,57083,82.9,100.0
4,1400000US11001000400,98654,100.0,100.0
5,1400000US11001000501,43281,100.0,100.0
6,1400000US11001000502,61484,100.0,100.0
7,1400000US11001000600,53182,100.0,100.0
8,1400000US11001000701,64306,92.1,100.0
9,1400000US11001000702,42692,100.0,100.0
10,1400000US11001000801,58068,100.0,97.8
11,1400000US11001000802,56316,100.0,94.9
12,1400000US11001000901,46719,100.0,100.0
13,1400000US11001000902,62778,100.0,100.0
14,1400000US11001001001,57413,96.9,100.0
15,1400000US11001001002,59375,100.0,98.2
16,1400000US11001001100,56750,100.0,100.0
17,1400000US11001001200,50833,94.8,100.0
18,1400000US11001001301,47402,100.0,98.1
19,1400000US11001001302,53235,100.0,100.0
20,1400000US11001001401,40125,100.0,100.0
21,1400000US11001001402,50625,92.2,100.0
22,1400000US11001001500,53365,98.5,96.1
23,1400000US11001001600,39848,100.0,100.0
24,1400000US11001001701,55769,100.0,98.9
25,1400000US11001001702,53466,100.0,100.0
26,1400000US11001001801,-,100.0,100.0
27,1400000US11001001803,98563,77.5,81.6
28,1400000US11001001804,65188,94.2,71.3
29,1400000US11001001901,38799,83.2,86.8
30,1400000US11001001902,41925,88.5,89.9
31,1400000US11001002001,50069,84.8,59.1
32,1400000US11001002002,33594,78.8,94.8
33,1400000US11001002101,42672,71.5,73.1
34,1400000US11001002102,36000,77.6,81.6
35,1400000US11001002201,72143,68.2,74.5
36,1400000US11001002202,46016,73.4,81.0
37,1400000US11001002301,61944,84.6,84.6
38,1400000US11001002302,34250,97.5,99.5
39,1400000US11001002400,44803,73.0,96.6
40,1400000US11001002501,42250,89.4,60.8
41,1400000US11001002502,42446,48.8,80.9
42,1400000US11001002600,55781,97.5,100.0
43,1400000US11001002701,39118,92.0,78.1
44,1400000US11001002702,50417,75.0,96.1
45,1400000US11001002801,39667,74.4,69.9
46,1400000US11001002802,42768,49.7,56.3
47,1400000US11001002900,32330,75.6,74.1
48,1400000US11001003000,39821,96.7,84.6
49,1400000US11001003100,27250,74.6,93.6
50,1400000US11001003200,49725,67.0,84.6
51,1400000US11001003301,39479,92.0,99.3
52,1400000US11001003302,51458,100.0,90.7
53,1400000US11001003400,34708,78.0,91.7
54,1400000US11001003500,98125,84.2,97.8
55,1400000US11001003600,41341,63.0,84.9
56,1400000US11001003700,41000,74.4,86.5
57,1400000US11001003800,41759,92.3,88.2
58,1400000US11001003900,63429,78.6,100.0
59,1400000US11001004001,63081,100.0,100.0
60,1400000US11001004002,58988,91.4,100.0
61,1400000US11001004100,58182,100.0,100.0
62,1400000US11001004201,44083,96.6,100.0
63,1400000US11001004202,46008,93.4,100.0
64,1400000US11001004300,51968,87.0,100.0
65,1400000US11001004400,63781,74.7,95.0
66,1400000US11001004600,49722,80.6,88.3
67,1400000US11001004700,65096,70.7,97.8
68,1400000US11001004801,38625,87.6,100.0
69,1400000US11001004802,44438,85.5,98.3
70,1400000US11001004901,14886,91.8,89.5
71,1400000US11001004902,42356,74.1,90.6
72,1400000US11001005000,52443,84.5,85.7
73,1400000US11001005100,48000,100.0,100.0
74,1400000US11001005201,46923,90.1,100.0
75,1400000US11001005202,57794,56.8,100.0
76,1400000US11001005301,46250,70.8,100.0
77,1400000US11001005302,-,100.0,100.0
78,1400000US11001005401,50000,100.0,100.0
79,1400000US11001005402,-,-,-
80,1400000US11001005500,60349,100.0,96.8
81,1400000US11001005600,56759,100.0,100.0
82,1400000US11001005701,58281,86.7,100.0
83,1400000US11001005702,-,-,-
84,1400000US11001005800,65375,83.5,96.8
85,1400000US11001005900,43482,79.7,99.6
86,1400000US11001006001,47174,95.9,98.2
87,1400000US11001006002,-,-,15.3
88,1400000US11001006100,34183,100.0,100.0
89,1400000US11001006201,45904,100.0,100.0
90,1400000US11001006202,-,-,-
91,1400000US11001006301,59320,100.0,92.0
92,1400000US11001006302,-,-,100.0
93,1400000US11001006400,-,81.5,89.6
94,1400000US11001006500,41968,100.0,100.0
95,1400000US11001006600,40893,100.0,100.0
96,1400000US11001006700,60446,85.1,96.3
97,1400000US11001006801,45806,96.3,100.0
98,1400000US11001006802,39236,90.9,94.6
99,1400000US11001006804,-,44.9,60.5
100,1400000US11001006900,65469,77.1,98.2
101,1400000US11001007000,74805,100.0,100.0
102,1400000US11001007100,54868,81.6,91.3
103,1400000US11001007200,48462,100.0,100.0
104,1400000US11001007301,38214,100.0,93.3
105,1400000US11001007302,34583,84.4,94.5
106,1400000US11001007304,43684,84.5,82.2
107,1400000US11001007308,-,-,-
108,1400000US11001007401,37969,51.8,68.5
109,1400000US11001007403,-,76.8,86.2
110,1400000US11001007404,71250,79.3,87.4
111,1400000US11001007406,43938,49.8,79.4
112,1400000US11001007407,-,88.4,97.1
113,1400000US11001007408,-,85.4,76.1
114,1400000US11001007409,39318,77.0,97.3
115,1400000US11001007502,36413,80.1,83.5
116,1400000US11001007503,61250,63.9,75.7
117,1400000US11001007504,73403,78.4,89.2
118,1400000US11001007601,40862,82.7,90.7
119,1400000US11001007603,43906,87.1,92.0
120,1400000US11001007604,58302,82.6,100.0
121,1400000US11001007605,70163,94.3,100.0
122,1400000US11001007703,62910,73.1,87.9
123,1400000US11001007707,50086,60.0,96.3
124,1400000US11001007708,22460,96.4,77.3
125,1400000US11001007709,73958,61.9,100.0
126,1400000US11001007803,67933,81.1,74.1
127,1400000US11001007804,26023,60.1,90.8
128,1400000US11001007806,45329,81.1,100.0
129,1400000US11001007807,62727,70.3,82.8
130,1400000US11001007808,42042,73.8,66.2
131,1400000US11001007809,49844,85.5,86.5
132,1400000US11001007901,59554,76.3,82.5
133,1400000US11001007903,61354,84.0,95.5
134,1400000US11001008001,62656,80.4,98.6
135,1400000US11001008002,65417,92.4,96.7
136,1400000US11001008100,60665,90.3,96.7
137,1400000US11001008200,59350,100.0,96.6
138,1400000US11001008301,88839,91.8,100.0
139,1400000US11001008302,47574,100.0,100.0
140,1400000US11001008402,48500,88.9,100.0
141,1400000US11001008410,72578,81.8,91.2
142,1400000US11001008500,65278,92.9,88.9
143,1400000US11001008600,-,-,-
144,1400000US11001008701,21544,84.8,88.6
145,1400000US11001008702,-,96.5,74.7
146,1400000US11001008802,40341,84.0,100.0
147,1400000US11001008803,82750,97.5,88.3
148,1400000US11001008804,68182,54.2,100.0
149,1400000US11001008903,45761,57.0,81.5
150,1400000US11001008904,29010,59.4,88.8
151,1400000US11001008905,-,-,-
152,1400000US11001009000,60515,91.4,100.0
