OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
1,1400000US11001007407,29.8,2373,1045,44.0,1328,56.0,2305,97.1,28.4,2976,1489,50.0,1487,50.0,2967,99.7
2,1400000US11001007409,25.2,3444,1466,42.6,1978,57.4,3390,98.4,24.9,3684,1501,40.7,2183,59.3,3635,98.7
3,1400000US11001007502,28.6,4221,1919,45.5,2302,54.5,4101,97.2,29.7,4000,1799,45.0,2201,55.0,3936,98.4
4,1400000US11001007503,27.5,2515,1072,42.6,1443,57.4,2445,97.2,33.3,2252,1041,46.2,1211,53.8,2252,100.0
5,1400000US11001007504,28.3,2358,1088,46.1,1270,53.9,2296,97.4,28.8,2907,1350,46.4,1557,53.6,2814,96.8
6,1400000US11001007603,39.5,4255,1837,43.2,2418,56.8,3858,90.7,41.7,4425,1913,43.2,2512,56.8,3941,89.1
7,1400000US11001007604,39.2,3764,1669,44.3,2095,55.7,3555,94.4,48.3,3376,1441,42.7,1935,57.3,3157,93.5
8,1400000US11001007605,36.2,3721,1681,45.2,2040,54.8,3591,96.5,42.4,3409,1588,46.6,1821,53.4,3252,95.4
9,1400000US11001007707,37.0,3796,1684,44.4,2112,55.6,3708,97.7,33.8,3748,1550,41.4,2198,58.6,3606,96.2
10,1400000US11001007708,32.7,2706,1151,42.5,1555,57.5,2660,98.3,32.7,2880,1369,47.5,1511,52.5,2811,97.6
11,1400000US11001007709,37.9,1979,901,45.5,1078,54.5,1898,95.9,47.2,1564,780,49.9,784,50.1,1429,91.4
12,1400000US11001007803,39.0,3092,1416,45.8,1676,54.2,3014,97.5,37.9,2813,1352,48.1,1461,51.9,2762,98.2
13,1400000US11001007804,35.8,3390,1414,41.7,1976,58.3,3326,98.1,35.5,2976,1215,40.8,1761,59.2,2950,99.1
14,1400000US11001007807,36.3,1911,877,45.9,1034,54.1,1863,97.5,37.8,2029,773,38.1,1256,61.9,2006,98.9
15,1400000US11001007808,31.1,4012,1768,44.1,2244,55.9,3941,98.2,23.8,3706,1627,43.9,2079,56.1,3593,97.0
16,1400000US11001007809,37.9,2667,1218,45.7,1449,54.3,2592,97.2,35.6,2711,1184,43.7,1527,56.3,2684,99.0
17,1400000US11001007903,40.4,1840,844,45.9,996,54.1,1776,96.5,46.1,1475,611,41.4,864,58.6,1407,95.4
18,1400000US11001008001,38.2,2578,1285,49.8,1293,50.2,2165,84.0,36.0,2514,1059,42.1,1455,57.9,1210,48.1
19,1400000US11001008002,37.1,3104,1499,48.3,1605,51.7,2215,71.4,34.4,3566,1875,52.6,1691,47.4,1394,39.1
20,1400000US11001008200,33.3,2505,1261,50.3,1244,49.7,176,7.0,30.7,2774,1237,44.6,1537,55.4,103,3.7
21,1400000US11001008301,34.6,2243,1175,52.4,1068,47.6,763,34.0,37.3,2357,1277,54.2,1080,45.8,316,13.4
22,1400000US11001008402,37.4,2139,972,45.4,1167,54.6,1519,71.0,40.6,2423,982,40.5,1441,59.5,1171,48.3
23,1400000US11001008410,36.3,1506,725,48.1,781,51.9,1379,91.6,35.6,1698,1096,64.5,602,35.5,1316,77.5
24,1400000US11001008701,37.8,2415,1144,47.4,1271,52.6,2298,95.2,33.5,2028,936,46.2,1092,53.8,1840,90.7
25,1400000US11001008802,38.9,4160,1875,45.1,2285,54.9,4010,96.4,35.7,4386,2055,46.9,2331,53.1,3779,86.2
26,1400000US11001008803,24.4,1918,931,48.5,987,51.5,1132,59.0,28.0,1573,810,51.5,763,48.5,977,62.1
27,1400000US11001008804,36.2,2277,1069,46.9,1208,53.1,2220,97.5,41.8,2751,1446,52.6,1305,47.4,2664,96.8
28,1400000US11001008903,36.8,2396,1109,46.3,1287,53.7,2321,96.9,35.7,2259,1152,51.0,1107,49.0,2169,96.0
29,1400000US11001009000,53.1,2263,844,37.3,1419,62.7,2195,97.0,50.2,2594,1037,40.0,1557,60.0,2524,97.3
