GEO_ID,AREA,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC38,HC02_VC38_x,HC03_VC38_x,HC01_VC43,HC02_VC38_y,HC03_VC38_y
1400000US11001001600,0.000278315,166,76,90,20,8,12,31,4,27,34,11,23,81,53,28,92.3,96.4,88.1,65.2,83.9,46.4,96.1,91.9,100,73.3,77.9,68.9,98.4,98.3,98.4,82.6,77.3,87.6,94.5,100,90.8,65.1,100,90.8
1400000US11001001500,0.000492045,131,78,53,21,16,5,0,0,0,50,33,17,60,29,31,100,100,100,83.6,85.7,81.6,98.8,97.7,100,82.8,83.5,81.8,98.6,97.1,100,81.5,93,71.1,95.2,93.7,96,53.9,93.7,96
1400000US11001001701,6.32E-05,214,99,115,33,33,0,60,17,43,62,29,33,59,20,39,76.2,72.1,80.8,39.8,26.1,54.7,81.6,78.6,84.6,40.2,27.1,53.4,87,77.7,93.9,41.9,45.5,39.2,67.8,78,63.2,40.7,78,63.2
1400000US11001001801,5.10E-05,331,185,146,0,0,0,121,73,48,191,104,87,19,8,11,100,100,100,25.4,20.3,100,100,100,0,75,75,0,100,100,100,48.6,100,0,0,0,0,0,0,0
1400000US11001001702,9.90E-05,142,71,71,51,35,16,31,20,11,31,11,20,29,5,24,88.4,91.9,86.1,31.4,30.6,32,79.7,77.3,83,50.9,50,52.3,94.8,97.5,92.8,44.7,49.6,40.9,73.6,68,77.6,18.2,68,77.6
1400000US11001001803,0.00012527,245,139,106,111,68,43,56,41,15,59,20,39,19,10,9,72.8,63.6,81.6,11.9,11.7,12.1,77,76.9,77.1,29.3,24,32.7,76.5,85,69.6,37.2,43.9,31.8,77.5,71.2,80.8,25.4,71.2,80.8
1400000US11001001804,6.22E-05,392,206,186,218,153,65,61,20,41,107,33,74,6,0,6,67.7,68.9,66.1,17.4,16.9,18.1,78.6,76.1,80.6,27.7,23.5,31,70.9,67.4,73.5,32.1,27.4,35.6,66.5,62.7,68.7,24.1,62.7,68.7
1400000US11001001401,8.43E-05,175,65,110,49,24,25,26,18,8,38,23,15,62,0,62,95.6,95.6,95.6,88.6,85.3,91.3,98.4,100,97,90.7,86.9,94,94.3,93.6,94.9,78.1,83.3,73.4,96.2,100,94.1,55.4,100,94.1
1400000US11001009505,0.000110261,115,67,48,41,36,5,6,0,6,40,22,18,28,9,19,100,100,100,30,22.8,36.1,94.7,89.9,100,24.7,10.1,40.8,89.6,87.5,90.9,29.7,19.8,35.8,66,68.5,64.7,20.6,68.5,64.7
1400000US11001001901,8.05E-05,309,186,123,92,79,13,91,46,45,118,53,65,8,8,0,86.2,87.6,84.9,21.2,19.6,22.7,83.2,75.9,89,31.4,28.4,33.7,76.1,66.2,83,20.7,19.7,21.4,57.8,46.3,64.2,15.5,46.3,64.2
1400000US11001001902,9.47E-05,138,67,71,18,18,0,82,44,38,20,5,15,18,0,18,87.1,80,93.6,48.8,44,53.2,90.8,87.9,93.3,48.4,37.6,57.9,88.7,88.5,89,36.9,39.5,34.8,74.1,68.8,77.6,24.8,68.8,77.6
1400000US11001001100,0.000180701,230,93,137,44,10,34,36,26,10,57,24,33,93,33,60,99,97.6,100,87.9,81.1,92.6,98.7,100,97.5,91.9,95.6,88.3,96.8,98.6,95.2,82.3,85.3,79.6,86.9,89.2,85.7,48.2,89.2,85.7
1400000US11001001402,9.43E-05,168,67,101,8,0,8,18,5,13,37,31,6,105,31,74,95.6,94.3,97.1,86.9,77,97.1,96.3,96.3,96.3,87.7,90.4,85.2,93.1,92.9,93.3,67.7,67.6,67.7,71,68.2,77.8,13.4,68.2,77.8
1400000US11001002001,5.96E-05,145,60,85,27,10,17,27,18,9,62,3,59,29,29,0,75.7,64.5,86.4,23.3,19.5,26.9,59.1,58.6,59.7,19.6,13.5,25.3,86.9,82.3,91.1,47.7,59.2,37.2,66.7,65.6,67.4,10.2,65.6,67.4
1400000US11001001301,0.000291316,300,97,203,18,18,0,28,0,28,29,6,23,225,73,152,100,100,100,93.1,100,87.1,98.5,100,97.2,85.3,83,87.2,99.2,100,98.5,92.4,95.3,89.9,91.8,95,90.2,52,95,90.2
