GEO_ID_2,ACS_12,ACS_43,DEC_00_1
1400000US11001007407,0,36,24.0
1400000US11001007409,0,34,26.8
1400000US11001007502,44,130,28.4
1400000US11001007503,0,69,31.5
1400000US11001007504,23,32,24.8
1400000US11001007603,216,176,27.9
1400000US11001007604,239,115,22.9
1400000US11001007605,28,94,24.3
1400000US11001007707,44,387,26.1
1400000US11001007708,19,112,27.7
1400000US11001007709,64,107,25.3
1400000US11001007803,44,113,26.8
1400000US11001007804,0,121,21.8
1400000US11001007807,26,62,22.2
1400000US11001007808,10,116,28.1
1400000US11001007809,30,67,20.1
1400000US11001007903,19,36,25.7
1400000US11001008001,871,118,30.1
1400000US11001008002,1583,106,21.9
1400000US11001008200,2188,76,21.9
1400000US11001008301,1675,23,21.9
1400000US11001008402,1060,95,26.2
1400000US11001008410,240,47,23.5
1400000US11001008701,79,55,23.8
1400000US11001008802,352,290,26.3
1400000US11001008803,411,14,33.0
1400000US11001008804,0,208,27.1
1400000US11001008903,36,74,23.9
1400000US11001009000,8,209,27.5
1400000US11001009102,86,100,24.9
1400000US11001009201,143,26,33.3
1400000US11001009204,60,111,25.5
1400000US11001000100,3999,149,22.0
1400000US11001000201,2905,20,0.0
1400000US11001000400,1122,99,24.3
1400000US11001000702,1811,71,24.1
1400000US11001001002,1771,44,31.1
1400000US11001001401,2841,151,24.1
1400000US11001001702,688,94,22.5
1400000US11001002201,195,121,30.0
1400000US11001002501,374,219,28.5
1400000US11001002801,316,131,25.8
1400000US11001002900,643,90,28.3
1400000US11001003301,598,91,29.6
1400000US11001003600,1047,86,27.1
1400000US11001004002,1871,19,22.7
1400000US11001004202,1877,56,23.7
1400000US11001004702,,,
1400000US11001004901,583,55,27.9
1400000US11001005600,2995,408,34.5
1400000US11001006400,40,103,25.9
1400000US11001006801,580,63,28.9
1400000US11001007100,514,45,22.2
1400000US11001007403,45,22,22.4
1400000US11001007408,24,0,28.4
1400000US11001007601,72,201,22.5
1400000US11001007703,27,228,26.2
1400000US11001007806,77,40,20.7
1400000US11001007901,249,96,24.3
1400000US11001008302,1433,7,22.0
1400000US11001008702,335,54,21.3
1400000US11001008904,23,164,29.8
1400000US11001009203,290,58,25.7
1400000US11001009302,109,9,25.4
1400000US11001009504,629,289,22.2
1400000US11001009509,99,493,14.3
1400000US11001009602,14,84,30.2
1400000US11001009603,21,139,26.9
1400000US11001009604,57,205,25.9
1400000US11001009700,7,51,23.4
1400000US11001009802,20,35,18.7
1400000US11001009807,28,85,25.4
1400000US11001009904,47,47,25.0
1400000US11001009906,0,100,32.6
1400000US11001010500,,,
1400000US11001010800,,,
1400000US11001000202,3628,55,36.0
1400000US11001000300,4311,97,22.5
1400000US11001000501,2501,62,19.1
1400000US11001000502,2374,164,23.5
1400000US11001000600,4141,490,21.8
1400000US11001000701,3336,547,22.4
1400000US11001000802,2379,145,25.5
1400000US11001000901,6421,135,26.3
1400000US11001000902,2079,46,17.9
1400000US11001001001,6308,427,23.3
1400000US11001001100,3451,125,22.8
1400000US11001001200,3600,246,22.2
1400000US11001001301,2966,304,22.4
1400000US11001001302,4820,350,22.7
1400000US11001001402,2169,168,29.1
1400000US11001001500,4813,457,24.3
1400000US11001001600,890,329,23.6
1400000US11001001803,179,168,23.6
1400000US11001001804,145,178,24.4
1400000US11001001901,197,200,22.5
1400000US11001002001,673,93,24.8
1400000US11001002002,990,169,26.9
1400000US11001002101,401,198,23.2
1400000US11001002102,150,293,25.5
1400000US11001002202,234,104,21.4
1400000US11001002301,368,124,19.5
1400000US11001002302,437,229,26.3
1400000US11001002400,257,340,31.0
1400000US11001002502,447,214,25.2
1400000US11001002600,1020,127,22.5
1400000US11001002701,2541,156,25.3
1400000US11001002702,3179,105,25.1
1400000US11001002802,756,146,25.4
1400000US11001003000,839,69,29.5
1400000US11001003100,439,52,28.6
1400000US11001003200,652,190,27.4
1400000US11001003302,515,33,26.3
1400000US11001003400,365,33,27.1
1400000US11001003500,299,85,28.7
1400000US11001003700,887,125,23.7
1400000US11001003800,2103,34,25.1
1400000US11001003900,2329,77,23.4
1400000US11001004001,3120,125,22.7
1400000US11001004100,2249,145,20.4
1400000US11001004201,2264,54,24.9
1400000US11001004300,1497,86,25.6
1400000US11001004400,2016,15,26.1
1400000US11001004600,354,41,29.6
1400000US11001004701,,,
1400000US11001004801,489,144,29.4
1400000US11001004802,912,96,24.4
1400000US11001004902,1034,2,23.5
1400000US11001005001,,,
1400000US11001005002,,,
1400000US11001005201,3056,108,25.7
1400000US11001005301,3760,146,22.5
1400000US11001005500,3594,105,25.8
1400000US11001005800,1368,108,26.1
1400000US11001005900,1246,50,18.5
1400000US11001006202,0,0,0.0
1400000US11001006500,2255,39,20.9
1400000US11001006600,1675,103,20.6
1400000US11001006700,3207,87,20.8
1400000US11001006802,656,149,23.7
1400000US11001006804,76,0,10.0-
1400000US11001006900,1138,66,27.2
1400000US11001007000,1708,34,21.2
1400000US11001007200,138,92,24.9
1400000US11001007301,1620,0,25.1
1400000US11001007304,33,118,26.2
1400000US11001007401,275,30,23.7
1400000US11001007404,29,29,25.8
1400000US11001007406,0,46,28.8
1400000US11001009301,872,320,24.2
1400000US11001009400,154,402,27.6
1400000US11001009501,1719,114,27.0
1400000US11001009503,341,293,20.5
1400000US11001009505,9,302,22.2
1400000US11001009507,59,174,26.3
1400000US11001009508,46,385,22.5
1400000US11001009601,0,55,22.1
1400000US11001009801,29,59,24.9
1400000US11001009803,37,15,30.0
1400000US11001009804,33,25,25.8
1400000US11001009810,,,
1400000US11001009811,,,
1400000US11001009901,19,275,24.1
1400000US11001009902,173,249,27.2
1400000US11001009903,0,62,27.6
1400000US11001009905,0,155,29.4
1400000US11001009907,0,141,28.0
1400000US11001010100,,,
1400000US11001010200,,,
1400000US11001010300,,,
1400000US11001010400,,,
1400000US11001010600,,,
1400000US11001010700,,,
1400000US11001010900,,,
1400000US11001011000,,,
1400000US11001011100,,,
1400000US11001001902,212,206,19.8
1400000US11001008100,2449,0,21.7
1400000US11001000801,5240,553,26.4
1400000US51059415100,2219,131,21.1
1400000US51059415401,,,
1400000US51059416000,2377,108,24.7
1400000US51059420100,1590,117,23.4
1400000US51059420800,1758,175,20.0
1400000US51059421200,1415,186,20.1
1400000US51059421600,676,27,25.0
1400000US51059421800,1528,109,28.7
1400000US51059422301,,,
1400000US51059422401,,,
1400000US51059430203,,,
1400000US51059430500,938,100,23.8
1400000US51059430901,,,
1400000US51059431801,,,
1400000US51059431900,2326,38,23.8
1400000US51059432300,3301,150,22.7
1400000US51059432702,,,
1400000US51059440600,1454,122,19.4
1400000US51059450200,1243,159,23.8
1400000US51059450500,1003,128,24.1
