GEO_ID_2,ACS_15,HC03_EST_VC32,DEC_20
1400000US11001007407,39788,98.6,55
1400000US11001007409,39926,55.7,49
1400000US11001007502,30104,93.6,33
1400000US11001007503,20536,53.3,27
1400000US11001007504,42250,19.7,18
1400000US11001007603,46310,73.2,41
1400000US11001007604,38226,79.0,51
1400000US11001007605,39828,76.1,38
1400000US11001007707,35032,69.8,135
1400000US11001007708,41316,61.1,22
1400000US11001007709,34250,68.9,19
1400000US11001007803,37216,71.8,99
1400000US11001007804,27955,48.0,95
1400000US11001007807,28281,68.9,60
1400000US11001007808,36650,60.0,165
1400000US11001007809,17969,57.8,97
1400000US11001007903,45000,59.6,44
1400000US11001008001,66132,94.5,38
1400000US11001008002,59130,44.2,13
1400000US11001008200,83472,87.3,0
1400000US11001008301,77750,57.5,0
1400000US11001008402,50611,31.7,0
1400000US11001008410,55769,69.6,35
1400000US11001008701,35478,65.4,36
1400000US11001008802,43546,77.9,156
1400000US11001008803,11083,48.3,7
1400000US11001008804,20992,41.3,72
1400000US11001008903,16318,60.5,88
1400000US11001009000,63300,54.5,33
1400000US11001009102,29618,72.9,133
1400000US11001009201,17363,83.3,50
1400000US11001009204,30573,23.1,14
1400000US11001000100,127000,100.0,6
1400000US11001000201,-,-,0
1400000US11001000400,86875,100.0,0
1400000US11001000702,54792,100.0,0
1400000US11001001002,71744,99.6,0
1400000US11001001401,132625,93.6,0
1400000US11001001702,44415,90.2,8
1400000US11001002201,32422,69.9,10
1400000US11001002501,54375,60.6,6
1400000US11001002801,40078,43.8,7
1400000US11001002900,39089,77.9,0
1400000US11001003301,69900,61.3,19
1400000US11001003600,55000,65.4,0
1400000US11001004002,74538,87.1,0
1400000US11001004202,79386,100.0,0
1400000US11001004702,79924,45.9,
1400000US11001004901,65292,56.4,8
1400000US11001005600,84219,95.6,0
1400000US11001006400,50774,49.0,10
1400000US11001006801,62647,62.0,7
1400000US11001007100,69524,58.1,23
1400000US11001007403,36496,47.8,6
1400000US11001007408,23958,43.8,3
1400000US11001007601,30849,66.6,87
1400000US11001007703,34849,81.9,67
1400000US11001007806,31344,82.4,44
1400000US11001007901,43277,73.4,53
1400000US11001008302,64792,84.6,0
1400000US11001008702,52857,94.9,15
1400000US11001008904,22460,32.5,9
1400000US11001009203,43750,63.3,115
1400000US11001009302,42270,44.7,27
1400000US11001009504,42111,72.9,16
1400000US11001009509,32352,80.1,24
1400000US11001009602,33622,32.8,8
1400000US11001009603,42250,93.2,66
1400000US11001009604,37292,71.1,196
1400000US11001009700,42099,84.6,62
1400000US11001009802,9183,60.9,98
1400000US11001009807,26741,56.1,68
1400000US11001009904,37946,86.8,0
1400000US11001009906,30234,78.6,53
1400000US11001010500,72917,70.8,
1400000US11001010800,17237,100.0,
1400000US11001000202,97917,100.0,0
1400000US11001000300,76719,93.9,0
1400000US11001000501,78676,100.0,0
1400000US11001000502,90329,93.1,0
1400000US11001000600,83417,89.3,0
1400000US11001000701,63604,87.8,0
1400000US11001000802,132589,94.8,0
1400000US11001000901,180859,100.0,0
1400000US11001000902,121591,100.0,0
1400000US11001001001,111144,97.6,0
1400000US11001001100,111875,88.3,8
1400000US11001001200,69467,87.5,0
1400000US11001001301,78681,90.5,9
1400000US11001001302,77926,100.0,0
1400000US11001001402,103365,75.1,0
1400000US11001001500,157168,93.4,0
1400000US11001001600,93349,94.0,8
1400000US11001001803,28060,69.5,0
1400000US11001001804,23874,60.6,14
1400000US11001001901,32176,77.2,7
1400000US11001002001,32832,82.2,0
1400000US11001002002,43864,58.2,6
1400000US11001002101,33105,75.2,52
