OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA
1,1400000US11001007407,11,001,007407,74.07,Tract,0.236,11001007407,11001,15060.9516378,6706389.10371
2,1400000US11001007409,11,001,007409,74.09,Tract,0.154,11001007409,11001,9941.92968711,4429518.39789
3,1400000US11001007502,11,001,007502,75.02,Tract,0.238,11001007502,11001,14376.4171156,6842619.79612
4,1400000US11001007503,11,001,007503,75.03,Tract,0.193,11001007503,11001,8928.50159356,5312069.97021
5,1400000US11001007504,11,001,007504,75.04,Tract,0.308,11001007504,11001,14008.1920175,8718197.63931
6,1400000US11001007603,11,001,007603,76.03,Tract,0.474,11001007603,11001,16317.6185022,12856879.1997
7,1400000US11001007604,11,001,007604,76.04,Tract,0.528,11001007604,11001,17744.4234299,14928874.8761
8,1400000US11001007605,11,001,007605,76.05,Tract,0.175,11001007605,11001,12034.0832155,4873930.78019
9,1400000US11001007707,11,001,007707,77.07,Tract,0.325,11001007707,11001,14129.4259981,9226634.57434
10,1400000US11001007708,11,001,007708,77.08,Tract,0.283,11001007708,11001,14010.3451393,9200929.58921
11,1400000US11001007709,11,001,007709,77.09,Tract,0.325,11001007709,11001,15103.6068399,9947935.90779
12,1400000US11001007803,11,001,007803,78.03,Tract,0.387,11001007803,11001,14769.8386938,10657052.4692
13,1400000US11001007804,11,001,007804,78.04,Tract,0.326,11001007804,11001,14823.6406978,9154423.63777
14,1400000US11001007807,11,001,007807,78.07,Tract,0.202,11001007807,11001,11019.3911866,5627169.98646
15,1400000US11001007808,11,001,007808,78.08,Tract,0.364,11001007808,11001,13576.0459295,10303069.3083
16,1400000US11001007809,11,001,007809,78.09,Tract,0.207,11001007809,11001,12716.5856129,5879032.9001
17,1400000US11001007903,11,001,007903,79.03,Tract,0.094,11001007903,11001,7052.69906532,2653776.79
18,1400000US11001008001,11,001,008001,80.01,Tract,0.126,11001008001,11001,7860.08300601,3535879.63689
19,1400000US11001008002,11,001,008002,80.02,Tract,0.223,11001008002,11001,12586.0676946,6087480.47483
20,1400000US11001008200,11,001,008200,82,Tract,0.131,11001008200,11001,9957.57754945,3659803.17302
21,1400000US11001008301,11,001,008301,83.01,Tract,0.117,11001008301,11001,7767.94927886,3269627.15262
22,1400000US11001008402,11,001,008402,84.02,Tract,0.104,11001008402,11001,8717.37890995,2863891.20893
23,1400000US11001008410,11,001,008410,84.10,Tract,0.085,11001008410,11001,7628.35089837,2388674.63807
24,1400000US11001008701,11,001,008701,87.01,Tract,0.148,11001008701,11001,8640.17379687,4005434.37608
25,1400000US11001008802,11,001,008802,88.02,Tract,0.182,11001008802,11001,9338.93983327,5077523.55602
26,1400000US11001008803,11,001,008803,88.03,Tract,0.445,11001008803,11001,17334.0824067,12352793.7697
27,1400000US11001008804,11,001,008804,88.04,Tract,0.304,11001008804,11001,12805.355237,8519833.90875
28,1400000US11001008903,11,001,008903,89.03,Tract,0.116,11001008903,11001,9804.01852275,3226673.9541
29,1400000US11001009000,11,001,009000,90,Tract,0.55,11001009000,11001,17719.7866888,15704383.4772
30,1400000US11001009102,11,001,009102,91.02,Tract,0.709,11001009102,11001,20777.1249079,19747952.7075
31,1400000US11001009201,11,001,009201,92.01,Tract,0.247,11001009201,11001,10905.0369723,6881365.06981
32,1400000US11001009204,11,001,009204,92.04,Tract,0.117,11001009204,11001,8252.99639123,3267701.50618
33,1400000US11001000100,11,001,000100,1,Tract,0.722,11001000100,11001,31800.9322577,25265826.6992
