GEO_ID_2,ACS21,HC03_VC77
1400000US11001007407,98.4,0.0
1400000US11001007409,100.0,0.0
1400000US11001007502,98.7,0.0
1400000US11001007503,99.8,0.0
1400000US11001007504,97.4,0.0
1400000US11001007603,88.4,0.9
1400000US11001007604,92.5,0.6
1400000US11001007605,94.7,0.0
1400000US11001007707,96.5,0.4
1400000US11001007708,99.1,0.0
1400000US11001007709,91.5,3.1
1400000US11001007803,97.3,0.2
1400000US11001007804,95.4,2.9
1400000US11001007807,99.5,0.0
1400000US11001007808,96.2,2.1
1400000US11001007809,97.0,0.7
1400000US11001007903,91.5,0.0
1400000US11001008001,42.9,0.1
1400000US11001008002,36.9,2.9
1400000US11001008200,3.9,1.5
1400000US11001008301,14.0,1.0
1400000US11001008402,40.8,1.3
1400000US11001008410,66.2,0.0
1400000US11001008701,81.9,0.5
1400000US11001008802,83.1,0.6
1400000US11001008803,55.4,7.5
1400000US11001008804,89.4,6.2
1400000US11001008903,89.0,6.4
1400000US11001009000,97.1,0.0
1400000US11001009102,91.9,0.2
1400000US11001009201,60.2,8.5
1400000US11001009204,75.6,12.3
1400000US11001000100,0.5,2.4
1400000US11001000201,7.9,0.4
1400000US11001000400,4.4,0.0
1400000US11001000702,4.7,4.2
1400000US11001001002,5.4,0.0
1400000US11001001401,7.2,3.4
1400000US11001001702,56.5,3.4
1400000US11001002201,76.2,8.9
1400000US11001002501,72.4,5.6
1400000US11001002801,42.2,9.0
1400000US11001002900,31.1,13.4
1400000US11001003301,57.2,8.1
1400000US11001003600,39.3,9.2
1400000US11001004002,6.5,2.2
1400000US11001004202,3.2,1.5
1400000US11001004702,51.3,0.6
1400000US11001004901,41.2,3.2
1400000US11001005600,8.0,3.0
1400000US11001006400,86.8,0.0
1400000US11001006801,61.5,0.9
1400000US11001007100,64.9,0.5
1400000US11001007403,98.4,1.6
1400000US11001007408,98.5,0.3
1400000US11001007601,97.5,0.0
1400000US11001007703,99.1,0.7
1400000US11001007806,92.1,0.0
1400000US11001007901,86.7,0.5
1400000US11001008302,20.1,2.6
1400000US11001008702,78.0,4.5
1400000US11001008904,88.8,7.2
1400000US11001009203,76.5,3.5
1400000US11001009302,68.4,0.0
