GEO_ID_2,HD01_VD01
1400000US11001007407,36332
1400000US11001007409,25369
1400000US11001007502,31458
1400000US11001007503,30313
1400000US11001007504,19519
1400000US11001007603,49458
1400000US11001007604,51074
1400000US11001007605,41773
1400000US11001007707,46680
1400000US11001007708,29063
1400000US11001007709,28490
1400000US11001007803,25577
1400000US11001007804,26833
1400000US11001007807,26989
1400000US11001007808,24375
1400000US11001007809,21332
1400000US11001007903,43000
1400000US11001008001,94931
1400000US11001008002,96385
1400000US11001008200,85484
1400000US11001008301,121058
1400000US11001008402,64261
1400000US11001008410,104710
1400000US11001008701,54750
1400000US11001008802,41746
1400000US11001008803,27344
1400000US11001008804,26615
1400000US11001008903,30020
1400000US11001009000,32287
1400000US11001009102,31544
1400000US11001009201,41902
1400000US11001009204,31290
1400000US11001000100,136842
1400000US11001000201,-
1400000US11001000400,182578
1400000US11001000702,66352
1400000US11001001002,89119
1400000US11001001401,126576
1400000US11001001702,106154
1400000US11001002201,60882
1400000US11001002501,32067
1400000US11001002801,46393
1400000US11001002900,60861
1400000US11001003301,86101
1400000US11001003600,47656
1400000US11001004002,89189
1400000US11001004202,81326
1400000US11001004702,70490
1400000US11001004901,50948
1400000US11001005600,64028
1400000US11001006400,20965
1400000US11001006801,83618
1400000US11001007100,39861
1400000US11001007403,31647
1400000US11001007408,19175
1400000US11001007601,40681
1400000US11001007703,32220
1400000US11001007806,42390
1400000US11001007901,31765
1400000US11001008302,96823
1400000US11001008702,51650
1400000US11001008904,27601
1400000US11001009203,46159
1400000US11001009302,65700
1400000US11001009504,52095
1400000US11001009509,66341
1400000US11001009602,25307
1400000US11001009603,41898
1400000US11001009604,43588
1400000US11001009700,30821
1400000US11001009802,24464
1400000US11001009807,38500
1400000US11001009904,37931
1400000US11001009906,40085
1400000US11001010500,59583
1400000US11001010800,13672
1400000US11001000202,135893
1400000US11001000300,99063
1400000US11001000501,89191
1400000US11001000502,104375
1400000US11001000600,113922
1400000US11001000701,81039
1400000US11001000802,92384
1400000US11001000901,219583
1400000US11001000902,179167
1400000US11001001001,147500
1400000US11001001100,128909
1400000US11001001200,109405
1400000US11001001301,79098
1400000US11001001302,78140
1400000US11001001402,87826
1400000US11001001500,179859
1400000US11001001600,135403
1400000US11001001803,38000
1400000US11001001804,38007
1400000US11001001901,53750
1400000US11001002001,47878
1400000US11001002002,56808
1400000US11001002101,43769
1400000US11001002102,45046
1400000US11001002202,44096
1400000US11001002301,54167
1400000US11001002302,54022
1400000US11001002400,63342
1400000US11001002502,42604
1400000US11001002600,126944
1400000US11001002701,58659
1400000US11001002702,99524
1400000US11001002802,45625
1400000US11001003000,60459
1400000US11001003100,74637
1400000US11001003200,62361
1400000US11001003302,97216
1400000US11001003400,46365
1400000US11001003500,63510
1400000US11001003700,60324
1400000US11001003800,79120
1400000US11001003900,76107
1400000US11001004001,98425
1400000US11001004100,105341
1400000US11001004201,89353
1400000US11001004300,64959
1400000US11001004400,101853
1400000US11001004600,78257
1400000US11001004701,19572
1400000US11001004801,82866
1400000US11001004802,57943
1400000US11001004902,89267
1400000US11001005001,135313
1400000US11001005002,81744
1400000US11001005201,72340
1400000US11001005301,93006
1400000US11001005500,94489
1400000US11001005800,120329
1400000US11001005900,83911
1400000US11001006202,-
1400000US11001006500,127963
1400000US11001006600,123170
1400000US11001006700,145313
1400000US11001006802,99500
1400000US11001006804,-
1400000US11001006900,118500
1400000US11001007000,102054
1400000US11001007200,80313
1400000US11001007301,66990
1400000US11001007304,32000
1400000US11001007401,16000
1400000US11001007404,26681
1400000US11001007406,27333
1400000US11001009301,75833
1400000US11001009400,69639
1400000US11001009501,40528
1400000US11001009503,77451
1400000US11001009505,66591
1400000US11001009507,52981
1400000US11001009508,51525
1400000US11001009601,45000
1400000US11001009801,28900
1400000US11001009803,26471
1400000US11001009804,50156
1400000US11001009810,26515
1400000US11001009811,25750
1400000US11001009901,80036
1400000US11001009902,52379
1400000US11001009903,54667
1400000US11001009905,36185
1400000US11001009907,24459
1400000US11001010100,56771
1400000US11001010200,76414
1400000US11001010300,55910
1400000US11001010400,29873
1400000US11001010600,76680
1400000US11001010700,59522
1400000US11001010900,29667
1400000US11001011000,74500
1400000US11001011100,60268
1400000US11001001902,64196
1400000US11001008100,128523
1400000US11001000801,118569
1400000US51059415100,108633
1400000US51059415401,62500
1400000US51059416000,73819
1400000US51059420100,85662
1400000US51059420800,97083
1400000US51059421200,128816
1400000US51059421600,62621
1400000US51059421800,72386
1400000US51059422301,103750
1400000US51059422401,89647
1400000US51059430203,137847
1400000US51059430500,86324
1400000US51059430901,90240
1400000US51059431801,81250
1400000US51059431900,169808
1400000US51059432300,154397
1400000US51059432702,100040
1400000US51059440600,104018
1400000US51059450200,81281
1400000US51059450500,76513
1400000US51059450702,58021
1400000US51059451300,139583
1400000US51059451900,93000
1400000US51059452102,62969
1400000US51059452502,54070
1400000US51059452802,71840
1400000US51059460200,184073
1400000US51059460300,161458
1400000US51059460600,150625
1400000US51059461000,143306
1400000US51059461601,115536
1400000US51059461901,59212
1400000US51059470600,162778
1400000US51059471000,142198
1400000US51059471303,98402
1400000US51059480202,92781
1400000US51059480501,193293
1400000US51059480802,115342
1400000US51059481000,75844
1400000US51059481104,102670
1400000US51059481701,192031
1400000US51059482301,103917
1400000US51059482502,145156
1400000US51059490501,77525
1400000US51059491202,51691
1400000US51059491401,94073
1400000US51059491501,101648
1400000US51059491703,84544
1400000US51059491801,80531
1400000US51059492202,182170
1400000US51059980100,-
1400000US51013100100,170533
1400000US51013100400,213529
1400000US51013100800,70714
1400000US51013101401,101250
1400000US51013101602,98971
1400000US51013101703,81806
1400000US51013101900,152639
1400000US51013102301,112951
1400000US51013102702,87804
1400000US51013102902,93912
1400000US51013103402,112319
1400000US51013103602,93214
1400000US51510200103,55615
1400000US51510200107,79129
1400000US51510200301,73958
1400000US51510200405,65179
1400000US51510200500,49349
1400000US51510200600,89740
1400000US51510200701,129667
1400000US51510200702,118718
1400000US51510200900,166667
1400000US51510201204,65475
1400000US51510201600,100809
1400000US51510202001,185536
1400000US51600300300,
1400000US51610500300,119236
1400000US51059415200,85969
1400000US51059415300,78500
1400000US51059415402,110625
1400000US51059415500,102031
1400000US51059415600,191458
1400000US51059415700,153690
1400000US51059415800,153464
1400000US51059415900,164271
1400000US51059416100,126250
1400000US51059416200,73500
1400000US51059416300,97159
1400000US51059420201,124535
1400000US51059420202,90150
1400000US51059420203,112981
1400000US51059420300,114076
1400000US51059420501,88456
1400000US51059420502,76423
1400000US51059420503,68750
1400000US51059420600,93988
1400000US51059420700,99594
1400000US51059421001,97841
1400000US51059421002,96530
1400000US51059421101,120238
1400000US51059421102,103343
1400000US51059421103,128618
1400000US51059421300,123090
1400000US51059421400,42946
1400000US51059421500,51094
1400000US51059421701,55354
1400000US51059421702,102448
1400000US51059421900,61985
1400000US51059422000,106806
1400000US51059422101,77135
1400000US51059422102,78204
1400000US51059422201,133807
1400000US51059422202,87328
1400000US51059422302,89199
1400000US51059422402,115924
1400000US51059422403,118594
1400000US51059430101,150388
1400000US51059430102,107572
1400000US51059430201,105882
1400000US51059430202,122500
1400000US51059430400,104926
1400000US51059430600,83472
1400000US51059430700,100329
1400000US51059430801,116645
1400000US51059430802,104250
1400000US51059430902,111735
1400000US51059431001,105729
1400000US51059431002,103548
1400000US51059431300,117955
1400000US51059431400,124892
1400000US51059431500,126250
1400000US51059431600,75082
1400000US51059431802,124628
1400000US51059432000,113750
1400000US51059432100,105592
1400000US51059432201,70845
1400000US51059432202,105504
1400000US51059432401,145469
1400000US51059432402,138182
1400000US51059432500,143375
1400000US51059432600,171719
1400000US51059432701,150724
1400000US51059432800,86304
1400000US51059440100,139881
1400000US51059440201,76681
1400000US51059440202,105056
1400000US51059440300,167829
1400000US51059440501,127090
1400000US51059440502,140441
1400000US51059440701,158021
1400000US51059440702,142254
1400000US51059440800,133854
1400000US51059450100,81099
1400000US51059450300,82917
1400000US51059450400,124830
1400000US51059450601,117228
1400000US51059450602,64656
1400000US51059450701,113071
1400000US51059450800,93000
1400000US51059450900,130972
1400000US51059451000,114750
1400000US51059451100,160417
1400000US51059451200,198088
1400000US51059451400,46000
1400000US51059451501,64931
1400000US51059451502,73542
1400000US51059451601,56958
1400000US51059451602,75778
1400000US51059451800,103125
1400000US51059452000,94632
1400000US51059452101,102578
1400000US51059452200,64844
1400000US51059452301,57526
1400000US51059452302,74755
1400000US51059452400,91558
1400000US51059452501,96250
1400000US51059452600,78646
1400000US51059452700,63924
1400000US51059452801,82833
1400000US51059460100,173750
1400000US51059460400,127137
1400000US51059460501,168690
1400000US51059460502,173576
1400000US51059460701,94970
1400000US51059460702,124896
1400000US51059460800,104313
1400000US51059460900,146964
1400000US51059461100,152006
1400000US51059461201,195242
1400000US51059461202,107593
1400000US51059461500,154271
1400000US51059461602,105742
1400000US51059461700,106653
1400000US51059461801,101677
1400000US51059461802,94950
1400000US51059461902,54871
1400000US51059470100,236827
1400000US51059470300,230278
1400000US51059470400,190227
1400000US51059470500,156250
1400000US51059470700,158058
1400000US51059470800,134083
1400000US51059470900,139681
1400000US51059471100,101929
1400000US51059471201,79360
1400000US51059471202,97750
1400000US51059471301,84063
1400000US51059471304,196250
1400000US51059471401,89717
1400000US51059471402,71277
1400000US51059480100,202656
1400000US51059480201,220870
1400000US51059480203,102857
1400000US51059480300,206994
1400000US51059480401,185988
1400000US51059480402,211969
1400000US51059480502,128145
1400000US51059480503,126792
1400000US51059480504,152097
1400000US51059480505,105085
1400000US51059480801,92006
1400000US51059480901,97031
1400000US51059480902,90147
1400000US51059480903,85022
1400000US51059481101,84770
1400000US51059481102,116838
1400000US51059481103,108649
1400000US51059481105,184028
1400000US51059481106,162614
1400000US51059481201,163382
1400000US51059481202,79100
1400000US51059481400,115625
1400000US51059481500,179306
1400000US51059481600,208333
1400000US51059481702,91313
1400000US51059481900,108553
1400000US51059482001,201382
1400000US51059482100,77147
1400000US51059482201,64018
1400000US51059482202,70224
1400000US51059482203,128889
1400000US51059482302,70690
1400000US51059482303,123886
