,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
0,1,1400000US11001007407,11,1,7407,74.07,Tract,0.236,11001007407,11001,15060.9516378,6706389.10371,28.1,48.3,28.1
1,2,1400000US11001007409,11,1,7409,74.09,Tract,0.154,11001007409,11001,9941.92968711,4429518.39789,13.2,49.5,18.4
2,3,1400000US11001007502,11,1,7502,75.02,Tract,0.238,11001007502,11001,14376.4171156,6842619.79612,52.8,22.6,24.7
3,4,1400000US11001007503,11,1,7503,75.03,Tract,0.193,11001007503,11001,8928.50159356,5312069.97021,29.1,13.9,70.8
4,5,1400000US11001007504,11,1,7504,75.04,Tract,0.308,11001007504,11001,14008.1920175,8718197.63931,84.8,43.9,33.0
5,6,1400000US11001007603,11,1,7603,76.03,Tract,0.474,11001007603,11001,16317.6185022,12856879.1997,54.3,0.0,12.5
6,7,1400000US11001007604,11,1,7604,76.04,Tract,0.528,11001007604,11001,17744.4234299,14928874.8761,36.2,30.3,27.0
7,8,1400000US11001007605,11,1,7605,76.05,Tract,0.175,11001007605,11001,12034.0832155,4873930.78019,24.0,42.3,14.9
8,9,1400000US11001007707,11,1,7707,77.07,Tract,0.325,11001007707,11001,14129.4259981,9226634.57434,23.2,22.7,13.2
9,10,1400000US11001007708,11,1,7708,77.08,Tract,0.283,11001007708,11001,14010.3451393,9200929.58921,19.6,0.0,14.6
10,11,1400000US11001007709,11,1,7709,77.09,Tract,0.325,11001007709,11001,15103.6068399,9947935.90779,34.8,100.0,7.9
11,12,1400000US11001007803,11,1,7803,78.03,Tract,0.387,11001007803,11001,14769.8386938,10657052.4692,15.2,19.3,18.1
12,13,1400000US11001007804,11,1,7804,78.04,Tract,0.326,11001007804,11001,14823.6406978,9154423.63777,27.1,40.0,0.0
13,14,1400000US11001007807,11,1,7807,78.07,Tract,0.202,11001007807,11001,11019.3911866,5627169.98646,8.2,48.8,0.0
14,15,1400000US11001007808,11,1,7808,78.08,Tract,0.364,11001007808,11001,13576.0459295,10303069.3083,53.9,15.1,0.0
15,16,1400000US11001007809,11,1,7809,78.09,Tract,0.207,11001007809,11001,12716.5856129,5879032.9001,39.6,0.0,19.2
16,17,1400000US11001007903,11,1,7903,79.03,Tract,0.094,11001007903,11001,7052.69906532,2653776.79,21.4,38.2,0.0
17,18,1400000US11001008001,11,1,8001,80.01,Tract,0.126,11001008001,11001,7860.08300601,3535879.63689,6.4,37.7,93.9
18,19,1400000US11001008002,11,1,8002,80.02,Tract,0.223,11001008002,11001,12586.0676946,6087480.47483,4.3,20.5,58.6
19,20,1400000US11001008200,11,1,8200,82.0,Tract,0.131,11001008200,11001,9957.57754945,3659803.17302,0.0,22.1,92.0
20,21,1400000US11001008301,11,1,8301,83.01,Tract,0.117,11001008301,11001,7767.94927886,3269627.15262,0.0,0.0,91.4
21,22,1400000US11001008402,11,1,8402,84.02,Tract,0.104,11001008402,11001,8717.37890995,2863891.20893,6.1,3.8,100.0
22,23,1400000US11001008410,11,1,8410,84.1,Tract,0.085,11001008410,11001,7628.35089837,2388674.63807,35.0,-,38.3
