,GEO.id,HD01_VD01
1,1400000US11001000100,109947
2,1400000US11001000201,-
3,1400000US11001000202,120114
4,1400000US11001000300,101250
5,1400000US11001000400,158580
6,1400000US11001000501,87415
7,1400000US11001000502,95694
8,1400000US11001000600,115648
9,1400000US11001000701,79649
10,1400000US11001000702,63794
11,1400000US11001000801,114732
12,1400000US11001000802,92000
13,1400000US11001000901,213889
14,1400000US11001000902,163750
15,1400000US11001001001,142697
16,1400000US11001001002,85543
17,1400000US11001001100,141607
18,1400000US11001001200,93785
19,1400000US11001001301,88981
20,1400000US11001001302,78961
21,1400000US11001001401,109609
22,1400000US11001001402,100750
23,1400000US11001001500,179125
24,1400000US11001001600,133824
25,1400000US11001001702,91989
26,1400000US11001001803,35350
27,1400000US11001001804,40281
28,1400000US11001001901,48073
29,1400000US11001001902,72273
30,1400000US11001002001,43478
31,1400000US11001002002,53373
32,1400000US11001002101,41886
33,1400000US11001002102,42522
34,1400000US11001002201,70541
35,1400000US11001002202,42283
36,1400000US11001002301,61500
37,1400000US11001002302,43342
38,1400000US11001002400,60082
39,1400000US11001002501,48750
40,1400000US11001002502,42199
41,1400000US11001002600,144141
42,1400000US11001002701,58617
43,1400000US11001002702,95490
44,1400000US11001002801,43661
45,1400000US11001002802,41453
46,1400000US11001002900,56000
47,1400000US11001003000,52228
48,1400000US11001003100,69063
49,1400000US11001003200,50665
50,1400000US11001003301,83285
51,1400000US11001003302,80039
52,1400000US11001003400,30603
53,1400000US11001003500,41136
54,1400000US11001003600,46034
55,1400000US11001003700,52292
56,1400000US11001003800,76121
57,1400000US11001003900,72466
58,1400000US11001004001,100439
59,1400000US11001004002,85368
60,1400000US11001004100,97500
61,1400000US11001004201,86406
62,1400000US11001004202,83588
63,1400000US11001004300,51016
64,1400000US11001004400,98030
65,1400000US11001004600,76623
66,1400000US11001004701,15119
67,1400000US11001004702,43476
68,1400000US11001004801,76618
69,1400000US11001004802,42244
70,1400000US11001004901,52375
71,1400000US11001004902,78482
72,1400000US11001005001,119643
73,1400000US11001005002,73173
74,1400000US11001005201,64811
