GEO_ID_2,HC03_EST_VC52,HC03_EST_VC29,HC02_EST_VC31
1400000US11001007407,(X),15.5,0
1400000US11001007409,(X),35.5,0
1400000US11001007502,(X),47.7,18
1400000US11001007503,(X),19.4,0
1400000US11001007504,(X),48.7,14
1400000US11001007603,(X),4.2,53
1400000US11001007604,(X),25.7,39
1400000US11001007605,(X),22.8,51
1400000US11001007707,(X),11.7,6
1400000US11001007708,(X),24.2,0
1400000US11001007709,(X),24.5,0
1400000US11001007803,(X),20.5,29
1400000US11001007804,(X),17.9,29
1400000US11001007807,(X),28.2,0
1400000US11001007808,(X),24.0,14
1400000US11001007809,(X),24.6,13
1400000US11001007903,(X),21.1,3
1400000US11001008001,(X),50.2,29
1400000US11001008002,(X),11.4,13
1400000US11001008200,(X),2.2,132
1400000US11001008301,(X),14.7,145
1400000US11001008402,(X),12.5,67
1400000US11001008410,(X),8.0,15
1400000US11001008701,(X),19.0,24
1400000US11001008802,(X),28.6,104
1400000US11001008803,(X),47.7,0
1400000US11001008804,(X),27.6,6
1400000US11001008903,(X),15.9,41
1400000US11001009000,(X),23.3,23
1400000US11001009102,(X),29.0,15
1400000US11001009201,(X),33.1,14
1400000US11001009204,(X),35.1,23
1400000US11001000100,(X),26.2,202
1400000US11001000201,(X),-,31
1400000US11001000400,(X),27.0,47
1400000US11001000702,(X),22.8,164
1400000US11001001002,(X),0.0,76
1400000US11001001401,(X),7.2,165
1400000US11001001702,(X),24.4,38
1400000US11001002201,(X),10.0,0
1400000US11001002501,(X),50.8,47
1400000US11001002801,(X),25.7,145
1400000US11001002900,(X),29.0,52
1400000US11001003301,(X),16.4,142
1400000US11001003600,(X),9.5,46
1400000US11001004002,(X),5.7,57
1400000US11001004202,(X),74.1,101
1400000US11001004702,(X),81.3,79
1400000US11001004901,(X),25.0,49
1400000US11001005600,(X),0.7,201
1400000US11001006400,(X),37.6,28
1400000US11001006801,(X),5.2,8
1400000US11001007100,(X),60.6,109
1400000US11001007403,(X),27.9,15
1400000US11001007408,(X),45.5,11
1400000US11001007601,(X),15.6,34
1400000US11001007703,(X),22.9,0
1400000US11001007806,(X),27.7,0
1400000US11001007901,(X),29.7,14
1400000US11001008302,(X),13.8,32
1400000US11001008702,(X),16.0,21
1400000US11001008904,(X),31.9,9
1400000US11001009203,(X),14.0,32
1400000US11001009302,(X),1.1,2
1400000US11001009504,(X),14.1,32
1400000US11001009509,(X),2.8,48
1400000US11001009602,(X),39.7,0
1400000US11001009603,(X),18.2,8
1400000US11001009604,(X),17.9,12
1400000US11001009700,(X),37.2,13
1400000US11001009802,(X),54.0,0
1400000US11001009807,(X),26.3,0
1400000US11001009904,(X),26.1,0
1400000US11001009906,(X),17.3,7
1400000US11001010500,(X),25.8,46
1400000US11001010800,(X),12.5,103
1400000US11001000202,(X),14.3,293
1400000US11001000300,(X),31.1,91
1400000US11001000501,(X),1.9,88
1400000US11001000502,(X),23.8,66
1400000US11001000600,(X),0.0,111
1400000US11001000701,(X),5.6,82
1400000US11001000802,(X),0.0,110
1400000US11001000901,(X),0.0,89
1400000US11001000902,(X),3.3,31
1400000US11001001001,(X),8.2,122
1400000US11001001100,(X),0.0,86
1400000US11001001200,(X),18.7,175
1400000US11001001301,(X),7.5,175
1400000US11001001302,(X),0.0,261
1400000US11001001402,(X),42.0,40
1400000US11001001500,(X),48.4,93
1400000US11001001600,(X),2.9,13
1400000US11001001803,(X),20.2,61
1400000US11001001804,(X),3.4,88
1400000US11001001901,(X),5.9,31
1400000US11001002001,(X),8.7,0
1400000US11001002002,(X),19.7,61
1400000US11001002101,(X),16.2,9
1400000US11001002102,(X),18.5,50
1400000US11001002202,(X),16.3,16
1400000US11001002301,(X),16.4,84
1400000US11001002302,(X),24.9,97
1400000US11001002400,(X),12.7,52
