OBJECTID,GEO.id,acsma,acsmpp,acsfpp,acsaapp
1,1400000US11001007407,28.4,50.0,50.0,99.7
2,1400000US11001007409,24.9,40.7,59.3,98.7
3,1400000US11001007502,29.7,45.0,55.0,98.4
4,1400000US11001007503,33.3,46.2,53.8,100.0
5,1400000US11001007504,28.8,46.4,53.6,96.8
6,1400000US11001007603,41.7,43.2,56.8,89.1
7,1400000US11001007604,48.3,42.7,57.3,93.5
8,1400000US11001007605,42.4,46.6,53.4,95.4
9,1400000US11001007707,33.8,41.4,58.6,96.2
10,1400000US11001007708,32.7,47.5,52.5,97.6
11,1400000US11001007709,47.2,49.9,50.1,91.4
12,1400000US11001007803,37.9,48.1,51.9,98.2
13,1400000US11001007804,35.5,40.8,59.2,99.1
14,1400000US11001007807,37.8,38.1,61.9,98.9
15,1400000US11001007808,23.8,43.9,56.1,97.0
16,1400000US11001007809,35.6,43.7,56.3,99.0
17,1400000US11001007903,46.1,41.4,58.6,95.4
18,1400000US11001008001,36.0,42.1,57.9,48.1
19,1400000US11001008002,34.4,52.6,47.4,39.1
20,1400000US11001008200,30.7,44.6,55.4,3.7
21,1400000US11001008301,37.3,54.2,45.8,13.4
22,1400000US11001008402,40.6,40.5,59.5,48.3
23,1400000US11001008410,35.6,64.5,35.5,77.5
24,1400000US11001008701,33.5,46.2,53.8,90.7
25,1400000US11001008802,35.7,46.9,53.1,86.2
26,1400000US11001008803,28.0,51.5,48.5,62.1
27,1400000US11001008804,41.8,52.6,47.4,96.8
28,1400000US11001008903,35.7,51.0,49.0,96.0
29,1400000US11001009000,50.2,40.0,60.0,97.3
30,1400000US11001009102,32.4,48.5,51.5,90.1
31,1400000US11001009201,33.6,49.8,50.2,62.1
32,1400000US11001009204,41.2,44.3,55.7,84.9
33,1400000US11001000100,42.0,49.6,50.4,1.9
34,1400000US11001000201,19.4,47.9,52.1,5.8
35,1400000US11001000400,40.7,50.2,49.8,1.3
36,1400000US11001000702,30.3,42.6,57.4,7.0
37,1400000US11001001002,32.8,40.1,59.9,11.3
38,1400000US11001001401,39.6,49.7,50.3,8.1
39,1400000US11001001702,38.3,44.5,55.5,64.0
40,1400000US11001002201,36.1,47.3,52.7,75.4
41,1400000US11001002501,41.4,55.6,44.4,72.4
42,1400000US11001002801,30.3,53.2,46.8,41.4
43,1400000US11001002900,30.8,53.7,46.3,35.7
44,1400000US11001003301,36.3,50.8,49.2,68.5
45,1400000US11001003600,34.9,48.6,51.4,50.9
46,1400000US11001004002,33.8,49.2,50.8,8.0
47,1400000US11001004202,33.5,47.4,52.6,1.3
48,1400000US11001004702,36.9,53.6,46.4,58.9
49,1400000US11001004901,33.0,52.0,48.0,55.4
50,1400000US11001005600,31.0,47.1,52.9,5.6
51,1400000US11001006400,37.8,44.1,55.9,89.1
52,1400000US11001006801,34.2,44.5,55.5,68.5
53,1400000US11001007100,29.8,41.1,58.9,70.3
54,1400000US11001007403,27.7,47.0,53.0,99.5
55,1400000US11001007408,26.8,45.2,54.8,96.9
56,1400000US11001007601,45.4,45.4,54.6,97.3
57,1400000US11001007703,27.8,41.5,58.5,93.7
