OBJECTID,GEO.id,acs_ma,acs_tp,acs_tpp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
1,1400000US11001007407,28.4,2976,2976,1489,50.0,1487,50.0,2967,99.7
2,1400000US11001007409,24.9,3684,3684,1501,40.7,2183,59.3,3635,98.7
3,1400000US11001007502,29.7,4000,4000,1799,45.0,2201,55.0,3936,98.4
4,1400000US11001007503,33.3,2252,2252,1041,46.2,1211,53.8,2252,100.0
5,1400000US11001007504,28.8,2907,2907,1350,46.4,1557,53.6,2814,96.8
6,1400000US11001007603,41.7,4425,4425,1913,43.2,2512,56.8,3941,89.1
7,1400000US11001007604,48.3,3376,3376,1441,42.7,1935,57.3,3157,93.5
8,1400000US11001007605,42.4,3409,3409,1588,46.6,1821,53.4,3252,95.4
9,1400000US11001007707,33.8,3748,3748,1550,41.4,2198,58.6,3606,96.2
10,1400000US11001007708,32.7,2880,2880,1369,47.5,1511,52.5,2811,97.6
11,1400000US11001007709,47.2,1564,1564,780,49.9,784,50.1,1429,91.4
12,1400000US11001007803,37.9,2813,2813,1352,48.1,1461,51.9,2762,98.2
13,1400000US11001007804,35.5,2976,2976,1215,40.8,1761,59.2,2950,99.1
14,1400000US11001007807,37.8,2029,2029,773,38.1,1256,61.9,2006,98.9
15,1400000US11001007808,23.8,3706,3706,1627,43.9,2079,56.1,3593,97.0
16,1400000US11001007809,35.6,2711,2711,1184,43.7,1527,56.3,2684,99.0
17,1400000US11001007903,46.1,1475,1475,611,41.4,864,58.6,1407,95.4
18,1400000US11001008001,36.0,2514,2514,1059,42.1,1455,57.9,1210,48.1
19,1400000US11001008002,34.4,3566,3566,1875,52.6,1691,47.4,1394,39.1
20,1400000US11001008200,30.7,2774,2774,1237,44.6,1537,55.4,103,3.7
21,1400000US11001008301,37.3,2357,2357,1277,54.2,1080,45.8,316,13.4
22,1400000US11001008402,40.6,2423,2423,982,40.5,1441,59.5,1171,48.3
23,1400000US11001008410,35.6,1698,1698,1096,64.5,602,35.5,1316,77.5
24,1400000US11001008701,33.5,2028,2028,936,46.2,1092,53.8,1840,90.7
25,1400000US11001008802,35.7,4386,4386,2055,46.9,2331,53.1,3779,86.2
26,1400000US11001008803,28.0,1573,1573,810,51.5,763,48.5,977,62.1
27,1400000US11001008804,41.8,2751,2751,1446,52.6,1305,47.4,2664,96.8
28,1400000US11001008903,35.7,2259,2259,1152,51.0,1107,49.0,2169,96.0
29,1400000US11001009000,50.2,2594,2594,1037,40.0,1557,60.0,2524,97.3
30,1400000US11001009102,32.4,4965,4965,2409,48.5,2556,51.5,4471,90.1
31,1400000US11001009201,33.6,1339,1339,667,49.8,672,50.2,832,62.1
32,1400000US11001009204,41.2,2425,2425,1075,44.3,1350,55.7,2059,84.9
33,1400000US11001000100,42.0,4784,4784,2372,49.6,2412,50.4,90,1.9
34,1400000US11001000201,19.4,4227,4227,2024,47.9,2203,52.1,246,5.8
35,1400000US11001000400,40.7,1296,1296,651,50.2,645,49.8,17,1.3
36,1400000US11001000702,30.3,3106,3106,1324,42.6,1782,57.4,217,7.0
37,1400000US11001001002,32.8,3343,3343,1342,40.1,2001,59.9,377,11.3
38,1400000US11001001401,39.6,3149,3149,1566,49.7,1583,50.3,255,8.1
39,1400000US11001001702,38.3,2465,2465,1097,44.5,1368,55.5,1577,64.0
40,1400000US11001002201,36.1,3510,3510,1659,47.3,1851,52.7,2645,75.4
41,1400000US11001002501,41.4,2295,2295,1276,55.6,1019,44.4,1662,72.4
42,1400000US11001002801,30.3,3867,3867,2058,53.2,1809,46.8,1600,41.4
43,1400000US11001002900,30.8,3885,3885,2086,53.7,1799,46.3,1388,35.7
44,1400000US11001003301,36.3,2827,2827,1435,50.8,1392,49.2,1937,68.5
45,1400000US11001003600,34.9,4273,4273,2076,48.6,2197,51.4,2176,50.9
46,1400000US11001004002,33.8,2319,2319,1141,49.2,1178,50.8,186,8.0
47,1400000US11001004202,33.5,2354,2354,1115,47.4,1239,52.6,30,1.3
48,1400000US11001004702,36.9,1616,1616,866,53.6,750,46.4,952,58.9
49,1400000US11001004901,33.0,1948,1948,1013,52.0,935,48.0,1080,55.4
50,1400000US11001005600,31.0,5043,5043,2373,47.1,2670,52.9,284,5.6
51,1400000US11001006400,37.8,1925,1925,849,44.1,1076,55.9,1716,89.1
52,1400000US11001006801,34.2,1836,1836,817,44.5,1019,55.5,1257,68.5
53,1400000US11001007100,29.8,3344,3344,1375,41.1,1969,58.9,2352,70.3
54,1400000US11001007403,27.7,2768,2768,1302,47.0,1466,53.0,2755,99.5
55,1400000US11001007408,26.8,2675,2675,1210,45.2,1465,54.8,2593,96.9
56,1400000US11001007601,45.4,3921,3921,1779,45.4,2142,54.6,3815,97.3
57,1400000US11001007703,27.8,5657,5657,2349,41.5,3308,58.5,5298,93.7
58,1400000US11001007806,38.7,2141,2141,902,42.1,1239,57.9,1884,88.0
59,1400000US11001007901,34.3,3770,3770,1583,42.0,2187,58.0,3297,87.5
60,1400000US11001008302,33.5,2017,2017,967,47.9,1050,52.1,231,11.5
61,1400000US11001008702,40.0,1713,1713,861,50.3,852,49.7,1347,78.6
62,1400000US11001008904,38.7,3280,3280,1578,48.1,1702,51.9,3161,96.4
63,1400000US11001009203,32.4,2541,2541,1438,56.6,1103,43.4,1931,76.0
64,1400000US11001009302,39.7,1217,1217,620,50.9,597,49.1,939,77.2
