OBJECTID,GEO.id,acs_e1824,acs_e24lm,acs_e24lf,acs_nh24l,acs_nh24lm,acs_nh24lf,acs_hs24lm,acs_hs24lf,acs_as24l,acs_as24lm,acs_as24lf,NOTREAL,acs_ba24l,acs_ba24lm,acs_ba24lf,acs_hs34l,acs_hs34lm,acs_hs34lf,acs_ba34l,acs_ba34lm,acs_ba34lf,acs_hs44l,acs_hs44lm,acs_hs44lf,acs_ba44l,acs_ba44lm,acs_ba44lf,acs_hs64l,acs_hs64lm,acs_hs64lf,acs_ba64l,acs_ba64lm,acs_ba64lf,acs_hs65u,acs_hs65um,acs_hs65uf,acs_ba65u,acs_ba65um,acs_ba65uf
1,1400000US11001007407,327,153,174,28.1,20.9,34.5,61.4,8.0,31.2,11.8,48.3,(X),7.6,5.9,9.2,94.4,85.4,100.0,30.5,28.1,32.0,100.0,100.0,100.0,0.0,0.0,0.0,84.7,78.3,88.7,8.3,14.2,4.7,95.1,100.0,87.8,16.7,22.1,8.5
2,1400000US11001007409,477,158,319,13.2,8.2,15.7,55.7,29.8,45.1,36.1,49.5,(X),3.4,0.0,5.0,90.6,100.0,88.4,10.2,18.4,8.3,94.0,100.0,88.8,10.1,13.7,7.1,71.9,62.6,77.6,6.8,13.7,2.6,49.2,40.0,50.5,0.0,0.0,0.0
3,1400000US11001007502,544,274,270,52.8,56.2,49.3,35.8,19.6,15.3,8.0,22.6,(X),4.2,0.0,8.5,87.4,78.6,95.1,29.1,24.7,32.9,90.1,78.1,100.0,18.3,32.0,7.1,70.9,72.8,69.7,5.1,7.7,3.4,82.9,72.1,88.6,6.3,9.8,4.4
4,1400000US11001007503,326,153,173,29.1,53.6,7.5,46.4,78.6,7.4,0.0,13.9,(X),0.0,0.0,0.0,78.8,70.8,80.7,30.8,70.8,21.7,83.3,86.1,81.2,10.3,0.0,18.3,79.1,70.1,89.1,0.0,0.0,0.0,44.2,0.0,49.5,0.0,0.0,0.0
5,1400000US11001007504,283,185,98,84.8,100.0,56.1,0.0,0.0,15.2,0.0,43.9,(X),0.0,0.0,0.0,89.0,90.4,88.2,28.5,33.0,25.7,91.5,100.0,83.6,8.1,0.0,15.6,77.3,74.2,79.1,4.0,0.0,6.2,26.5,58.3,6.8,0.0,0.0,0.0
6,1400000US11001007603,221,90,131,54.3,0.0,91.6,46.7,8.4,21.7,53.3,0.0,(X),0.0,0.0,0.0,100.0,100.0,100.0,34.3,12.5,56.9,94.5,100.0,92.1,25.8,53.4,13.6,89.9,85.1,93.6,30.0,20.5,37.5,76.1,100.0,68.6,15.3,15.9,15.1
7,1400000US11001007604,293,118,175,36.2,89.8,0.0,10.2,69.7,18.1,0.0,30.3,(X),0.0,0.0,0.0,100.0,100.0,100.0,29.7,27.0,32.2,87.0,82.4,89.7,25.7,17.6,30.5,92.0,88.5,95.3,23.0,15.8,29.8,82.2,81.7,82.7,11.1,11.6,10.7
8,1400000US11001007605,488,268,220,24.0,26.1,21.4,19.8,32.7,46.9,50.7,42.3,(X),3.5,3.4,3.6,100.0,100.0,100.0,20.6,14.9,26.7,76.5,69.7,83.0,27.7,24.2,31.0,81.7,90.9,76.6,14.5,15.5,13.9,72.5,74.9,69.2,15.7,19.2,10.8
9,1400000US11001007707,336,142,194,23.2,12.0,31.4,52.8,45.9,28.0,35.2,22.7,(X),0.0,0.0,0.0,97.1,93.8,100.0,23.0,13.2,31.5,92.0,100.0,85.1,21.3,16.2,25.7,79.0,55.2,93.4,10.2,6.0,12.6,68.5,71.2,66.8,25.4,27.3,24.3
10,1400000US11001007708,148,103,45,19.6,28.2,0.0,71.8,100.0,0.0,0.0,0.0,(X),0.0,0.0,0.0,81.2,81.3,81.2,13.0,14.6,12.1,100.0,100.0,100.0,5.8,0.0,11.5,97.3,98.1,96.8,16.6,27.7,8.7,66.4,68.2,65.4,0.0,0.0,0.0
