OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
1,1400000US11001007407,657,0.0,1113,53.8,53.8,198,9.6,81,36.7,1064,1064
2,1400000US11001007409,856,0.0,1253,52.4,52.4,217,9.1,42,38.6,1572,1572
3,1400000US11001007502,896,0.4,1259,41.2,41.2,277,9.1,20,49.3,1793,1793
4,1400000US11001007503,539,0.6,760,44.4,44.4,265,15.5,37,39.5,995,995
5,1400000US11001007504,609,0.0,968,47.7,47.7,58,2.9,0,49.4,1153,1153
6,1400000US11001007603,1469,0.0,2082,58.3,58.3,338,9.5,119,32.3,2154,2154
7,1400000US11001007604,950,0.0,1494,49.6,49.6,214,7.1,86,43.3,1695,1695
8,1400000US11001007605,934,0.0,1583,52.2,52.2,241,7.9,86,39.8,1642,1642
9,1400000US11001007707,913,0.0,1455,52.1,52.1,231,8.3,102,39.7,1642,1642
10,1400000US11001007708,641,0.0,975,48.0,48.0,236,11.6,0,40.4,1164,1164
11,1400000US11001007709,444,0.0,653,49.0,49.0,142,10.7,49,40.3,638,638
12,1400000US11001007803,678,0.0,974,42.0,42.0,420,18.1,66,39.9,1222,1222
13,1400000US11001007804,603,0.0,866,39.3,39.3,243,11.0,61,49.7,1330,1330
14,1400000US11001007807,553,0.0,725,45.7,45.7,191,12.0,11,42.3,952,952
15,1400000US11001007808,787,0.6,940,38.7,38.7,414,17.0,46,43.7,1410,1410
16,1400000US11001007809,643,0.0,822,41.0,41.0,245,12.2,0,46.8,1263,1263
17,1400000US11001007903,346,0.9,639,48.6,48.6,84,6.4,39,44.1,756,756
18,1400000US11001008001,869,0.0,1710,76.3,76.3,20,0.9,125,22.8,1272,1272
19,1400000US11001008002,1067,1.0,2090,69.6,69.6,176,5.9,147,23.5,1390,1390
20,1400000US11001008200,1260,0.0,2127,84.8,84.8,52,2.1,42,13.2,1392,1392
21,1400000US11001008301,723,0.0,1603,78.4,78.4,53,2.6,52,19.0,902,902
22,1400000US11001008402,912,0.0,1260,53.8,53.8,342,14.6,113,31.6,1418,1418
23,1400000US11001008410,395,0.0,929,66.1,66.1,130,9.3,60,24.6,510,510
24,1400000US11001008701,595,0.0,1043,60.8,60.8,171,10.0,41,29.2,897,897
25,1400000US11001008802,1073,0.9,1824,51.0,51.0,445,12.4,98,35.6,1948,1948
26,1400000US11001008803,371,1.3,733,55.2,55.2,86,6.5,17,37.0,646,646
27,1400000US11001008804,695,0.0,1111,49.2,49.2,225,10.0,28,40.8,1048,1048
28,1400000US11001008903,644,0.0,1007,58.1,58.1,251,14.5,0,27.4,899,899
29,1400000US11001009000,724,0.0,1231,54.4,54.4,42,1.9,63,43.8,1388,1388
30,1400000US11001009102,1161,0.0,1789,50.2,50.2,298,8.4,118,41.4,2018,2018
31,1400000US11001009201,313,0.0,628,61.9,61.9,39,3.8,35,34.3,495,495
32,1400000US11001009204,752,0.0,1133,55.4,55.4,169,8.3,19,36.4,1210,1210
33,1400000US11001000100,1457,0.3,3084,71.3,71.3,105,2.4,163,25.9,2184,2184
34,1400000US11001000201,493,0.0,994,23.5,23.5,0,0.0,0,76.5,2203,2203
35,1400000US11001000400,308,0.0,843,73.6,73.6,0,0.0,38,26.4,528,528
36,1400000US11001000702,1479,0.0,2460,80.6,80.6,145,4.7,206,14.7,1755,1755
37,1400000US11001001002,1479,1.3,2462,78.9,78.9,70,2.2,110,17.5,1830,1830
38,1400000US11001001401,733,0.4,1685,68.9,68.9,13,0.5,37,30.1,1204,1204
39,1400000US11001001702,876,0.0,1516,68.3,68.3,117,5.3,109,26.5,1253,1253
40,1400000US11001002201,833,0.0,1551,57.0,57.0,199,7.3,112,35.7,1380,1380
41,1400000US11001002501,520,0.0,1074,54.8,54.8,177,9.0,51,36.2,982,982
42,1400000US11001002801,874,0.0,1895,61.9,61.9,166,5.4,44,32.7,1483,1483
43,1400000US11001002900,992,0.5,2134,65.9,65.9,281,8.7,85,25.0,1417,1417
44,1400000US11001003301,894,0.4,1699,72.5,72.5,187,8.0,116,19.1,1135,1135
45,1400000US11001003600,1270,0.0,2516,70.6,70.6,151,4.2,57,25.2,1853,1853
46,1400000US11001004002,976,0.0,1893,85.3,85.3,26,1.2,44,13.5,1105,1105
47,1400000US11001004202,1008,1.0,1870,82.2,82.2,62,2.7,54,14.1,1206,1206
48,1400000US11001004702,491,0.0,725,48.5,48.5,222,14.8,17,36.7,692,692
49,1400000US11001004901,543,1.9,969,62.5,62.5,151,9.7,38,25.9,684,684
50,1400000US11001005600,1207,0.0,2687,54.1,54.1,79,1.6,161,44.3,2622,2622
