OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr,acs_oo,acs_ro
1,1400000US11001007407,37,13,129,202,22,111,53,100,407,719
2,1400000US11001007409,9,61,37,326,17,81,0,91,352,1132
3,1400000US11001007502,39,47,74,217,34,64,0,152,430,1163
4,1400000US11001007503,0,13,40,147,30,50,0,157,222,625
5,1400000US11001007504,0,9,52,307,0,14,20,104,219,842
6,1400000US11001007603,0,0,28,299,48,101,0,161,1107,958
7,1400000US11001007604,29,0,13,111,31,103,56,76,608,1156
8,1400000US11001007605,0,10,10,142,0,49,79,214,303,1363
9,1400000US11001007707,0,10,15,276,19,159,4,31,845,597
10,1400000US11001007708,16,25,31,274,0,64,23,66,282,874
11,1400000US11001007709,0,12,0,80,0,29,0,35,303,656
12,1400000US11001007803,6,34,49,163,11,96,35,69,572,750
13,1400000US11001007804,12,9,0,201,24,111,0,96,485,613
14,1400000US11001007807,38,18,0,193,11,40,0,102,301,505
15,1400000US11001007808,0,22,24,256,0,80,67,117,358,882
16,1400000US11001007809,0,41,0,290,44,90,0,97,550,627
17,1400000US11001007903,0,10,0,32,22,115,16,28,502,239
18,1400000US11001008001,8,57,0,11,20,71,0,33,889,332
19,1400000US11001008002,21,50,11,38,25,109,32,5,952,614
20,1400000US11001008200,0,0,0,0,0,10,11,0,595,929
21,1400000US11001008301,21,59,0,0,0,38,0,23,779,376
22,1400000US11001008402,0,0,0,63,0,12,65,23,323,720
23,1400000US11001008410,15,20,18,49,15,7,20,4,426,128
24,1400000US11001008701,0,57,0,42,9,112,14,24,552,211
25,1400000US11001008802,11,31,13,118,77,200,39,158,865,986
26,1400000US11001008803,0,0,0,53,0,10,0,33,83,351
27,1400000US11001008804,33,7,36,131,0,55,0,80,305,923
28,1400000US11001008903,0,39,18,209,0,63,23,124,223,909
29,1400000US11001009000,0,19,0,0,44,97,0,59,616,1024
30,1400000US11001009102,39,16,11,421,12,85,0,77,635,989
31,1400000US11001009201,0,0,0,73,0,25,0,27,210,306
32,1400000US11001009204,0,0,63,85,11,3,11,154,135,1123
33,1400000US11001000100,0,45,53,0,0,0,0,14,1296,1250
35,1400000US11001000400,0,8,0,0,16,0,0,0,364,217
36,1400000US11001000702,0,0,0,25,0,0,14,9,645,1570
37,1400000US11001001002,0,8,0,0,68,40,0,0,781,1127
38,1400000US11001001401,14,24,8,9,7,0,8,9,760,675
39,1400000US11001001702,0,13,0,24,0,105,0,49,713,342
40,1400000US11001002201,20,79,9,0,23,201,0,29,878,195
41,1400000US11001002501,16,9,0,65,54,12,0,17,498,470
42,1400000US11001002801,0,0,33,105,9,31,52,145,327,1256
43,1400000US11001002900,0,58,0,70,8,135,9,49,578,806
44,1400000US11001003301,9,50,0,17,30,46,48,3,917,272
45,1400000US11001003600,15,38,64,124,18,12,18,144,576,1217
46,1400000US11001004002,0,0,0,0,0,0,4,12,582,983
47,1400000US11001004202,0,0,0,0,9,0,0,36,649,948
48,1400000US11001004702,0,0,0,78,0,0,0,124,274,528
49,1400000US11001004901,0,0,0,126,0,32,0,45,262,659
50,1400000US11001005600,0,14,14,0,0,11,0,26,1291,2104
51,1400000US11001006400,0,0,0,230,11,0,70,83,240,769
52,1400000US11001006801,0,0,0,70,14,108,0,27,351,443
53,1400000US11001007100,8,0,23,261,0,61,37,95,460,760
54,1400000US11001007403,0,0,20,347,0,34,16,196,75,1050
55,1400000US11001007408,0,0,0,305,0,0,20,98,42,973
56,1400000US11001007601,0,63,0,98,43,189,0,56,913,911
57,1400000US11001007703,17,16,79,427,0,131,0,282,616,1585
58,1400000US11001007806,11,16,60,80,35,69,0,61,341,466
59,1400000US11001007901,22,95,31,203,0,101,64,142,547,965
60,1400000US11001008302,17,0,0,0,0,0,0,0,622,316
61,1400000US11001008702,0,44,0,0,0,80,48,13,348,413
62,1400000US11001008904,0,9,120,149,0,48,32,189,151,1441
63,1400000US11001009203,0,12,0,99,11,116,24,21,624,603
64,1400000US11001009302,0,48,0,0,0,21,18,19,288,171
65,1400000US11001009504,0,15,0,117,22,90,95,34,579,655
66,1400000US11001009509,31,71,14,33,10,126,0,13,1120,70
67,1400000US11001009602,0,60,0,313,17,14,32,191,120,1182
68,1400000US11001009603,0,62,30,119,0,119,48,72,519,977
69,1400000US11001009604,0,70,0,25,0,99,0,49,707,279
70,1400000US11001009700,0,56,0,360,66,49,8,39,308,637
71,1400000US11001009802,0,0,0,105,0,15,14,41,96,413
72,1400000US11001009807,0,66,69,84,0,143,64,127,697,754
73,1400000US11001009904,0,0,52,66,0,6,37,139,127,588
74,1400000US11001009906,0,39,0,126,75,28,0,40,323,378
75,1400000US11001010500,0,0,13,83,0,17,24,154,542,1965
76,1400000US11001010800,0,0,0,0,0,0,0,0,75,943
77,1400000US11001000202,0,10,0,10,11,0,0,0,1142,660
78,1400000US11001000300,26,79,12,0,12,0,35,22,1364,1245
79,1400000US11001000501,0,13,0,0,0,0,0,15,387,1645
80,1400000US11001000502,0,13,0,28,0,12,0,7,821,874
81,1400000US11001000600,0,72,0,0,0,18,0,0,1384,654
82,1400000US11001000701,0,9,0,39,14,31,0,11,1917,1262
83,1400000US11001000802,11,7,0,0,0,13,0,0,841,509
84,1400000US11001000901,0,12,0,0,12,0,0,16,1221,247
85,1400000US11001000902,0,0,0,0,0,42,0,0,729,104
86,1400000US11001001001,15,68,13,0,0,155,10,0,2224,552
87,1400000US11001001100,0,59,0,39,0,112,0,0,1516,300
88,1400000US11001001200,0,22,23,0,0,0,0,13,1259,1272
89,1400000US11001001301,0,0,0,0,0,27,18,0,570,1508
90,1400000US11001001302,44,0,0,0,45,16,39,14,1561,3220
91,1400000US11001001402,11,0,0,0,26,39,0,0,917,488
92,1400000US11001001500,20,38,0,0,18,39,0,0,1989,152
93,1400000US11001001600,31,14,36,5,17,189,0,34,1496,200
94,1400000US11001001803,0,25,16,40,0,27,75,130,352,1233
95,1400000US11001001804,0,68,39,121,2,28,116,125,459,1500
96,1400000US11001001901,0,106,0,82,55,260,0,23,1299,276
97,1400000US11001002001,0,4,23,0,78,58,42,87,406,598
98,1400000US11001002002,0,2,0,110,41,113,0,73,882,574
99,1400000US11001002101,0,91,0,123,8,164,27,66,910,887
100,1400000US11001002102,0,48,0,165,30,171,13,36,1073,886
101,1400000US11001002202,0,46,58,78,25,145,13,82,558,734
102,1400000US11001002301,52,56,15,29,55,96,0,19,755,321
103,1400000US11001002302,0,0,4,26,0,5,0,22,180,549
104,1400000US11001002400,0,31,0,74,47,168,8,10,911,415
105,1400000US11001002502,0,21,0,104,39,149,10,101,657,1314
106,1400000US11001002600,14,34,0,0,18,22,0,0,729,232
107,1400000US11001002701,42,61,14,92,13,14,71,20,638,2078
