OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
33,1400000US11001000100,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,32,31,130,28,116,124,818
77,1400000US11001000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,22,269,180,605
78,1400000US11001000300,0,19,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,14,16,134,47,312,544,245
35,1400000US11001000400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,37,90,184
79,1400000US11001000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,58,143,58,86
80,1400000US11001000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,105,50,159,120,374
81,1400000US11001000600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,196,43,120,182,717
82,1400000US11001000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,76,156,190,511,152,384,152,235
36,1400000US11001000702,0,0,0,0,0,11,0,0,0,32,0,0,0,0,0,0,18,54,140,255,125,0,10,0
179,1400000US11001000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,73,59,288,44,510,317,525
83,1400000US11001000802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,46,50,21,256,307,140
84,1400000US11001000901,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,11,0,0,117,157,919
85,1400000US11001000902,0,0,0,0,0,0,0,0,11,0,0,0,11,11,0,0,0,0,0,25,52,120,218,281
86,1400000US11001001001,0,0,0,0,0,0,0,0,14,0,0,0,20,0,0,0,0,16,17,39,83,489,1248,298
37,1400000US11001001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,185,306,196,51,0
87,1400000US11001001100,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,15,19,72,184,30,353,378,432
88,1400000US11001001200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,209,85,347,401,198
89,1400000US11001001301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,46,58,85,352
90,1400000US11001001302,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,13,154,101,408,278,386,32,146
38,1400000US11001001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,146,311,283
91,1400000US11001001402,0,0,0,0,0,0,0,0,0,0,0,10,0,29,0,0,0,21,23,43,21,353,358,59
92,1400000US11001001500,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,31,61,13,472,938,436
93,1400000US11001001600,0,0,0,0,0,0,0,0,12,0,0,18,0,0,0,12,0,31,0,26,80,656,559,102
39,1400000US11001001702,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,96,31,178,179,147,33,33
94,1400000US11001001803,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,23,36,0,21,49,64,88,29,28
95,1400000US11001001804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,57,15,73,118,174,11,0
96,1400000US11001001901,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,23,10,10,65,489,435,204,12,0
177,1400000US11001001902,0,0,0,0,0,0,0,19,8,0,0,0,0,37,0,0,0,31,0,166,269,118,0,0
97,1400000US11001002001,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,21,28,205,85,40
98,1400000US11001002002,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,10,0,62,76,142,295,261,20
99,1400000US11001002101,0,0,0,0,0,10,47,0,0,0,0,8,22,11,0,0,35,88,79,325,170,105,10,0
100,1400000US11001002102,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,58,500,360,100,0,0
40,1400000US11001002201,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,3,1,84,29,250,298,160,27,0
101,1400000US11001002202,0,0,0,7,0,0,0,0,0,0,0,8,0,8,9,16,19,50,83,193,71,63,31,0
102,1400000US11001002301,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,9,9,10,86,276,199,137,0,0
103,1400000US11001002302,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,10,10,22,63,50,0,0,0
104,1400000US11001002400,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,51,31,47,281,264,208,0,10
41,1400000US11001002501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,94,318,38,6
105,1400000US11001002502,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,10,13,42,130,175,264,0,5
106,1400000US11001002600,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,10,0,0,11,13,0,150,319,204
107,1400000US11001002701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,78,67,64,177,142,45
108,1400000US11001002702,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,58,63,198,447,48
42,1400000US11001002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,58,61,131,11,8
109,1400000US11001002802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,52,32,51,10,0
43,1400000US11001002900,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,15,140,101,202,66,26
110,1400000US11001003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,43,202,46,42
111,1400000US11001003100,0,0,0,0,0,0,0,0,31,0,24,0,11,12,0,0,0,44,46,126,197,72,29,12
112,1400000US11001003200,0,0,0,0,0,9,0,0,0,0,0,8,0,14,36,0,36,101,58,283,313,80,10,24
44,1400000US11001003301,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,34,34,90,182,413,150,0
113,1400000US11001003302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,16,129,94,267,7,12
114,1400000US11001003400,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,82,58,120,131,147,28,0
115,1400000US11001003500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,36,25,80,95,57,5,0
45,1400000US11001003600,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,37,95,108,203,110,0
116,1400000US11001003700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,99,62,146,76,20,0
117,1400000US11001003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,139,25,370,58,99
118,1400000US11001003900,0,0,0,0,0,0,0,29,0,0,0,0,0,0,19,59,46,26,50,231,178,66,90,21
119,1400000US11001004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,42,223,197,340,99,237
46,1400000US11001004002,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,9,80,103,252,28,89
120,1400000US11001004100,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,23,11,82,60,100,51,365
121,1400000US11001004201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,38,196,163,224,56,63
