OBJECTID,GEO.id,acs_mi
1,1400000US11001007407,36453
2,1400000US11001007409,26636
3,1400000US11001007502,31179
4,1400000US11001007503,31551
5,1400000US11001007504,20625
6,1400000US11001007603,49744
7,1400000US11001007604,43968
8,1400000US11001007605,42152
9,1400000US11001007707,38571
10,1400000US11001007708,35534
11,1400000US11001007709,25451
12,1400000US11001007803,22685
13,1400000US11001007804,25208
14,1400000US11001007807,27917
15,1400000US11001007808,27531
16,1400000US11001007809,22109
17,1400000US11001007903,43304
18,1400000US11001008001,89128
19,1400000US11001008002,92874
20,1400000US11001008200,83214
21,1400000US11001008301,115216
22,1400000US11001008402,54683
23,1400000US11001008410,96667
24,1400000US11001008701,64464
25,1400000US11001008802,38859
26,1400000US11001008803,37833
27,1400000US11001008804,25978
28,1400000US11001008903,26556
29,1400000US11001009000,39653
30,1400000US11001009102,32806
31,1400000US11001009201,44939
32,1400000US11001009204,28814
33,1400000US11001000100,109947
34,1400000US11001000201,-
35,1400000US11001000400,158580
36,1400000US11001000702,63794
37,1400000US11001001002,85543
38,1400000US11001001401,109609
39,1400000US11001001702,91989
40,1400000US11001002201,70541
41,1400000US11001002501,48750
42,1400000US11001002801,43661
43,1400000US11001002900,56000
44,1400000US11001003301,83285
45,1400000US11001003600,46034
46,1400000US11001004002,85368
47,1400000US11001004202,83588
48,1400000US11001004702,43476
49,1400000US11001004901,52375
50,1400000US11001005600,61806
51,1400000US11001006400,21191
52,1400000US11001006801,77955
53,1400000US11001007100,29493
54,1400000US11001007403,27333
55,1400000US11001007408,17826
56,1400000US11001007601,37687
57,1400000US11001007703,31955
58,1400000US11001007806,42171
59,1400000US11001007901,32692
60,1400000US11001008302,101667
61,1400000US11001008702,41232
62,1400000US11001008904,27620
63,1400000US11001009203,51726
64,1400000US11001009302,63958
65,1400000US11001009504,50500
66,1400000US11001009509,59286
67,1400000US11001009602,24786
68,1400000US11001009603,38404
69,1400000US11001009604,37441
70,1400000US11001009700,31549
71,1400000US11001009802,23633
72,1400000US11001009807,42420
73,1400000US11001009904,35302
74,1400000US11001009906,34269
75,1400000US11001010500,57052
76,1400000US11001010800,11375
77,1400000US11001000202,120114
78,1400000US11001000300,101250
79,1400000US11001000501,87415
80,1400000US11001000502,95694
81,1400000US11001000600,115648
82,1400000US11001000701,79649
83,1400000US11001000802,92000
84,1400000US11001000901,213889
85,1400000US11001000902,163750
86,1400000US11001001001,142697
87,1400000US11001001100,141607
88,1400000US11001001200,93785
89,1400000US11001001301,88981
90,1400000US11001001302,78961
91,1400000US11001001402,100750
92,1400000US11001001500,179125
93,1400000US11001001600,133824
94,1400000US11001001803,35350
95,1400000US11001001804,40281
96,1400000US11001001901,48073
97,1400000US11001002001,43478
98,1400000US11001002002,53373
99,1400000US11001002101,41886
100,1400000US11001002102,42522
101,1400000US11001002202,42283
102,1400000US11001002301,61500
103,1400000US11001002302,43342
104,1400000US11001002400,60082
105,1400000US11001002502,42199
106,1400000US11001002600,144141
107,1400000US11001002701,58617
108,1400000US11001002702,95490
109,1400000US11001002802,41453
110,1400000US11001003000,52228
111,1400000US11001003100,69063
112,1400000US11001003200,50665
113,1400000US11001003302,80039
114,1400000US11001003400,30603
115,1400000US11001003500,41136
116,1400000US11001003700,52292
117,1400000US11001003800,76121
118,1400000US11001003900,72466
119,1400000US11001004001,100439
120,1400000US11001004100,97500
121,1400000US11001004201,86406
122,1400000US11001004300,51016
123,1400000US11001004400,98030
124,1400000US11001004600,76623
125,1400000US11001004701,15119
126,1400000US11001004801,76618
127,1400000US11001004802,42244
128,1400000US11001004902,78482
129,1400000US11001005001,119643
130,1400000US11001005002,73173
131,1400000US11001005201,64811
132,1400000US11001005301,91638
133,1400000US11001005500,88831
134,1400000US11001005800,119167
135,1400000US11001005900,66790
136,1400000US11001006202,-
137,1400000US11001006500,113542
138,1400000US11001006600,94878
139,1400000US11001006700,141004
140,1400000US11001006802,86719
141,1400000US11001006804,-
142,1400000US11001006900,115299
143,1400000US11001007000,92656
144,1400000US11001007200,47885
