OBJECTID,GEO.id,acsmedrnt
1,1400000US11001007407,886
2,1400000US11001007409,774
3,1400000US11001007502,775
4,1400000US11001007503,874
5,1400000US11001007504,709
6,1400000US11001007603,881
7,1400000US11001007604,816
8,1400000US11001007605,850
9,1400000US11001007707,630
10,1400000US11001007708,886
11,1400000US11001007709,808
12,1400000US11001007803,923
13,1400000US11001007804,388
14,1400000US11001007807,801
15,1400000US11001007808,550
16,1400000US11001007809,818
17,1400000US11001007903,722
18,1400000US11001008001,1345
19,1400000US11001008002,1579
20,1400000US11001008200,1295
21,1400000US11001008301,1478
22,1400000US11001008402,1097
23,1400000US11001008410,1440
24,1400000US11001008701,1507
25,1400000US11001008802,900
26,1400000US11001008803,792
27,1400000US11001008804,913
28,1400000US11001008903,867
29,1400000US11001009000,351
30,1400000US11001009102,605
31,1400000US11001009201,924
32,1400000US11001009204,811
33,1400000US11001000100,1485
34,1400000US11001000201,-
35,1400000US11001000400,1528
36,1400000US11001000702,1298
37,1400000US11001001002,1481
38,1400000US11001001401,1406
39,1400000US11001001702,1377
40,1400000US11001002201,1183
41,1400000US11001002501,652
42,1400000US11001002801,894
43,1400000US11001002900,873
44,1400000US11001003301,1189
45,1400000US11001003600,993
46,1400000US11001004002,1407
47,1400000US11001004202,1525
48,1400000US11001004702,898
49,1400000US11001004901,671
50,1400000US11001005600,1403
51,1400000US11001006400,351
52,1400000US11001006801,973
53,1400000US11001007100,373
54,1400000US11001007403,855
55,1400000US11001007408,753
56,1400000US11001007601,779
57,1400000US11001007703,816
58,1400000US11001007806,740
59,1400000US11001007901,950
60,1400000US11001008302,1570
61,1400000US11001008702,534
62,1400000US11001008904,695
63,1400000US11001009203,935
64,1400000US11001009302,817
65,1400000US11001009504,875
66,1400000US11001009509,1331
67,1400000US11001009602,782
68,1400000US11001009603,849
69,1400000US11001009604,799
70,1400000US11001009700,902
71,1400000US11001009802,614
72,1400000US11001009807,848
73,1400000US11001009904,772
74,1400000US11001009906,837
75,1400000US11001010500,1091
76,1400000US11001010800,1324
77,1400000US11001000202,"2,000+"
78,1400000US11001000300,1767
79,1400000US11001000501,1648
80,1400000US11001000502,1319
81,1400000US11001000600,1452
82,1400000US11001000701,1277
83,1400000US11001000802,1237
84,1400000US11001000901,1591
85,1400000US11001000902,2000
86,1400000US11001001001,1615
87,1400000US11001001100,1643
88,1400000US11001001200,1559
89,1400000US11001001301,1714
90,1400000US11001001302,1560
91,1400000US11001001402,891
92,1400000US11001001500,"2,000+"
93,1400000US11001001600,942
94,1400000US11001001803,883
95,1400000US11001001804,876
96,1400000US11001001901,822
97,1400000US11001002001,1005
98,1400000US11001002002,861
99,1400000US11001002101,916
100,1400000US11001002102,938
101,1400000US11001002202,810
102,1400000US11001002301,932
103,1400000US11001002302,1651
104,1400000US11001002400,958
105,1400000US11001002502,901
106,1400000US11001002600,1226
107,1400000US11001002701,1085
108,1400000US11001002702,1210
109,1400000US11001002802,887
110,1400000US11001003000,1408
111,1400000US11001003100,1047
112,1400000US11001003200,732
113,1400000US11001003302,1331
114,1400000US11001003400,891
115,1400000US11001003500,743
116,1400000US11001003700,952
117,1400000US11001003800,1288
118,1400000US11001003900,1278
119,1400000US11001004001,1525
120,1400000US11001004100,1354
121,1400000US11001004201,1442
122,1400000US11001004300,1115
123,1400000US11001004400,1912
124,1400000US11001004600,1000
125,1400000US11001004701,452
126,1400000US11001004801,910
127,1400000US11001004802,787
128,1400000US11001004902,1251
129,1400000US11001005001,1508
130,1400000US11001005002,1087
131,1400000US11001005201,1416
132,1400000US11001005301,1482
133,1400000US11001005500,1787
134,1400000US11001005800,"2,000+"
135,1400000US11001005900,1860
136,1400000US11001006202,-
137,1400000US11001006500,1414
138,1400000US11001006600,1367
139,1400000US11001006700,1398
140,1400000US11001006802,1349
141,1400000US11001006804,-
142,1400000US11001006900,1455
143,1400000US11001007000,1651
144,1400000US11001007200,1225
145,1400000US11001007301,"2,000+"
146,1400000US11001007304,495
147,1400000US11001007401,384
148,1400000US11001007404,1056
149,1400000US11001007406,879
150,1400000US11001009301,984
151,1400000US11001009400,885
152,1400000US11001009501,1042
153,1400000US11001009503,1221
154,1400000US11001009505,1537
155,1400000US11001009507,876
156,1400000US11001009508,1025
157,1400000US11001009601,550
158,1400000US11001009801,452
159,1400000US11001009803,884
160,1400000US11001009804,841
161,1400000US11001009810,770
162,1400000US11001009811,675
163,1400000US11001009901,1359
164,1400000US11001009902,1036
165,1400000US11001009903,987
166,1400000US11001009905,803
167,1400000US11001009907,503
168,1400000US11001010100,1169
169,1400000US11001010200,1258
170,1400000US11001010300,871
171,1400000US11001010400,734
172,1400000US11001010600,1630
173,1400000US11001010700,1688
174,1400000US11001010900,925
175,1400000US11001011000,1128
176,1400000US11001011100,818
177,1400000US11001001902,985
178,1400000US11001008100,1430
179,1400000US11001000801,1775
180,1400000US51059415100,"2,000+"
181,1400000US51059415401,1224
182,1400000US51059416000,1210
183,1400000US51059420100,"2,000+"
184,1400000US51059420800,1835
185,1400000US51059421200,"2,000+"
186,1400000US51059421600,1235
187,1400000US51059421800,1351
188,1400000US51059422301,1635
189,1400000US51059422401,1699
190,1400000US51059430203,"2,000+"
191,1400000US51059430500,"2,000+"
192,1400000US51059430901,1691
193,1400000US51059431801,1931
194,1400000US51059431900,"2,000+"
195,1400000US51059432300,1781
196,1400000US51059432702,1675
197,1400000US51059440600,1550
198,1400000US51059450200,1509
199,1400000US51059450500,1772
