OBJECTID,GEO.id,acsmedrnt
349,1400000US51059452000,184
485,1400000US51013102100,200
659,1400000US24031700205,340
51,1400000US11001006400,351
29,1400000US11001009000,351
53,1400000US11001007100,373
147,1400000US11001007401,384
13,1400000US11001007804,388
778,1400000US24031701308,412
125,1400000US11001004701,452
158,1400000US11001009801,452
212,1400000US51059470600,492
146,1400000US11001007304,495
167,1400000US11001009907,503
924,1400000US24033801214,518
445,1400000US51059491602,528
61,1400000US11001008702,534
15,1400000US11001007808,550
157,1400000US11001009601,550
328,1400000US51059440502,571
975,1400000US24033802901,604
30,1400000US11001009102,605
71,1400000US11001009802,614
9,1400000US11001007707,630
41,1400000US11001002501,652
49,1400000US11001004901,671
162,1400000US11001009811,675
62,1400000US11001008904,695
5,1400000US11001007504,709
260,1400000US51059415500,709
17,1400000US11001007903,722
112,1400000US11001003200,732
171,1400000US11001010400,734
360,1400000US51059460400,738
58,1400000US11001007806,740
115,1400000US11001003500,743
581,1400000US24031701409,745
55,1400000US11001007408,753
835,1400000US24031703501,766
614,1400000US24033801216,766
161,1400000US11001009810,770
73,1400000US11001009904,772
2,1400000US11001007409,774
3,1400000US11001007502,775
56,1400000US11001007601,779
67,1400000US11001009602,782
127,1400000US11001004802,787
798,1400000US24031701701,789
26,1400000US11001008803,792
259,1400000US51059415402,796
69,1400000US11001009604,799
14,1400000US11001007807,801
166,1400000US11001009905,803
970,1400000US24033802502,804
562,1400000US24033804400,807
11,1400000US11001007709,808
101,1400000US11001002202,810
32,1400000US11001009204,811
7,1400000US11001007604,816
57,1400000US11001007703,816
64,1400000US11001009302,817
16,1400000US11001007809,818
176,1400000US11001011100,818
96,1400000US11001001901,822
74,1400000US11001009906,837
971,1400000US24033802700,839
160,1400000US11001009804,841
801,1400000US24031701704,845
818,1400000US24031703202,846
72,1400000US11001009807,848
68,1400000US11001009603,849
8,1400000US11001007605,850
54,1400000US11001007403,855
968,1400000US24033802408,857
98,1400000US11001002002,861
759,1400000US24031701006,865
800,1400000US24031701703,865
28,1400000US11001008903,867
719,1400000US24033804801,868
170,1400000US11001010300,871
43,1400000US11001002900,873
4,1400000US11001007503,874
65,1400000US11001009504,875
95,1400000US11001001804,876
155,1400000US11001009507,876
149,1400000US11001007406,879
6,1400000US11001007603,881
702,1400000US24033803602,882
94,1400000US11001001803,883
159,1400000US11001009803,884
151,1400000US11001009400,885
1,1400000US11001007407,886
10,1400000US11001007708,886
799,1400000US24031701702,886
109,1400000US11001002802,887
91,1400000US11001001402,891
114,1400000US11001003400,891
42,1400000US11001002801,894
48,1400000US11001004702,898
25,1400000US11001008802,900
105,1400000US11001002502,901
70,1400000US11001009700,902
956,1400000US24033801907,903
566,1400000US24033806200,905
126,1400000US11001004801,910
27,1400000US11001008804,913
99,1400000US11001002101,916
518,1400000US51510200105,918
617,1400000US24033801409,919
950,1400000US24033801807,920
555,1400000US24033803100,921
12,1400000US11001007803,923
31,1400000US11001009201,924
174,1400000US11001010900,925
284,1400000US51059421500,931
102,1400000US11001002301,932
722,1400000US24033805101,932
63,1400000US11001009203,935
802,1400000US24031701800,935
100,1400000US11001002102,938
829,1400000US24031703220,939
93,1400000US11001001600,942
59,1400000US11001007901,950
116,1400000US11001003700,952
620,1400000US24033801805,952
466,1400000US51013100900,952
616,1400000US24033801313,954
104,1400000US11001002400,958
872,1400000US24033800102,960
674,1400000US24033803508,960
738,1400000US24033806501,962
735,1400000US24033806100,964
713,1400000US24033804101,972
52,1400000US11001006801,973
957,1400000US24033802001,974
491,1400000US51013102701,976
150,1400000US11001009301,984
177,1400000US11001001902,985
585,1400000US24031701900,986
718,1400000US24033804700,986
165,1400000US11001009903,987
705,1400000US24033803608,990
965,1400000US24033802404,992
623,1400000US24033802406,992
736,1400000US24033806300,992
45,1400000US11001003600,993
609,1400000US24033800519,993
953,1400000US24033801904,994
944,1400000US24033801704,997
124,1400000US11001004600,1000
97,1400000US11001002001,1005
561,1400000US24033804001,1017
844,1400000US24031704200,1018
675,1400000US24033803509,1021
951,1400000US24033801808,1022
554,1400000US24033803002,1023
156,1400000US11001009508,1025
960,1400000US24033802106,1029
882,1400000US24033800212,1031
164,1400000US11001009902,1036
725,1400000US24033805500,1039
152,1400000US11001009501,1042
716,1400000US24033804300,1042
410,1400000US51059481202,1042
803,1400000US24031702000,1043
876,1400000US24033800109,1043
712,1400000US24033804002,1044
111,1400000US11001003100,1047
681,1400000US24033806714,1047
564,1400000US24033805601,1049
684,1400000US24033807000,1049
640,1400000US24031700704,1055
148,1400000US11001007404,1056
779,1400000US24031701312,1057
619,1400000US24033801801,1062
711,1400000US24033803900,1062
946,1400000US24033801707,1063
685,1400000US24033807102,1064
737,1400000US24033806400,1066
741,1400000US24033806708,1066
720,1400000US24033804802,1071
352,1400000US51059452301,1072
873,1400000US24033800103,1073
974,1400000US24033802805,1074
630,1400000US24031700400,1079
283,1400000US51059421400,1080
686,1400000US24033807200,1081
734,1400000US24033806000,1082
795,1400000US24031701507,1083
343,1400000US51059451400,1083
107,1400000US11001002701,1085
787,1400000US24031701415,1085
891,1400000US24033800412,1086
130,1400000US11001005002,1087
972,1400000US24033802803,1087
621,1400000US24033802104,1090
723,1400000US24033805201,1090
732,1400000US24033805908,1090
75,1400000US11001010500,1091
357,1400000US51059452700,1093
969,1400000US24033802501,1095
22,1400000US11001008402,1097
961,1400000US24033802107,1099
344,1400000US51059451501,1099
528,1400000US51510200703,1099
808,1400000US24031702302,1100
730,1400000US24033805906,1101
560,1400000US24033803613,1103
563,1400000US24033804900,1104
252,1400000US51510201204,1105
724,1400000US24033805202,1108
482,1400000US51013102001,1108
484,1400000US51013102003,1109
739,1400000US24033806601,1110
567,1400000US24033806602,1110
618,1400000US24033801702,1112
967,1400000US24033802407,1112
248,1400000US51510200600,1113
122,1400000US11001004300,1115
717,1400000US24033804600,1115
710,1400000US24033803803,1116
553,1400000US24033803001,1120
745,1400000US24033801908,1122
632,1400000US24031700604,1125
947,1400000US24033801708,1125
690,1400000US24033807407,1125
556,1400000US24033803200,1126
175,1400000US11001011000,1128
865,1400000US24031706005,1131
733,1400000US24033805909,1131
622,1400000US24033802203,1133
721,1400000US24033805000,1133
828,1400000US24031703219,1134
807,1400000US24031702301,1136
532,1400000US51510201100,1137
874,1400000US24033800105,1138
938,1400000US24033801408,1138
680,1400000US24033806713,1138
515,1400000US51510202002,1138
927,1400000US24033801302,1139
647,1400000US24031700719,1141
728,1400000US24033805801,1141
285,1400000US51059421701,1141
942,1400000US24033801600,1143
692,1400000US24033807409,1144
486,1400000US51013102200,1147
966,1400000US24033802405,1148
651,1400000US24031700724,1150
878,1400000US24033800206,1150
275,1400000US51059420600,1151
945,1400000US24033801706,1152
973,1400000US24033802804,1155
726,1400000US24033805602,1155
806,1400000US24031702200,1156
884,1400000US24033800215,1156
934,1400000US24033801404,1156
534,1400000US51510201203,1157
605,1400000US24033800214,1158
948,1400000US24033801802,1160
510,1400000US51510201400,1160
727,1400000US24033805700,1161
935,1400000US24033801405,1162
706,1400000US24033803610,1162
838,1400000US24031703701,1163
963,1400000US24033802204,1163
955,1400000US24033801906,1164
627,1400000US24031700310,1166
804,1400000US24031702101,1168
673,1400000US24033803402,1168
559,1400000US24033803525,1168
168,1400000US11001010100,1169
604,1400000US24033800209,1170
467,1400000US51013101000,1172
488,1400000US51013102400,1173
512,1400000US51510201801,1174
810,1400000US24031702402,1178
211,1400000US51059461901,1178
530,1400000US51510200802,1180
40,1400000US11001002201,1183
594,1400000US24031703902,1183
624,1400000US24033802600,1185
44,1400000US11001003301,1189
714,1400000US24033804102,1191
415,1400000US51059481900,1196
412,1400000US51059481500,1199
574,1400000US24031700901,1202
941,1400000US24033801500,1203
274,1400000US51059420503,1203
239,1400000US51013102702,1206
108,1400000US11001002702,1210
489,1400000US51013102500,1210
182,1400000US51059416000,1210
347,1400000US51059451602,1210
565,1400000US24033805904,1212
280,1400000US51059421102,1213
649,1400000US24031700721,1214
691,1400000US24033807408,1214
409,1400000US51059481201,1214
880,1400000US24033800210,1215
671,1400000US24033803300,1215
549,1400000US24031700723,1216
247,1400000US51510200500,1217
336,1400000US51059450602,1218
243,1400000US51510200103,1219
729,1400000US24033805802,1220
693,1400000US24033807410,1220
153,1400000US11001009503,1221
646,1400000US24031700717,1222
354,1400000US51059452400,1222
655,1400000US24031700101,1223
181,1400000US51059415401,1224
144,1400000US11001007200,1225
106,1400000US11001002600,1226
664,1400000US24031700813,1226
529,1400000US51510200801,1226
936,1400000US24033801406,1227
836,1400000US24031703502,1228
496,1400000US51013103100,1231
797,1400000US24031701602,1233
186,1400000US51059421600,1235
913,1400000US24033800800,1236
964,1400000US24033802301,1236
83,1400000US11001000802,1237
645,1400000US24031700716,1239
842,1400000US24031704000,1239
388,1400000US51059471401,1239
541,1400000US51059420400,1240
607,1400000US24033800413,1241
773,1400000US24031701220,1242
813,1400000US24031702700,1245
687,1400000US24033807301,1246
483,1400000US51013102002,1246
490,1400000US51013102600,1246
676,1400000US24033803513,1248
429,1400000US51059490101,1248
128,1400000US11001004902,1251
533,1400000US51510201202,1251
731,1400000US24033805907,1252
169,1400000US11001010200,1258
389,1400000US51059471402,1260
707,1400000US24033803612,1263
896,1400000US24033800511,1264
540,1400000US51610500200,1265
881,1400000US24033800211,1267
669,1400000US24031700822,1270
754,1400000US24031700904,1274
82,1400000US11001000701,1277
751,1400000US24031700835,1277
943,1400000US24033801701,1277
118,1400000US11001003900,1278
782,1400000US24031701316,1279
338,1400000US51059450800,1280
875,1400000US24033800108,1282
346,1400000US51059451601,1282
487,1400000US51013102302,1284
587,1400000US24031702500,1287
117,1400000US11001003800,1288
257,1400000US51059415200,1294
20,1400000US11001008200,1295
366,1400000US51059460900,1295
465,1400000US51013100700,1296
796,1400000US24031701509,1297
223,1400000US51059490501,1297
36,1400000US11001000702,1298
531,1400000US51510201000,1300
444,1400000US51059491601,1301
870,1400000US24031706012,1303
815,1400000US24031702900,1305
824,1400000US24031703213,1305
643,1400000US24031700713,1306
497,1400000US51013103200,1309
304,1400000US51059430802,1310
422,1400000US51059482303,1310
582,1400000US24031701422,1314
526,1400000US51510200406,1314
351,1400000US51059452200,1315
665,1400000US24031700816,1316
527,1400000US51510200407,1316
80,1400000US11001000502,1319
235,1400000US51013101602,1320
481,1400000US51013101803,1320
958,1400000US24033802002,1321
742,1400000US24033806710,1321
879,1400000US24033800208,1323
76,1400000US11001010800,1324
499,1400000US51013103401,1327
786,1400000US24031701414,1329
523,1400000US51510200303,1329
113,1400000US11001003302,1331
66,1400000US11001009509,1331
667,1400000US24031700818,1333
912,1400000US24033800707,1333
492,1400000US51013102801,1334
400,1400000US51059480801,1336
516,1400000US51510200102,1336
819,1400000US24031703206,1338
937,1400000US24033801407,1340
401,1400000US51059480901,1340
641,1400000US24031700706,1342
825,1400000US24031703214,1342
547,1400000US24031700710,1344
18,1400000US11001008001,1345
595,1400000US24031704403,1345
637,1400000US24031700614,1347
679,1400000US24033806711,1348
140,1400000US11001006802,1349
187,1400000US51059421800,1351
200,1400000US51059450702,1351
478,1400000US51013101702,1352
120,1400000US11001004100,1354
750,1400000US24031700834,1355
451,1400000US51059491803,1355
236,1400000US51013101703,1356
520,1400000US51510200201,1358
163,1400000US11001009901,1359
840,1400000US24031703800,1359
245,1400000US51510200301,1360
419,1400000US51059482202,1361
820,1400000US24031703207,1362
384,1400000US51059471201,1362
421,1400000US51059482302,1363
672,1400000US24033803401,1364
827,1400000US24031703216,1365
781,1400000US24031701315,1366
138,1400000US11001006600,1367
762,1400000US24031701201,1367
246,1400000US51510200405,1367
740,1400000US24033806706,1368
756,1400000US24031701001,1369
498,1400000US51013103300,1371
418,1400000US51059482201,1371
583,1400000US24031701508,1372
589,1400000US24031703209,1374
809,1400000US24031702401,1375
852,1400000US24031704803,1376
39,1400000US11001001702,1377
772,1400000US24031701219,1377
204,1400000US51059452502,1378
313,1400000US51059432000,1381
464,1400000US51013100600,1382
289,1400000US51059422101,1387
777,1400000US24031701307,1388
358,1400000US51059452801,1390
430,1400000US51059490103,1390
509,1400000US51510201300,1390
332,1400000US51059450100,1395
290,1400000US51059422102,1396
301,1400000US51059430600,1396
225,1400000US51059491401,1396
814,1400000US24031702800,1397
139,1400000US11001006700,1398
748,1400000US24031700832,1398
877,1400000US24033800203,1398
50,1400000US11001005600,1403
38,1400000US11001001401,1406
46,1400000US11001004002,1407
219,1400000US51059481104,1407
110,1400000US11001003000,1408
551,1400000US24031700820,1408
654,1400000US24031700812,1410
314,1400000US51059432100,1411
708,1400000US24033803700,1413
228,1400000US51059491801,1413
517,1400000US51510200104,1413
137,1400000US11001006500,1414
696,1400000US24033803522,1415
131,1400000US11001005201,1416
503,1400000US51013103601,1417
386,1400000US51059471301,1417
278,1400000US51059421002,1418
272,1400000US51059420501,1420
610,1400000US24033800704,1421
367,1400000US51059461100,1426
792,1400000US24031701503,1427
883,1400000US24033800213,1427
178,1400000US11001008100,1430
625,1400000US24031700308,1430
932,1400000US24033801311,1430
333,1400000US51059450300,1430
546,1400000US24031700611,1431
771,1400000US24031701218,1439
746,1400000US24033807405,1439
23,1400000US11001008410,1440
812,1400000US24031702602,1441
121,1400000US11001004201,1442
375,1400000US51059461902,1442
823,1400000US24031703212,1445
914,1400000US24033800900,1446
557,1400000US24033803512,1446
398,1400000US51059480504,1448
417,1400000US51059482100,1449
81,1400000US11001000600,1452
703,1400000US24033803605,1453
356,1400000US51059452600,1453
661,1400000US24031700207,1454
142,1400000US11001006900,1455
224,1400000US51059491202,1457
584,1400000US24031701601,1458
592,1400000US24031703402,1458
650,1400000US24031700722,1462
698,1400000US24033803524,1463
683,1400000US24033806900,1465
237,1400000US51013101900,1465
353,1400000US51059452302,1466
753,1400000US24031700903,1467
793,1400000US24031701505,1469
890,1400000US24033800411,1469
783,1400000US24031701317,1471
648,1400000US24031700720,1472
922,1400000US24033801212,1472
217,1400000US51059480802,1474
372,1400000US51059461700,1476
21,1400000US11001008301,1478
626,1400000US24031700309,1478
905,1400000US24033800605,1480
37,1400000US11001001002,1481
132,1400000US11001005301,1482
744,1400000US24031701417,1484
33,1400000US11001000100,1485
446,1400000US51059491701,1488
402,1400000US51059480902,1490
666,1400000US24031700817,1493
345,1400000US51059451502,1493
436,1400000US51059491301,1493
315,1400000US51059432201,1499
438,1400000US51059491303,1500
826,1400000US24031703215,1504
24,1400000US11001008701,1507
129,1400000US11001005001,1508
198,1400000US51059450200,1509
411,1400000US51059481400,1509
519,1400000US51510200106,1509
832,1400000US24031703401,1510
363,1400000US51059460701,1514
203,1400000US51059452102,1517
373,1400000US51059461801,1517
256,1400000US51610500300,1518
273,1400000US51059420502,1519
324,1400000US51059440201,1520
331,1400000US51059440800,1520
119,1400000US11001004001,1525
47,1400000US11001004202,1525
371,1400000US51059461602,1525
894,1400000US24033800507,1527
35,1400000US11001000400,1528
837,1400000US24031703601,1528
406,1400000US51059481103,1531
543,1400000US24031700105,1535
205,1400000US51059452802,1536
154,1400000US11001009505,1537
424,1400000US51059482501,1538
755,1400000US24031700905,1539
435,1400000US51059491201,1539
962,1400000US24033802201,1542
514,1400000US51510201900,1545
568,1400000US24033806712,1547
307,1400000US51059431002,1548
197,1400000US51059440600,1550
437,1400000US51059491302,1551
447,1400000US51059491702,1552
854,1400000US24031704806,1555
221,1400000US51059482301,1556
88,1400000US11001001200,1559
90,1400000US11001001302,1560
599,1400000US24031705602,1560
60,1400000US11001008302,1570
242,1400000US51013103602,1570
558,1400000US24033803519,1574
811,1400000US24031702601,1575
709,1400000US24033803801,1575
474,1400000US51013101500,1575
457,1400000US51059492400,1576
500,1400000US51013103501,1577
19,1400000US11001008002,1579
244,1400000US51510200107,1581
573,1400000US24031700830,1582
631,1400000US24031700500,1583
593,1400000US24031703602,1583
780,1400000US24031701314,1584
323,1400000US51059440100,1584
84,1400000US11001000901,1591
505,1400000US51013103800,1591
322,1400000US51059432800,1593
657,1400000US24031700104,1597
578,1400000US24031701215,1599
570,1400000US24031700826,1600
919,1400000US24033801208,1602
791,1400000US24031701423,1603
494,1400000US51013102901,1604
701,1400000US24033803601,1605
470,1400000US51013101300,1605
293,1400000US51059422302,1605
550,1400000US24031700815,1609
214,1400000US51059471303,1613
86,1400000US11001001001,1615
907,1400000US24033800607,1616
769,1400000US24031701214,1618
785,1400000US24031701410,1621
544,1400000US24031700304,1623
504,1400000US51013103700,1625
906,1400000US24033800606,1626
752,1400000US24031700902,1627
403,1400000US51059480903,1628
233,1400000US51013100800,1629
202,1400000US51059451900,1629
172,1400000US11001010600,1630
397,1400000US51059480503,1633
188,1400000US51059422301,1635
218,1400000US51059481000,1635
511,1400000US51510201500,1635
385,1400000US51059471202,1641
805,1400000US24031701407,1642
87,1400000US11001001100,1643
668,1400000US24031700819,1646
749,1400000US24031700833,1647
79,1400000US11001000501,1648
404,1400000US51059481101,1649
699,1400000US24033803526,1650
103,1400000US11001002302,1651
143,1400000US11001007000,1651
522,1400000US51510200302,1651
853,1400000US24031704805,1656
253,1400000US51510201600,1656
636,1400000US24031700613,1665
414,1400000US51059481702,1666
688,1400000US24033807305,1667
642,1400000US24031700711,1670
898,1400000US24033800515,1670
196,1400000US51059432702,1675
399,1400000US51059480505,1677
952,1400000US24033801901,1686
173,1400000US11001010700,1688
374,1400000US51059461802,1690
192,1400000US51059430901,1691
254,1400000US51510202001,1691
766,1400000US24031701211,1693
768,1400000US24031701213,1693
902,1400000US24033800520,1694
774,1400000US24031701221,1696
189,1400000US51059422401,1699
571,1400000US24031700828,1703
495,1400000US51013103000,1703
369,1400000US51059461202,1704
652,1400000US24031700810,1705
279,1400000US51059421101,1705
448,1400000US51059491704,1707
