OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp,acs_mi
1,1400000US11001007407,942,31.7,427,515,28.7,34.6,36453
2,1400000US11001007409,1261,34.2,442,819,29.4,37.5,26636
3,1400000US11001007502,1434,37.8,617,817,38.7,37.1,31179
4,1400000US11001007503,852,37.8,415,437,39.9,36.1,31551
5,1400000US11001007504,1384,47.6,470,914,34.8,58.7,20625
6,1400000US11001007603,552,12.5,185,367,9.7,14.6,49744
7,1400000US11001007604,717,21.2,343,374,23.8,19.3,43968
8,1400000US11001007605,970,28.5,420,550,26.4,30.2,42152
9,1400000US11001007707,603,16.1,169,434,10.9,19.7,38571
10,1400000US11001007708,922,32,384,538,28,35.6,35534
11,1400000US11001007709,252,16.1,118,134,15.1,17.1,25451
12,1400000US11001007803,728,25.9,317,411,23.4,28.1,22685
13,1400000US11001007804,990,35.8,262,728,23.8,43.8,25208
14,1400000US11001007807,566,27.9,203,363,26.3,28.9,27917
15,1400000US11001007808,1451,39.2,436,1015,26.8,48.8,27531
16,1400000US11001007809,950,35,412,538,34.8,35.2,22109
17,1400000US11001007903,238,16.1,50,188,8.2,21.8,43304
18,1400000US11001008001,291,11.7,12,279,1.2,19.2,89128
19,1400000US11001008002,267,7.5,136,131,7.3,7.7,92874
20,1400000US11001008200,361,13,155,206,12.5,13.4,83214
21,1400000US11001008301,172,7.3,126,46,9.9,4.3,115216
22,1400000US11001008402,478,19.7,28,450,2.9,31.2,54683
23,1400000US11001008410,227,14.5,106,121,10.9,20.6,96667
24,1400000US11001008701,160,8.3,24,136,2.8,12.5,64464
25,1400000US11001008802,1202,27.4,486,716,23.7,30.7,38859
26,1400000US11001008803,360,32.9,222,138,38.1,27,37833
27,1400000US11001008804,1109,40.3,630,479,43.6,36.7,25978
28,1400000US11001008903,665,29.4,327,338,28.4,30.5,26556
29,1400000US11001009000,434,16.9,145,289,14.4,18.6,39653
30,1400000US11001009102,1567,32.8,707,860,30.5,35.1,32806
31,1400000US11001009201,240,19.4,83,157,14.7,23.4,44939
32,1400000US11001009204,586,24.4,203,383,19.4,28.4,28814
33,1400000US11001000100,334,7,126,208,5.3,8.6,109947
35,1400000US11001000400,63,4.9,49,14,7.5,2.2,158580
36,1400000US11001000702,267,8.6,133,134,10,7.5,63794
