OBJECTID,GEO.id,acs_ssm,acs_ssmf,acs_ssf,acs_sso
1,1400000US11001007407,12,31,0,1073
2,1400000US11001007409,23,0,12,1424
3,1400000US11001007502,25,0,0,1521
4,1400000US11001007503,0,0,8,785
5,1400000US11001007504,0,37,12,965
6,1400000US11001007603,9,8,0,1990
7,1400000US11001007604,8,93,0,1619
8,1400000US11001007605,0,75,0,1543
9,1400000US11001007707,0,0,0,1387
10,1400000US11001007708,0,0,12,1108
11,1400000US11001007709,0,34,6,896
12,1400000US11001007803,0,53,0,1262
13,1400000US11001007804,0,12,0,1086
14,1400000US11001007807,0,0,0,793
15,1400000US11001007808,0,24,0,1202
16,1400000US11001007809,0,27,0,1122
17,1400000US11001007903,15,0,0,726
18,1400000US11001008001,11,36,0,1136
19,1400000US11001008002,18,9,18,1494
20,1400000US11001008200,19,29,0,1404
21,1400000US11001008301,62,50,0,1012
22,1400000US11001008402,25,58,0,914
23,1400000US11001008410,10,47,0,497
24,1400000US11001008701,5,0,0,751
25,1400000US11001008802,0,88,0,1623
26,1400000US11001008803,0,24,0,410
27,1400000US11001008804,0,109,0,1043
28,1400000US11001008903,16,18,0,1087
29,1400000US11001009000,0,40,0,1600
30,1400000US11001009102,0,0,0,1525
31,1400000US11001009201,0,9,0,486
32,1400000US11001009204,0,86,8,1138
33,1400000US11001000100,71,42,0,2372
34,1400000US11001000201,0,0,0,0
35,1400000US11001000400,0,0,0,559
36,1400000US11001000702,0,32,0,2091
37,1400000US11001001002,24,29,0,1806
38,1400000US11001001401,0,29,0,1406
39,1400000US11001001702,0,51,0,997
40,1400000US11001002201,0,0,0,1073
41,1400000US11001002501,26,25,0,846
42,1400000US11001002801,0,22,0,1498
43,1400000US11001002900,12,38,0,1285
44,1400000US11001003301,56,4,0,1094
45,1400000US11001003600,58,71,8,1632
46,1400000US11001004002,40,54,0,1388
47,1400000US11001004202,18,40,0,1514
48,1400000US11001004702,0,34,0,746
49,1400000US11001004901,58,0,0,863
50,1400000US11001005600,0,31,0,3329
51,1400000US11001006400,12,54,0,931
52,1400000US11001006801,0,18,0,722
53,1400000US11001007100,0,20,5,1183
54,1400000US11001007403,0,49,0,1051
55,1400000US11001007408,0,0,0,994
56,1400000US11001007601,0,53,0,1706
57,1400000US11001007703,0,60,0,2130
58,1400000US11001007806,24,61,0,699
59,1400000US11001007901,34,151,0,1318
60,1400000US11001008302,28,11,24,839
61,1400000US11001008702,11,9,0,741
62,1400000US11001008904,0,64,0,1487
63,1400000US11001009203,0,9,0,1218
64,1400000US11001009302,0,0,0,459
65,1400000US11001009504,14,0,0,1213
66,1400000US11001009509,0,45,0,1115
67,1400000US11001009602,0,26,35,1198
68,1400000US11001009603,0,42,0,1404
69,1400000US11001009604,0,7,0,955
70,1400000US11001009700,0,8,0,937
71,1400000US11001009802,0,0,0,494
72,1400000US11001009807,0,34,0,1392
73,1400000US11001009904,0,0,0,715
74,1400000US11001009906,0,0,0,687
75,1400000US11001010500,25,67,19,2355
76,1400000US11001010800,0,8,0,1010
77,1400000US11001000202,24,46,0,1686
78,1400000US11001000300,52,40,0,2484
79,1400000US11001000501,0,61,0,1885
80,1400000US11001000502,29,49,14,1532
81,1400000US11001000600,34,0,24,1919
82,1400000US11001000701,63,77,16,2957
83,1400000US11001000802,0,5,0,1303
