OBJECTID,GEO.id,acs_oo,acs_ro
1,1400000US11001007407,407,719
2,1400000US11001007409,352,1132
3,1400000US11001007502,430,1163
4,1400000US11001007503,222,625
5,1400000US11001007504,219,842
6,1400000US11001007603,1107,958
7,1400000US11001007604,608,1156
8,1400000US11001007605,303,1363
9,1400000US11001007707,845,597
10,1400000US11001007708,282,874
11,1400000US11001007709,303,656
12,1400000US11001007803,572,750
13,1400000US11001007804,485,613
14,1400000US11001007807,301,505
15,1400000US11001007808,358,882
16,1400000US11001007809,550,627
17,1400000US11001007903,502,239
18,1400000US11001008001,889,332
19,1400000US11001008002,952,614
20,1400000US11001008200,595,929
21,1400000US11001008301,779,376
22,1400000US11001008402,323,720
23,1400000US11001008410,426,128
24,1400000US11001008701,552,211
25,1400000US11001008802,865,986
26,1400000US11001008803,83,351
27,1400000US11001008804,305,923
28,1400000US11001008903,223,909
29,1400000US11001009000,616,1024
30,1400000US11001009102,635,989
31,1400000US11001009201,210,306
32,1400000US11001009204,135,1123
33,1400000US11001000100,1296,1250
34,1400000US11001000201,0,0
35,1400000US11001000400,364,217
36,1400000US11001000702,645,1570
37,1400000US11001001002,781,1127
38,1400000US11001001401,760,675
39,1400000US11001001702,713,342
40,1400000US11001002201,878,195
41,1400000US11001002501,498,470
42,1400000US11001002801,327,1256
43,1400000US11001002900,578,806
44,1400000US11001003301,917,272
45,1400000US11001003600,576,1217
46,1400000US11001004002,582,983
47,1400000US11001004202,649,948
48,1400000US11001004702,274,528
49,1400000US11001004901,262,659
50,1400000US11001005600,1291,2104
51,1400000US11001006400,240,769
52,1400000US11001006801,351,443
53,1400000US11001007100,460,760
54,1400000US11001007403,75,1050
55,1400000US11001007408,42,973
56,1400000US11001007601,913,911
57,1400000US11001007703,616,1585
58,1400000US11001007806,341,466
59,1400000US11001007901,547,965
60,1400000US11001008302,622,316
61,1400000US11001008702,348,413
62,1400000US11001008904,151,1441
63,1400000US11001009203,624,603
64,1400000US11001009302,288,171
65,1400000US11001009504,579,655
66,1400000US11001009509,1120,70
67,1400000US11001009602,120,1182
68,1400000US11001009603,519,977
