GEO_ID_2,acsma_y
1400000US11001007407,28.4
1400000US11001007409,24.9
1400000US11001007502,29.7
1400000US11001007503,33.3
1400000US11001007504,28.8
1400000US11001007603,41.7
1400000US11001007604,48.3
1400000US11001007605,42.4
1400000US11001007707,33.8
1400000US11001007708,32.7
1400000US11001007709,47.2
1400000US11001007803,37.9
1400000US11001007804,35.5
1400000US11001007807,37.8
1400000US11001007808,23.8
1400000US11001007809,35.6
1400000US11001007903,46.1
1400000US11001008001,36.0
1400000US11001008002,34.4
1400000US11001008200,30.7
1400000US11001008301,37.3
1400000US11001008402,40.6
1400000US11001008410,35.6
1400000US11001008701,33.5
1400000US11001008802,35.7
1400000US11001008803,28.0
1400000US11001008804,41.8
1400000US11001008903,35.7
1400000US11001009000,50.2
1400000US11001009102,32.4
1400000US11001009201,33.6
1400000US11001009204,41.2
1400000US11001000100,42.0
1400000US11001000201,19.4
1400000US11001000400,40.7
1400000US11001000702,30.3
1400000US11001001002,32.8
1400000US11001001401,39.6
1400000US11001001702,38.3
1400000US11001002201,36.1
1400000US11001002501,41.4
1400000US11001002801,30.3
1400000US11001002900,30.8
1400000US11001003301,36.3
1400000US11001003600,34.9
1400000US11001004002,33.8
1400000US11001004202,33.5
1400000US11001004702,36.9
1400000US11001004901,33.0
1400000US11001005600,31.0
1400000US11001006400,37.8
1400000US11001006801,34.2
1400000US11001007100,29.8
1400000US11001007403,27.7
1400000US11001007408,26.8
1400000US11001007601,45.4
1400000US11001007703,27.8
1400000US11001007806,38.7
1400000US11001007901,34.3
1400000US11001008302,33.5
1400000US11001008702,40.0
1400000US11001008904,38.7
1400000US11001009203,32.4
1400000US11001009302,39.7
1400000US11001009504,44.8
1400000US11001009509,50.5
1400000US11001009602,26.7
1400000US11001009603,35.6
1400000US11001009604,41.6
1400000US11001009700,27.8
1400000US11001009802,28.5
1400000US11001009807,41.4
1400000US11001009904,31.1
1400000US11001009906,37.5
1400000US11001010500,35.2
1400000US11001010800,19.7
1400000US11001000202,27.8
1400000US11001000300,30.3
1400000US11001000501,30.5
1400000US11001000502,39.5
1400000US11001000600,48.2
1400000US11001000701,49.3
1400000US11001000802,41.1
1400000US11001000901,19.8
1400000US11001000902,41.6
1400000US11001001001,36.4
1400000US11001001100,42.0
1400000US11001001200,35.0
1400000US11001001301,37.0
1400000US11001001302,34.4
1400000US11001001402,46.7
1400000US11001001500,46.4
1400000US11001001600,47.4
1400000US11001001803,44.0
1400000US11001001804,37.1
1400000US11001001901,42.6
1400000US11001002001,39.4
1400000US11001002002,43.9
1400000US11001002101,36.2
1400000US11001002102,39.2
1400000US11001002202,41.1
1400000US11001002301,40.7
1400000US11001002302,55.8
1400000US11001002400,39.6
1400000US11001002502,34.6
1400000US11001002600,48.6
1400000US11001002701,32.2
1400000US11001002702,34.0
1400000US11001002802,31.0
1400000US11001003000,30.8
1400000US11001003100,31.3
1400000US11001003200,34.1
1400000US11001003302,33.6
1400000US11001003400,20.3
1400000US11001003500,29.1
1400000US11001003700,27.7
1400000US11001003800,35.1
1400000US11001003900,34.8
1400000US11001004001,37.8
1400000US11001004100,42.7
1400000US11001004201,31.3
1400000US11001004300,35.6
1400000US11001004400,33.2
1400000US11001004600,35.6
1400000US11001004701,23.8
1400000US11001004801,39.3
1400000US11001004802,34.3
1400000US11001004902,29.9
1400000US11001005001,37.5
1400000US11001005002,34.4
1400000US11001005201,34.5
1400000US11001005301,35.6
1400000US11001005500,34.8
1400000US11001005800,32.8
1400000US11001005900,35.3
1400000US11001006202,-
1400000US11001006500,33.3
1400000US11001006600,34.3
1400000US11001006700,37.7
1400000US11001006802,37.3
1400000US11001006804,34.1
1400000US11001006900,34.4
1400000US11001007000,33.8
1400000US11001007200,34.7
1400000US11001007301,24.9
1400000US11001007304,29.4
1400000US11001007401,23.6
1400000US11001007404,19.0
1400000US11001007406,21.5
1400000US11001009301,41.8
1400000US11001009400,45.3
1400000US11001009501,20.8
1400000US11001009503,51.2
1400000US11001009505,47.2
1400000US11001009507,46.2
1400000US11001009508,46.6
1400000US11001009601,17.9
1400000US11001009801,19.7
1400000US11001009803,28.4
1400000US11001009804,26.0
1400000US11001009810,26.2
1400000US11001009811,25.6
1400000US11001009901,52.4
1400000US11001009902,45.7
1400000US11001009903,39.2
1400000US11001009905,33.6
1400000US11001009907,26.8
1400000US11001010100,31.9
1400000US11001010200,42.9
1400000US11001010300,36.3
1400000US11001010400,36.8
1400000US11001010600,34.1
1400000US11001010700,27.1
1400000US11001010900,22.7
1400000US11001011000,45.9
1400000US11001011100,47.0
1400000US11001001902,46.5
1400000US11001008100,30.9
1400000US11001000801,43.1
