OBJECTID,GEO.id,decma,dectp,decmpp,decfpp,decaapp
1,1400000US11001007407,29.8,2373,44.0,56.0,97.1
2,1400000US11001007409,25.2,3444,42.6,57.4,98.4
3,1400000US11001007502,28.6,4221,45.5,54.5,97.2
4,1400000US11001007503,27.5,2515,42.6,57.4,97.2
5,1400000US11001007504,28.3,2358,46.1,53.9,97.4
6,1400000US11001007603,39.5,4255,43.2,56.8,90.7
7,1400000US11001007604,39.2,3764,44.3,55.7,94.4
8,1400000US11001007605,36.2,3721,45.2,54.8,96.5
9,1400000US11001007707,37.0,3796,44.4,55.6,97.7
10,1400000US11001007708,32.7,2706,42.5,57.5,98.3
11,1400000US11001007709,37.9,1979,45.5,54.5,95.9
12,1400000US11001007803,39.0,3092,45.8,54.2,97.5
13,1400000US11001007804,35.8,3390,41.7,58.3,98.1
14,1400000US11001007807,36.3,1911,45.9,54.1,97.5
15,1400000US11001007808,31.1,4012,44.1,55.9,98.2
16,1400000US11001007809,37.9,2667,45.7,54.3,97.2
17,1400000US11001007903,40.4,1840,45.9,54.1,96.5
18,1400000US11001008001,38.2,2578,49.8,50.2,84.0
19,1400000US11001008002,37.1,3104,48.3,51.7,71.4
20,1400000US11001008200,33.3,2505,50.3,49.7,7.0
21,1400000US11001008301,34.6,2243,52.4,47.6,34.0
22,1400000US11001008402,37.4,2139,45.4,54.6,71.0
23,1400000US11001008410,36.3,1506,48.1,51.9,91.6
24,1400000US11001008701,37.8,2415,47.4,52.6,95.2
25,1400000US11001008802,38.9,4160,45.1,54.9,96.4
26,1400000US11001008803,24.4,1918,48.5,51.5,59.0
27,1400000US11001008804,36.2,2277,46.9,53.1,97.5
28,1400000US11001008903,36.8,2396,46.3,53.7,96.9
29,1400000US11001009000,53.1,2263,37.3,62.7,97.0
30,1400000US11001009102,34.0,4400,45.0,55.0,96.8
31,1400000US11001009201,36.0,1381,46.0,54.0,72.7
32,1400000US11001009204,34.1,2322,46.0,54.0,94.3
33,1400000US11001000100,40.7,4674,46.9,53.1,4.0
34,1400000US11001000201,19.9,4467,45.2,54.8,5.4
35,1400000US11001000400,45.2,1510,48.8,51.2,4.4
36,1400000US11001000702,31.2,3326,41.5,58.5,6.6
37,1400000US11001001002,31.5,3465,42.3,57.7,6.3
38,1400000US11001001401,39.6,3150,45.3,54.7,5.0
39,1400000US11001001702,41.8,2240,46.3,53.7,73.1
40,1400000US11001002201,39.9,3505,45.8,54.2,85.0
41,1400000US11001002501,39.0,2392,48.4,51.6,68.2
42,1400000US11001002801,30.6,3629,49.0,51.0,50.8
43,1400000US11001002900,32.5,4189,52.9,47.1,54.5
44,1400000US11001003301,38.6,2707,50.8,49.2,89.2
45,1400000US11001003600,32.9,3915,50.5,49.5,62.0
46,1400000US11001004002,33.1,2778,52.4,47.6,12.3
47,1400000US11001004202,33.6,2889,53.9,46.1,7.4
48,,,,,,
49,1400000US11001004901,34.4,2013,49.2,50.8,78.5
50,1400000US11001005600,29.0,5946,43.3,56.7,6.0
51,1400000US11001006400,36.9,2240,43.4,56.6,90.8
52,1400000US11001006801,39.4,1997,48.9,51.1,92.5
53,1400000US11001007100,29.8,2818,46.8,53.2,85.8
54,1400000US11001007403,26.0,2308,42.4,57.6,98.0
55,1400000US11001007408,24.0,2166,42.2,57.8,99.1
56,1400000US11001007601,37.0,4572,46.0,54.0,95.8
57,1400000US11001007703,29.4,4615,42.9,57.1,96.2
58,1400000US11001007806,38.1,2133,49.3,50.7,98.1
59,1400000US11001007901,34.7,3680,43.0,57.0,97.1
60,1400000US11001008302,35.4,1956,50.9,49.1,40.1
61,1400000US11001008702,37.0,1916,49.5,50.5,91.2
62,1400000US11001008904,34.2,3248,44.3,55.7,97.0
63,1400000US11001009203,37.8,2861,45.9,54.1,93.5
64,1400000US11001009302,41.0,1201,45.0,55.0,93.9
65,1400000US11001009504,41.6,3353,46.8,53.2,76.3
66,1400000US11001009509,47.3,2898,43.4,56.6,96.2
67,1400000US11001009602,27.9,3106,40.1,59.9,98.1
68,1400000US11001009603,42.3,3230,41.6,58.4,97.8
69,1400000US11001009604,45.2,1982,43.0,57.0,97.9
70,1400000US11001009700,28.5,2309,43.3,56.7,98.8
71,1400000US11001009802,24.3,1806,44.0,56.0,98.3
72,1400000US11001009807,34.9,3238,46.4,53.6,96.8
73,1400000US11001009904,31.0,1863,42.6,57.4,97.6
74,1400000US11001009906,37.3,1550,43.2,56.8,97.8
75,,,,,,
76,,,,,,
77,1400000US11001000202,32.9,3850,49.7,50.3,1.6
78,1400000US11001000300,30.4,5706,46.4,53.6,3.1
79,1400000US11001000501,32.5,2765,42.4,57.6,4.8
80,1400000US11001000502,38.0,3112,44.8,55.2,2.7
81,1400000US11001000600,45.6,4919,42.2,57.8,12.8
