GEO_ID,AREA,dec_ma,dec_tp,dec_mpp,dec_fpp,dec_aapp,AREA
1400000US11001001600,0.000278315,48.2,4030,46.4,53.6,72.4,0.0002783
1400000US11001001500,0.000492045,44.8,5649,47.2,52.8,11.2,0.0004920
1400000US11001001701,6.32E-05,40.5,2968,45.6,54.4,77.4,0.0000632
1400000US11001001801,5.10E-05,26,615,63.1,36.9,34.3,0.0000510
1400000US11001001702,9.90E-05,41.8,2240,46.3,53.7,73.1,0.0000990
1400000US11001001803,0.00012527,37.1,3066,46.2,53.8,70,0.0001253
1400000US11001001804,6.22E-05,36.7,4156,45.7,54.3,72.1,0.0000622
1400000US11001001401,8.43E-05,39.6,3150,45.3,54.7,5,0.0000843
1400000US11001009505,0.000110261,47.5,2671,42.5,57.5,93.7,0.0001103
1400000US11001001901,8.05E-05,42.6,3949,43.9,56.1,90.8,0.0000805
1400000US11001001902,9.47E-05,44.5,2062,45.8,54.2,89.3,0.0000947
1400000US11001001100,0.000180701,42.4,4428,43.5,56.5,5.7,0.0001807
1400000US11001001402,9.43E-05,54.5,3925,58.1,41.9,14.1,0.0000943
1400000US11001002001,5.96E-05,38.7,2435,48.3,51.7,62,0.0000596
1400000US11001001301,0.000291316,38.8,3747,45.8,54.2,7.2,0.0002913
1400000US11001009507,2.54E-05,44.8,1533,42.5,57.5,96.8,0.0000254
1400000US11001002002,8.91E-05,39.4,3781,47.1,52.9,73.7,0.0000891
1400000US11001001001,0.000258513,40.5,6062,46.4,53.6,3.2,0.0002585
1400000US11001002600,0.000242641,46.6,2184,45.5,54.5,61.5,0.0002426
1400000US11001002101,6.29E-05,36.2,5233,47.9,52.1,81,0.0000629
1400000US11001002102,7.62E-05,41.2,4631,45.2,54.8,89.9,0.0000762
1400000US11001009508,0.000107766,46.2,2860,43.3,56.7,95.5,0.0001078
1400000US11001001200,0.000121489,37.4,4856,44.9,55.1,5.8,0.0001215
1400000US11001009503,0.000147307,46.3,3066,45.7,54.3,86.9,0.0001473
1400000US11001002202,7.06E-05,39,3013,43.7,56.3,89.7,0.0000706
1400000US11001009501,0.000146961,25.4,5264,47.9,52.1,59.5,0.0001470
1400000US11001009509,6.51E-05,47.3,2898,43.4,56.6,96.2,0.0000651
1400000US11001002201,4.33E-05,39.9,3505,45.8,54.2,85,0.0000433
1400000US11001000901,0.000308924,21.4,7208,43.4,56.6,5.7,0.0003089
1400000US11001001302,0.00016359,38.3,6294,41,59,5.9,0.0001636
1400000US11001002501,5.14E-05,39,2392,48.4,51.6,68.2,0.0000514
1400000US11001009400,0.000165694,45.1,4166,45.2,54.8,92.5,0.0001657
1400000US11001009504,0.000101992,41.6,3353,46.8,53.2,76.3,0.0001020
1400000US11001002301,4.08E-05,40.4,2995,44.6,55.4,88.1,0.0000408
1400000US11001002400,5.43E-05,39.4,3580,48.5,51.5,82.8,0.0000543
1400000US11001001002,8.77E-05,31.5,3465,42.3,57.7,6.3,0.0000877
1400000US11001002302,0.000218216,31.8,1345,43.3,56.7,63,0.0002182
1400000US11001000600,0.000153041,45.6,4919,42.2,57.8,12.8,0.0001530
1400000US11001002502,6.25E-05,32.7,5486,50.4,49.6,56.3,0.0000625
1400000US11001000902,0.00022246,41.8,1973,46.5,53.5,4.9,0.0002225
1400000US11001002701,4.53E-05,32.2,5742,50.7,49.3,30.3,0.0000453
1400000US11001002801,1.78E-05,30.6,3629,49,51,50.8,0.0000178
1400000US11001003200,4.83E-05,35.4,4480,47.7,52.3,82.1,0.0000483
1400000US11001000801,0.000327803,41.1,6721,42,58,4.3,0.0003278
1400000US11001002900,3.16E-05,32.5,4189,52.9,47.1,54.5,0.0000316
1400000US11001003100,3.19E-05,32.6,2755,49.1,50.9,66.8,0.0000319
1400000US11001009301,0.000118887,41,3305,46.4,53.6,71.8,0.0001189
1400000US11001009101,0.000312419,44,4827,45.6,54.4,94.3,0.0003124
1400000US11001000701,5.48E-05,44.5,4395,40.5,59.5,3.6,0.0000548
1400000US11001000501,0.00010182,32.5,2765,42.4,57.6,4.8,0.0001018
1400000US11001009201,6.08E-05,36,1381,46,54,72.7,0.0000608
1400000US11001002702,5.30E-05,32.6,6052,54.5,45.5,20.1,0.0000530
1400000US11001002802,2.22E-05,30.7,4700,53.1,46.9,32.4,0.0000222
1400000US11001000502,6.02E-05,38,3112,44.8,55.2,2.7,0.0000602
1400000US11001000400,0.000161132,45.2,1510,48.8,51.2,4.4,0.0001611
1400000US11001003000,2.15E-05,29.3,2829,48.9,51.1,68.2,0.0000215
1400000US11001009000,0.000153124,53.1,2263,37.3,62.7,97,0.0001531
1400000US11001003400,0.00011414,21.2,4249,44.1,55.9,91.9,0.0001141
1400000US11001009302,4.15E-05,41,1201,45,55,93.9,0.0000415
1400000US11001003900,4.01E-05,32.6,4643,50.4,49.6,19.7,0.0000401
1400000US11001009102,0.000190108,34,4400,45,55,96.8,0.0001901
1400000US11001009203,6.25E-05,37.8,2861,45.9,54.1,93.5,0.0000625
1400000US11001003500,3.98E-05,22.8,3498,44.4,55.6,83.9,0.0000398
1400000US11001003800,3.98E-05,32.5,4718,54.1,45.9,32,0.0000398
1400000US11001003600,3.30E-05,32.9,3915,50.5,49.5,62,0.0000330
1400000US11001003301,4.63E-05,38.6,2707,50.8,49.2,89.2,0.0000463
1400000US11001003700,2.81E-05,26.5,4990,47.7,52.3,56.9,0.0000281
1400000US11001000702,3.05E-05,31.2,3326,41.5,58.5,6.6,0.0000305
1400000US11001009204,3.06E-05,34.1,2322,46,54,94.3,0.0000306
1400000US11001004001,2.79E-05,35.5,3474,50.4,49.6,5.2,0.0000279
1400000US11001000300,0.000104179,30.4,5706,46.4,53.6,3.1,0.0001042
1400000US11001004002,2.12E-05,33.1,2778,52.4,47.6,12.3,0.0000212
1400000US11001008702,4.98E-05,37,1916,49.5,50.5,91.2,0.0000498
1400000US11001004100,8.04E-05,42.8,2570,48.2,51.8,3.8,0.0000804
1400000US11001004400,5.41E-05,33.6,2589,54,46,58.8,0.0000541
1400000US11001004300,2.26E-05,33,3290,53.6,46.4,39,0.0000226
1400000US11001000802,0.000260061,34.3,2806,48.8,51.2,3.3,0.0002601
1400000US11001004201,2.09E-05,32.1,3392,57,43,14.2,0.0000209
1400000US11001008701,4.00E-05,37.8,2415,47.4,52.6,95.2,0.0000400
1400000US11001009601,0.000216224,28.1,2343,43.1,56.9,97.7,0.0002162
1400000US11001000100,0.000249505,40.7,4674,46.9,53.1,4,0.0002495
1400000US11001008905,0.000317542,38,2,50,50,0,0.0003175
1400000US11001000202,0.000124997,32.9,3850,49.7,50.3,1.6,0.0001250
1400000US11001008803,0.000118705,24.4,1918,48.5,51.5,59,0.0001187
1400000US11001008804,8.45E-05,36.2,2277,46.9,53.1,97.5,0.0000845
1400000US11001003302,2.04E-05,37.7,1830,49.3,50.7,91.5,0.0000204
1400000US11001004202,2.18E-05,33.6,2889,53.9,46.1,7.4,0.0000218
1400000US11001004801,3.28E-05,38.2,1876,53.6,46.4,77.2,0.0000328
1400000US11001004600,4.52E-05,33.1,2997,49.5,50.5,90.5,0.0000452
1400000US11001005500,6.69E-05,34.4,4696,50.1,49.9,8.2,0.0000669
1400000US11001005301,3.07E-05,32.9,5045,54.4,45.6,7.1,0.0000307
1400000US11001005000,4.62E-05,33.1,7278,61,39,37,0.0000462
1400000US11001004901,2.90E-05,34.4,2013,49.2,50.8,78.5,0.0000290
1400000US11001005201,3.22E-05,33.7,4559,58.8,41.2,23.2,0.0000322
1400000US11001000201,5.22E-05,19.9,4467,45.2,54.8,5.4,0.0000522
1400000US11001008600,7.29E-05,40.8,89,61.8,38.2,78.7,0.0000729
1400000US11001007806,7.44E-05,38.1,2133,49.3,50.7,98.1,0.0000744
1400000US11001005302,3.02E-05,40.7,175,60,40,4,0.0000302
1400000US11001005401,3.34E-05,26.3,1462,46.5,53.5,5.4,0.0000334
1400000US11001005402,2.80E-05,46.5,1,100,0,0,0.0000280
1400000US11001009602,0.00014625,27.9,3106,40.1,59.9,98.1,0.0001463
1400000US11001004902,2.76E-05,28.8,2286,53.2,46.8,60.1,0.0000276
1400000US11001004802,2.91E-05,33.6,2853,46,54,76.1,0.0000291
1400000US11001008500,5.29E-05,36.3,3209,47.8,52.2,92.1,0.0000529
1400000US11001008802,4.95E-05,38.9,4160,45.1,54.9,96.4,0.0000495
1400000US11001004700,6.92E-05,32.1,4382,40.4,59.6,92.1,0.0000692
1400000US11001008903,3.07E-05,36.8,2396,46.3,53.7,96.9,0.0000307
1400000US11001005202,1.79E-05,30.1,760,54.3,45.7,21.4,0.0000179
1400000US11001005100,3.97E-05,40.4,783,48.5,51.5,24.9,0.0000397
