OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
1,1400000US11001007407,29.8,2373,100.0,1045,44.0,1328,56.0,2305,97.1
2,1400000US11001007409,25.2,3444,100.0,1466,42.6,1978,57.4,3390,98.4
3,1400000US11001007502,28.6,4221,100.0,1919,45.5,2302,54.5,4101,97.2
4,1400000US11001007503,27.5,2515,100.0,1072,42.6,1443,57.4,2445,97.2
5,1400000US11001007504,28.3,2358,100.0,1088,46.1,1270,53.9,2296,97.4
6,1400000US11001007603,39.5,4255,100.0,1837,43.2,2418,56.8,3858,90.7
7,1400000US11001007604,39.2,3764,100.0,1669,44.3,2095,55.7,3555,94.4
8,1400000US11001007605,36.2,3721,100.0,1681,45.2,2040,54.8,3591,96.5
9,1400000US11001007707,37.0,3796,100.0,1684,44.4,2112,55.6,3708,97.7
10,1400000US11001007708,32.7,2706,100.0,1151,42.5,1555,57.5,2660,98.3
11,1400000US11001007709,37.9,1979,100.0,901,45.5,1078,54.5,1898,95.9
12,1400000US11001007803,39.0,3092,100.0,1416,45.8,1676,54.2,3014,97.5
13,1400000US11001007804,35.8,3390,100.0,1414,41.7,1976,58.3,3326,98.1
14,1400000US11001007807,36.3,1911,100.0,877,45.9,1034,54.1,1863,97.5
15,1400000US11001007808,31.1,4012,100.0,1768,44.1,2244,55.9,3941,98.2
16,1400000US11001007809,37.9,2667,100.0,1218,45.7,1449,54.3,2592,97.2
17,1400000US11001007903,40.4,1840,100.0,844,45.9,996,54.1,1776,96.5
18,1400000US11001008001,38.2,2578,100.0,1285,49.8,1293,50.2,2165,84.0
19,1400000US11001008002,37.1,3104,100.0,1499,48.3,1605,51.7,2215,71.4
20,1400000US11001008200,33.3,2505,100.0,1261,50.3,1244,49.7,176,7.0
21,1400000US11001008301,34.6,2243,100.0,1175,52.4,1068,47.6,763,34.0
22,1400000US11001008402,37.4,2139,100.0,972,45.4,1167,54.6,1519,71.0
23,1400000US11001008410,36.3,1506,100.0,725,48.1,781,51.9,1379,91.6
24,1400000US11001008701,37.8,2415,100.0,1144,47.4,1271,52.6,2298,95.2
25,1400000US11001008802,38.9,4160,100.0,1875,45.1,2285,54.9,4010,96.4
26,1400000US11001008803,24.4,1918,100.0,931,48.5,987,51.5,1132,59.0
27,1400000US11001008804,36.2,2277,100.0,1069,46.9,1208,53.1,2220,97.5
28,1400000US11001008903,36.8,2396,100.0,1109,46.3,1287,53.7,2321,96.9
29,1400000US11001009000,53.1,2263,100.0,844,37.3,1419,62.7,2195,97.0
30,1400000US11001009102,34.0,4400,100.0,1978,45.0,2422,55.0,4257,96.8
31,1400000US11001009201,36.0,1381,100.0,635,46.0,746,54.0,1004,72.7
32,1400000US11001009204,34.1,2322,100.0,1068,46.0,1254,54.0,2190,94.3
33,1400000US11001000100,40.7,4674,100.0,2194,46.9,2480,53.1,188,4.0
34,1400000US11001000201,19.9,4467,100.0,2019,45.2,2448,54.8,240,5.4
35,1400000US11001000400,45.2,1510,100.0,737,48.8,773,51.2,67,4.4
