OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
1,1400000US11001007407,41.9,58.5,860,48.7,165,9.3,100.0,41.5,517,52.0
2,1400000US11001007409,31.2,51.9,879,39.9,264,12.0,100.0,48.1,723,53.5
3,1400000US11001007502,36.8,51.4,1164,40.1,324,11.2,100.0,48.6,911,54.9
4,1400000US11001007503,31.4,57.6,809,44.2,246,13.4,100.0,42.4,612,54.6
5,1400000US11001007504,37.2,57.1,647,45.9,159,11.3,100.0,42.9,415,50.3
6,1400000US11001007603,50.2,62.1,1905,56.5,188,5.6,100.0,37.9,1252,62.6
7,1400000US11001007604,55.7,63.4,1756,58.7,123,4.1,100.0,36.6,987,57.3
8,1400000US11001007605,51.2,65.8,1745,59.1,176,6.0,100.0,34.2,1051,64.0
9,1400000US11001007707,51.0,54.4,1382,48.2,177,6.2,100.0,45.6,821,49.2
10,1400000US11001007708,45.9,56.3,1014,52.3,78,4.0,100.0,43.7,638,53.9
11,1400000US11001007709,41.0,64.9,930,57.9,112,7.0,100.0,35.1,553,60.3
12,1400000US11001007803,41.8,50.8,1059,44.1,161,6.7,100.0,49.2,617,46.6
13,1400000US11001007804,29.6,39.6,790,32.4,177,7.3,100.0,60.4,527,35.6
14,1400000US11001007807,32.3,47.8,651,44.9,42,2.9,100.0,52.2,382,48.3
15,1400000US11001007808,32.5,45.8,976,35.6,273,10.0,100.0,54.2,685,42.9
16,1400000US11001007809,44.3,46.3,835,38.8,161,7.5,100.0,53.7,572,46.8
17,1400000US11001007903,62.3,52.6,695,44.8,122,7.9,100.0,47.4,416,50.9
18,1400000US11001008001,50.1,62.2,1138,54.9,143,6.9,100.0,37.8,633,60.4
19,1400000US11001008002,41.5,75.1,1852,69.1,150,5.6,100.0,24.9,994,73.0
20,1400000US11001008200,31.7,83.8,1973,82.7,13,0.5,100.0,16.2,1039,83.8
21,1400000US11001008301,35.6,85.4,1662,81.7,69,3.4,100.0,14.6,758,82.8
22,1400000US11001008402,42.1,58.5,942,50.9,127,6.9,100.0,41.5,571,53.7
23,1400000US11001008410,62.9,53.3,483,42.0,129,11.2,100.0,46.7,279,49.0
24,1400000US11001008701,29.7,57.3,948,48.7,166,8.5,100.0,42.7,530,52.7
25,1400000US11001008802,47.2,48.2,1208,38.6,299,9.6,100.0,51.8,757,43.5
26,1400000US11001008803,18.7,55.6,584,35.8,324,19.8,100.0,44.4,487,53.9
27,1400000US11001008804,35.8,58.3,922,51.8,115,6.5,100.0,41.7,541,58.4
28,1400000US11001008903,52.3,53.9,894,46.5,142,7.4,100.0,46.1,524,48.8
29,1400000US11001009000,62.5,41.0,755,36.9,84,4.1,100.0,59.0,406,33.1
30,1400000US11001009102,45.4,49.9,1411,43.9,192,6.0,100.0,50.1,831,45.9
31,1400000US11001009201,29.7,59.6,580,52.5,79,7.1,100.0,40.4,424,57.1
32,1400000US11001009204,38.2,50.7,803,43.6,130,7.1,100.0,49.3,517,49.9
33,1400000US11001000100,37.8,73.1,3066,71.6,58,1.4,100.0,26.9,1528,67.2
34,1400000US11001000201,44.1,54.1,2322,52.1,93,2.1,100.0,45.9,1334,56.7
35,1400000US11001000400,54.9,64.1,830,63.8,3,0.2,100.0,35.9,360,52.6
36,1400000US11001000702,48.2,76.4,2279,74.2,68,2.2,100.0,23.6,1448,75.7
37,1400000US11001001002,46.1,72.8,2338,70.7,60,1.8,100.0,27.2,1282,68.5
38,1400000US11001001401,51.1,76.4,1915,73.5,77,3.0,100.0,23.6,1051,72.9
39,1400000US11001001702,38.8,61.2,1029,57.7,63,3.5,100.0,38.8,583,60.3
40,1400000US11001002201,46.1,56.8,1481,53.6,83,3.0,100.0,43.2,778,51.3
41,1400000US11001002501,49.3,60.9,1076,55.8,99,5.1,100.0,39.1,507,51.0
42,1400000US11001002801,30.6,58.0,1385,51.0,183,6.7,100.0,42.0,721,51.5
43,1400000US11001002900,30.2,64.5,1776,55.3,295,9.2,100.0,35.5,860,57.8
44,1400000US11001003301,50.0,61.8,1132,52.4,192,8.9,100.0,38.2,607,56.9
45,1400000US11001003600,32.0,62.7,1754,55.8,211,6.7,100.0,37.3,891,56.0
46,1400000US11001004002,26.2,84.0,2248,81.5,62,2.2,100.0,16.0,1013,79.7
47,1400000US11001004202,18.9,84.2,2311,81.8,57,2.0,100.0,15.8,1026,81.8
48,,,,,,,,,,,
49,1400000US11001004901,23.8,57.6,780,48.7,142,8.9,100.0,42.4,507,57.7
50,1400000US11001005600,12.1,57.8,3240,55.2,152,2.6,100.0,42.2,1752,53.9
51,1400000US11001006400,25.8,38.0,547,31.8,105,6.1,100.0,62.0,419,39.8
52,1400000US11001006801,46.2,58.4,788,48.4,162,10.0,100.0,41.6,412,53.1
53,1400000US11001007100,32.8,53.7,841,44.8,167,8.9,100.0,46.3,576,51.5
54,1400000US11001007403,26.9,66.0,836,55.5,159,10.6,100.0,34.0,623,63.1
55,1400000US11001007408,28.6,52.7,542,41.2,151,11.5,100.0,47.3,439,51.6
56,1400000US11001007601,43.5,55.9,1618,45.3,379,10.6,100.0,44.1,1067,53.5
57,1400000US11001007703,41.2,58.0,1519,48.1,304,9.6,100.0,42.0,1091,57.6
58,1400000US11001007806,49.2,48.6,696,41.0,128,7.5,100.0,51.4,396,46.6
59,1400000US11001007901,36.6,52.9,1171,43.6,248,9.2,100.0,47.1,852,53.0
60,1400000US11001008302,37.0,73.8,1202,69.3,66,3.8,100.0,26.2,592,69.6
61,1400000US11001008702,55.7,52.0,636,44.5,108,7.6,100.0,48.0,279,37.2
62,1400000US11001008904,32.5,50.9,978,43.9,156,7.0,100.0,49.1,659,48.5
63,1400000US11001009203,44.9,61.2,1224,54.3,155,6.9,100.0,38.8,644,55.5
64,1400000US11001009302,55.6,63.4,583,54.7,92,8.6,100.0,36.6,353,61.6
65,1400000US11001009504,50.7,59.4,1488,50.9,249,8.5,100.0,40.6,884,55.3
66,1400000US11001009509,58.3,54.9,1278,52.2,65,2.7,100.0,45.1,705,50.1
67,1400000US11001009602,38.5,58.3,1019,49.7,166,8.1,100.0,41.7,756,56.3
68,1400000US11001009603,48.5,53.2,1194,45.0,202,7.6,100.0,46.8,767,47.9
69,1400000US11001009604,43.6,49.2,718,43.5,93,5.6,100.0,50.8,452,46.0
70,1400000US11001009700,61.1,63.2,834,53.1,159,10.1,100.0,36.8,560,60.3
71,1400000US11001009802,32.0,46.8,393,33.4,157,13.4,100.0,53.2,370,54.1
72,1400000US11001009807,46.3,56.3,1230,49.2,173,6.9,100.0,43.7,812,54.8
73,1400000US11001009904,36.3,61.1,702,52.9,109,8.2,100.0,38.9,422,57.3
74,1400000US11001009906,37.6,49.0,414,36.5,141,12.4,100.0,51.0,323,48.1
75,,,,,,,,,,,
76,,,,,,,,,,,
77,1400000US11001000202,39.2,68.1,2413,67.8,12,0.3,100.0,31.9,1111,60.9
78,1400000US11001000300,48.0,74.8,3922,73.0,84,1.6,100.0,25.2,2067,73.9
79,1400000US11001000501,25.0,80.7,2058,77.6,76,2.9,100.0,19.3,1224,79.7
80,1400000US11001000502,33.3,80.7,2246,79.6,30,1.1,100.0,19.3,1201,77.6
81,1400000US11001000600,39.1,63.3,2727,62.6,24,0.6,100.0,36.7,1502,56.3
82,1400000US11001000701,43.6,66.3,2648,63.7,108,2.6,100.0,33.7,1585,62.3
83,1400000US11001000802,52.6,71.1,1749,70.0,27,1.1,100.0,28.9,834,64.3
84,1400000US11001000901,58.2,79.3,2127,32.8,3007,46.4,100.0,20.7,2950,77.3
85,1400000US11001000902,56.5,74.9,1173,74.3,9,0.6,100.0,25.1,573,69.8
86,1400000US11001001001,46.2,73.8,3567,71.6,102,2.0,100.0,26.2,1796,68.1
87,1400000US11001001100,43.2,73.6,2690,72.3,36,1.0,100.0,26.4,1436,68.8
88,1400000US11001001200,34.8,80.8,3383,79.5,55,1.3,100.0,19.2,1848,76.7
89,1400000US11001001301,41.2,73.2,2430,72.3,24,0.7,100.0,26.8,1213,63.6
90,1400000US11001001302,30.9,76.4,4516,74.7,95,1.6,100.0,23.6,2640,72.8
91,1400000US11001001402,55.5,43.6,1525,42.8,30,0.8,100.0,56.4,810,54.4
92,1400000US11001001500,59.8,64.3,2787,62.9,51,1.2,100.0,35.7,1315,56.1
93,1400000US11001001600,67.4,65.1,2120,62.5,86,2.5,100.0,34.9,1120,62.5
94,1400000US11001001803,40.6,66.0,1515,60.2,147,5.8,100.0,34.0,953,67.3
95,1400000US11001001804,41.7,65.4,2009,60.2,156,4.7,100.0,34.6,1165,64.3
96,1400000US11001001901,51.2,58.7,1799,55.7,97,3.0,100.0,41.3,1027,56.5
97,1400000US11001002001,53.5,57.7,1157,56.0,36,1.7,100.0,42.3,587,54.2
98,1400000US11001002002,51.1,60.4,1701,56.0,131,4.3,100.0,39.6,894,56.2
99,1400000US11001002101,43.5,56.5,2095,51.2,198,4.8,100.0,43.5,1185,54.2
100,1400000US11001002102,50.6,57.9,1977,51.6,238,6.2,100.0,42.1,1248,57.6
101,1400000US11001002202,45.5,58.4,1257,53.2,116,4.9,100.0,41.6,763,55.6
102,1400000US11001002301,59.4,57.1,1228,51.7,126,5.3,100.0,42.9,872,60.7
103,1400000US11001002302,53.8,51.4,613,49.3,27,2.2,100.0,48.6,375,59.8
104,1400000US11001002400,42.1,56.1,1397,49.0,190,6.7,100.0,43.9,827,55.2
105,1400000US11001002502,36.0,58.8,2351,54.8,169,3.9,100.0,41.2,1210,56.3
106,1400000US11001002600,61.0,58.7,1036,55.3,64,3.4,100.0,41.3,549,53.9
107,1400000US11001002701,33.4,70.9,3319,66.7,209,4.2,100.0,29.1,1594,65.5
108,1400000US11001002702,26.2,75.9,3737,71.5,222,4.2,100.0,24.1,1701,71.1
109,1400000US11001002802,16.2,63.2,2199,59.5,132,3.6,100.0,36.8,982,56.2
110,1400000US11001003000,28.8,61.7,970,51.0,203,10.7,100.0,38.3,627,63.1
111,1400000US11001003100,31.6,67.9,1243,55.3,283,12.6,100.0,32.1,699,61.3
112,1400000US11001003200,34.3,57.1,1643,48.1,295,8.6,100.0,42.9,996,54.4
113,1400000US11001003302,48.3,63.8,818,53.9,138,9.1,100.0,36.2,479,60.6
114,1400000US11001003400,17.4,46.7,1465,38.8,282,7.5,100.0,53.3,836,38.7
115,1400000US11001003500,19.1,52.1,1446,47.4,143,4.7,100.0,47.9,975,56.1
