OBJECTID,GEO.id,dec_moc,dec_foc,dec_mrc,dec_frc
1,1400000US11001007407,7,30,29,138
2,1400000US11001007409,0,35,30,471
3,1400000US11001007502,9,55,48,371
4,1400000US11001007503,0,27,0,216
5,1400000US11001007504,0,53,41,274
6,1400000US11001007603,8,67,18,211
7,1400000US11001007604,0,30,36,208
8,1400000US11001007605,5,26,56,219
9,1400000US11001007707,0,54,23,228
10,1400000US11001007708,0,28,58,283
11,1400000US11001007709,10,22,0,96
12,1400000US11001007803,0,55,18,125
13,1400000US11001007804,17,48,18,208
14,1400000US11001007807,0,45,20,89
15,1400000US11001007808,0,40,22,330
16,1400000US11001007809,14,56,0,98
17,1400000US11001007903,7,23,8,66
18,1400000US11001008001,14,50,12,68
19,1400000US11001008002,0,23,11,63
20,1400000US11001008200,5,12,0,0
21,1400000US11001008301,11,44,0,0
22,1400000US11001008402,0,23,5,68
23,1400000US11001008410,6,20,6,31
24,1400000US11001008701,4,33,9,92
25,1400000US11001008802,9,78,22,88
26,1400000US11001008803,0,10,19,108
27,1400000US11001008804,7,30,28,195
28,1400000US11001008903,5,62,28,114
29,1400000US11001009000,19,34,0,41
30,1400000US11001009102,0,34,25,241
31,1400000US11001009201,0,33,0,101
32,1400000US11001009204,0,11,0,212
33,1400000US11001000100,0,26,0,10
34,1400000US11001000201,0,0,0,0
35,1400000US11001000400,0,0,0,0
36,1400000US11001000702,0,21,9,48
37,1400000US11001001002,8,21,0,35
38,1400000US11001001401,6,13,0,21
39,1400000US11001001702,24,41,6,31
40,1400000US11001002201,11,63,7,29
41,1400000US11001002501,11,25,0,13
42,1400000US11001002801,18,19,45,173
43,1400000US11001002900,0,61,44,97
44,1400000US11001003301,15,19,0,77
45,1400000US11001003600,0,28,9,227
46,1400000US11001004002,3,16,10,24
47,1400000US11001004202,0,0,4,0
48,,,,,
49,1400000US11001004901,10,8,40,102
50,1400000US11001005600,0,0,0,14
51,1400000US11001006400,0,10,10,223
52,1400000US11001006801,9,26,10,39
53,1400000US11001007100,0,31,16,285
54,1400000US11001007403,16,8,13,233
55,1400000US11001007408,0,8,24,280
56,1400000US11001007601,5,106,13,168
57,1400000US11001007703,0,51,18,473
58,1400000US11001007806,11,17,7,77
59,1400000US11001007901,9,81,17,264
60,1400000US11001008302,0,6,0,8
61,1400000US11001008702,0,27,6,83
62,1400000US11001008904,0,15,38,288
63,1400000US11001009203,10,40,11,70
64,1400000US11001009302,20,17,0,18
65,1400000US11001009504,6,66,12,83
66,1400000US11001009509,0,53,0,21
67,1400000US11001009602,0,22,28,409
68,1400000US11001009603,16,24,23,200
69,1400000US11001009604,9,50,6,40
70,1400000US11001009700,10,36,29,214
71,1400000US11001009802,6,24,15,161
72,1400000US11001009807,13,37,7,135
73,1400000US11001009904,0,10,48,131
74,1400000US11001009906,8,19,5,162
75,,,,,
76,,,,,
77,1400000US11001000202,9,5,0,7
78,1400000US11001000300,0,32,10,10
79,1400000US11001000501,6,5,0,0
80,1400000US11001000502,19,25,0,0
81,1400000US11001000600,0,38,0,18
82,1400000US11001000701,0,17,0,0
83,1400000US11001000802,0,10,13,15
84,1400000US11001000901,12,20,7,6
85,1400000US11001000902,0,15,5,0
86,1400000US11001001001,27,50,11,0
87,1400000US11001001100,0,30,0,0
88,1400000US11001001200,17,47,7,31
89,1400000US11001001301,8,0,9,0
90,1400000US11001001302,0,0,0,21
91,1400000US11001001402,0,26,0,7
92,1400000US11001001500,18,79,10,0
93,1400000US11001001600,41,68,8,15
94,1400000US11001001803,5,8,55,111
95,1400000US11001001804,6,54,65,114
96,1400000US11001001901,26,44,0,61
97,1400000US11001002001,0,11,18,48
98,1400000US11001002002,13,48,13,33
99,1400000US11001002101,29,63,41,121
100,1400000US11001002102,0,102,33,89
101,1400000US11001002202,4,27,27,122
102,1400000US11001002301,0,59,0,22
103,1400000US11001002302,0,0,15,33
104,1400000US11001002400,36,30,6,65
105,1400000US11001002502,35,77,24,148
106,1400000US11001002600,0,11,7,0
107,1400000US11001002701,0,17,103,92
108,1400000US11001002702,14,47,37,67
109,1400000US11001002802,10,13,49,160
110,1400000US11001003000,0,14,16,216
111,1400000US11001003100,10,26,7,59
112,1400000US11001003200,12,74,10,195
113,1400000US11001003302,17,15,6,47
114,1400000US11001003400,0,8,13,126
115,1400000US11001003500,0,12,11,63
116,1400000US11001003700,7,23,28,293
117,1400000US11001003800,0,7,23,99
118,1400000US11001003900,0,8,12,27
119,1400000US11001004001,0,5,0,11
120,1400000US11001004100,6,7,7,0
121,1400000US11001004201,7,10,6,29
122,1400000US11001004300,4,15,19,95
123,1400000US11001004400,6,36,35,60
124,1400000US11001004600,12,43,23,140
125,,,,,
126,1400000US11001004801,0,20,23,39
127,1400000US11001004802,0,39,9,250
128,1400000US11001004902,0,0,29,106
129,,,,,
130,,,,,
131,1400000US11001005201,0,0,10,104
132,1400000US11001005301,0,14,7,39
133,1400000US11001005500,0,0,8,9
134,1400000US11001005800,0,9,21,8
135,1400000US11001005900,0,0,0,24
136,1400000US11001006202,0,0,0,0
137,1400000US11001006500,14,8,0,14
138,1400000US11001006600,0,7,0,6
139,1400000US11001006700,6,22,0,16
140,1400000US11001006802,9,30,19,27
141,1400000US11001006804,0,0,0,0
142,1400000US11001006900,0,31,9,30
143,1400000US11001007000,6,15,0,29
144,1400000US11001007200,0,0,0,204
145,1400000US11001007301,0,7,22,112
146,1400000US11001007304,0,38,54,497
147,1400000US11001007401,0,6,29,402
148,1400000US11001007404,0,6,19,435
149,1400000US11001007406,0,0,28,480
150,1400000US11001009301,10,57,7,18
151,1400000US11001009400,16,80,0,61
152,1400000US11001009501,8,21,41,152
153,1400000US11001009503,8,42,8,8
154,1400000US11001009505,19,45,7,7
155,1400000US11001009507,15,12,7,0
156,1400000US11001009508,0,46,14,46
157,1400000US11001009601,0,28,24,187
158,1400000US11001009801,0,25,18,282
159,1400000US11001009803,12,23,9,208
160,1400000US11001009804,6,64,13,192
161,,,,,
162,,,,,
163,1400000US11001009901,11,42,5,20
164,1400000US11001009902,5,62,0,38
165,1400000US11001009903,7,20,8,149
166,1400000US11001009905,8,56,34,144
167,1400000US11001009907,9,74,7,265
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,1400000US11001001902,0,49,12,7
178,1400000US11001008100,6,0,13,18
179,1400000US11001000801,0,54,0,33
180,1400000US51059415100,7,38,22,10
181,,,,,
