OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
1,1400000US11001007407,0,0,0,0,0,0,0,0,6,16,97,55,48,54,13,18,0,0,0,7,0,0,0,0
2,1400000US11001007409,0,0,0,0,0,0,0,0,21,0,22,49,43,23,23,15,0,0,0,0,0,0,0,0
3,1400000US11001007502,0,0,0,0,0,0,0,0,0,18,4,33,12,35,77,22,11,0,0,0,0,0,0,0
4,1400000US11001007503,6,0,0,0,0,0,0,0,0,52,21,27,30,91,21,15,0,0,0,0,0,8,0,0
5,1400000US11001007504,0,0,0,0,0,0,0,0,0,33,7,18,33,16,10,9,0,0,0,0,0,0,0,0
6,1400000US11001007603,0,0,0,0,0,0,0,18,10,8,16,41,8,12,125,86,175,56,86,10,0,0,0,7
7,1400000US11001007604,0,0,0,0,0,0,0,0,0,0,0,51,36,64,96,128,128,61,47,0,0,0,0,6
8,1400000US11001007605,0,0,0,0,0,0,0,0,0,0,0,38,83,133,79,0,0,6,0,5,0,0,0,0
9,1400000US11001007707,0,0,0,0,0,0,0,0,8,0,18,135,227,267,127,45,12,18,0,0,0,0,0,6
10,1400000US11001007708,0,0,0,0,0,0,0,0,0,13,13,22,37,41,33,0,0,0,0,0,0,0,0,0
11,1400000US11001007709,0,0,0,0,0,0,0,0,12,6,0,19,36,79,43,14,12,0,0,0,0,0,0,13
12,1400000US11001007803,0,0,0,0,0,0,0,11,0,46,60,99,112,148,105,17,20,0,0,0,0,0,0,0
13,1400000US11001007804,0,0,0,0,7,0,0,0,27,15,51,95,87,72,83,16,6,0,0,0,0,0,7,0
14,1400000US11001007807,5,0,0,0,0,0,0,0,0,18,46,60,0,100,47,19,0,0,8,0,8,0,0,0
15,1400000US11001007808,0,0,0,0,0,0,0,0,0,25,94,165,50,72,76,14,8,0,0,0,0,0,0,0
16,1400000US11001007809,0,0,0,0,0,0,12,6,23,92,165,97,80,89,39,19,0,12,0,0,0,0,0,0
17,1400000US11001007903,0,0,0,0,0,0,0,0,0,0,8,44,170,146,34,0,0,0,7,0,0,0,0,0
18,1400000US11001008001,0,0,0,0,0,0,0,18,0,7,21,38,65,152,126,87,83,55,43,9,0,8,0,0
19,1400000US11001008002,0,0,0,0,0,0,0,0,0,0,12,13,44,96,143,89,23,69,46,50,25,0,0,0
20,1400000US11001008200,0,0,0,0,0,0,0,6,0,0,7,0,0,0,4,6,6,74,75,109,40,38,0,15
21,1400000US11001008301,0,0,0,0,0,0,0,0,6,0,0,0,0,23,33,34,38,148,78,61,21,0,0,0
22,1400000US11001008402,0,0,0,0,0,0,6,0,0,0,6,0,21,62,85,54,64,7,13,0,0,0,0,0
23,1400000US11001008410,0,0,0,0,0,0,0,0,0,46,7,35,51,114,28,43,34,0,0,0,0,0,0,0
24,1400000US11001008701,0,0,0,0,0,0,0,0,20,0,14,36,51,186,32,69,17,0,7,0,0,0,0,0
25,1400000US11001008802,0,0,0,0,0,0,0,0,21,7,60,156,140,165,85,21,24,11,0,0,0,0,0,0
26,1400000US11001008803,0,0,0,0,0,0,0,0,7,6,0,7,12,0,6,0,0,0,0,0,0,0,0,0
27,1400000US11001008804,0,0,0,0,0,0,0,7,0,15,32,72,43,24,8,0,0,0,0,0,0,0,0,0
28,1400000US11001008903,0,0,0,0,0,0,0,0,0,36,78,88,40,61,0,0,0,0,0,0,0,0,0,0
29,1400000US11001009000,0,0,0,0,0,0,0,0,10,0,0,33,40,105,150,40,0,0,0,0,0,0,0,0
30,1400000US11001009102,0,0,0,0,0,0,0,0,0,6,13,133,124,109,23,80,58,46,0,0,0,0,0,0
31,1400000US11001009201,0,0,0,0,0,0,0,0,0,8,0,50,0,35,25,14,0,0,0,0,0,0,0,0
32,1400000US11001009204,0,0,0,0,0,0,0,0,0,7,0,14,9,83,7,0,0,0,0,0,0,0,0,0
33,1400000US11001000100,0,0,0,0,0,0,0,0,0,0,5,6,0,8,14,0,6,14,37,107,211,306,0,152
34,1400000US11001000201,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0
35,1400000US11001000400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,120,0,77
36,1400000US11001000702,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0
37,1400000US11001001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,6,0,0,25,0,0
38,1400000US11001001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,282,204,143,0,0
39,1400000US11001001702,0,0,0,0,0,0,13,0,0,0,0,8,16,144,90,128,88,49,43,38,9,0,0,0
40,1400000US11001002201,0,0,6,0,8,0,0,0,9,0,0,10,80,342,255,117,33,0,0,0,0,0,8,5
41,1400000US11001002501,0,0,0,0,0,0,0,0,6,0,0,6,7,40,75,139,112,104,36,5,6,0,0,0
42,1400000US11001002801,0,0,10,0,0,0,0,0,0,0,19,7,13,46,16,52,7,32,7,0,0,0,0,0
43,1400000US11001002900,0,0,0,0,0,0,6,0,0,5,19,0,21,134,119,97,50,35,5,42,0,0,0,0
44,1400000US11001003301,0,0,0,0,0,0,0,0,0,7,6,19,0,94,147,122,33,49,34,7,5,0,0,0
45,1400000US11001003600,0,0,0,0,0,0,0,0,0,0,0,0,16,41,32,38,33,16,24,27,0,6,0,0
46,1400000US11001004002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0,17,17,19,0,6
47,1400000US11001004202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,26,18,14,47,0,6
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,1400000US11001004901,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0
50,1400000US11001005600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,22,62,26,11,0,0
51,1400000US11001006400,0,0,0,0,0,0,0,0,0,24,14,10,0,67,18,0,0,0,8,0,0,0,0,0
52,1400000US11001006801,0,0,0,0,0,0,0,0,0,0,9,7,89,115,94,40,33,27,0,15,0,0,0,7
53,1400000US11001007100,0,0,0,0,0,0,0,0,0,0,0,23,26,76,106,3,15,0,7,0,0,0,0,0
54,1400000US11001007403,0,0,0,0,6,0,0,6,6,31,23,6,0,16,6,0,0,0,0,0,0,0,6,0
55,1400000US11001007408,0,0,0,0,0,0,0,0,10,0,15,3,8,29,22,0,0,0,0,0,0,0,0,0
56,1400000US11001007601,0,0,0,0,0,0,0,6,9,7,63,87,158,202,109,92,0,7,0,0,0,6,0,0
57,1400000US11001007703,0,0,0,0,0,0,0,0,9,0,34,67,123,97,7,6,0,0,0,0,0,0,0,0
58,1400000US11001007806,7,0,0,0,0,5,18,0,7,32,60,44,68,71,74,0,0,0,0,0,0,0,0,0
59,1400000US11001007901,0,0,0,0,0,0,0,16,12,10,10,53,112,76,100,54,18,0,7,5,0,0,0,0
60,1400000US11001008302,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,35,71,79,87,66,7,7,0,0
61,1400000US11001008702,0,0,0,0,0,0,0,0,0,0,15,15,30,117,25,32,0,12,0,0,0,0,0,6
62,1400000US11001008904,0,7,0,0,0,0,0,0,9,5,7,9,32,70,27,0,0,10,0,0,0,0,0,0
63,1400000US11001009203,12,0,0,0,0,0,0,10,0,0,14,115,100,137,51,68,14,25,8,0,0,0,0,0
64,1400000US11001009302,0,6,0,0,0,0,0,0,0,0,24,27,28,53,101,60,10,0,7,0,0,4,0,0
65,1400000US11001009504,0,0,0,0,0,0,0,0,0,0,0,16,36,111,203,151,83,24,0,0,0,0,0,0
66,1400000US11001009509,0,0,0,0,8,0,0,5,0,14,40,24,119,326,441,94,7,6,6,0,0,0,8,0
67,1400000US11001009602,0,0,0,0,0,0,0,0,0,0,7,8,0,24,28,21,0,0,0,0,0,0,0,0
68,1400000US11001009603,0,0,0,0,0,0,0,0,0,0,25,66,135,123,38,25,0,0,0,0,0,0,0,0
69,1400000US11001009604,0,0,0,0,0,0,0,0,0,18,69,196,192,83,31,7,6,4,7,0,0,0,0,0
70,1400000US11001009700,0,0,0,0,0,0,8,0,0,0,5,62,102,83,38,30,0,0,0,0,0,0,0,0
71,1400000US11001009802,0,0,0,0,0,6,0,0,0,6,0,98,32,11,0,0,0,0,0,0,0,0,0,0
72,1400000US11001009807,0,0,0,0,0,0,0,0,0,0,50,68,106,133,90,13,5,0,0,0,0,0,0,0
73,1400000US11001009904,0,0,0,0,0,0,0,0,8,7,12,0,0,12,19,0,0,0,0,8,0,0,0,0
74,1400000US11001009906,0,0,0,0,8,0,0,0,0,23,20,53,13,22,24,17,0,0,0,0,0,0,8,0
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,1400000US11001000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,30,62,73,110,327,0,79
78,1400000US11001000300,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,0,170,250,322,63,149,0,35
79,1400000US11001000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,55,20,0,0
80,1400000US11001000502,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,153,193,0,29
81,1400000US11001000600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,189,190,235,0,97
82,1400000US11001000701,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,59,85,59,0,6
83,1400000US11001000802,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,0,18,51,170,122,162,0,41
84,1400000US11001000901,0,0,0,0,7,0,0,0,0,0,0,0,0,7,6,0,0,0,31,118,127,447,7,260
85,1400000US11001000902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,66,160,106,113,0,35
86,1400000US11001001001,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,23,16,88,182,791,539,219,0,9
87,1400000US11001001100,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,21,8,56,145,314,216,293,0,16
88,1400000US11001001200,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,10,0,134,321,251,119,0,8
89,1400000US11001001301,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,8,0,101,24,172,0,80
90,1400000US11001001302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,23,21,14,0,57
91,1400000US11001001402,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,44,141,299,166,39,0,6
92,1400000US11001001500,0,0,0,0,0,0,0,0,0,0,0,0,16,4,25,25,10,9,107,666,639,287,0,14
93,1400000US11001001600,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,16,171,327,493,128,102,0,9
94,1400000US11001001803,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,20,38,50,22,22,14,0,0,0
