OBJECTID,GEO.id,dec_mi
1,1400000US11001007407,33125
2,1400000US11001007409,16849
3,1400000US11001007502,19950
4,1400000US11001007503,21402
5,1400000US11001007504,22755
6,1400000US11001007603,32837
7,1400000US11001007604,35811
8,1400000US11001007605,32500
9,1400000US11001007707,33592
10,1400000US11001007708,25382
11,1400000US11001007709,29332
12,1400000US11001007803,27295
13,1400000US11001007804,21130
14,1400000US11001007807,34050
15,1400000US11001007808,24267
16,1400000US11001007809,28719
17,1400000US11001007903,36280
18,1400000US11001008001,41949
19,1400000US11001008002,50025
20,1400000US11001008200,58274
21,1400000US11001008301,66550
22,1400000US11001008402,31484
23,1400000US11001008410,43333
24,1400000US11001008701,40234
25,1400000US11001008802,28462
26,1400000US11001008803,17857
27,1400000US11001008804,24489
28,1400000US11001008903,29698
29,1400000US11001009000,22610
30,1400000US11001009102,27713
31,1400000US11001009201,30268
32,1400000US11001009204,22063
33,1400000US11001000100,92540
34,1400000US11001000201,87904
35,1400000US11001000400,129133
36,1400000US11001000702,37244
37,1400000US11001001002,49647
38,1400000US11001001401,87823
39,1400000US11001001702,52393
40,1400000US11001002201,44388
41,1400000US11001002501,51510
42,1400000US11001002801,25038
43,1400000US11001002900,29602
44,1400000US11001003301,39107
45,1400000US11001003600,22485
46,1400000US11001004002,54260
47,1400000US11001004202,47745
48,,
49,1400000US11001004901,18950
50,1400000US11001005600,39286
51,1400000US11001006400,13264
52,1400000US11001006801,30662
53,1400000US11001007100,25022
54,1400000US11001007403,29095
55,1400000US11001007408,19570
56,1400000US11001007601,32930
57,1400000US11001007703,25240
58,1400000US11001007806,31921
59,1400000US11001007901,24327
60,1400000US11001008302,67868
61,1400000US11001008702,29961
62,1400000US11001008904,21540
63,1400000US11001009203,31419
64,1400000US11001009302,41875
65,1400000US11001009504,43211
66,1400000US11001009509,53883
67,1400000US11001009602,21746
68,1400000US11001009603,31898
69,1400000US11001009604,32672
70,1400000US11001009700,33086
71,1400000US11001009802,25871
72,1400000US11001009807,30076
73,1400000US11001009904,26745
74,1400000US11001009906,24457
75,,
76,,
77,1400000US11001000202,90653
78,1400000US11001000300,73558
79,1400000US11001000501,65521
80,1400000US11001000502,66815
81,1400000US11001000600,89507
82,1400000US11001000701,53470
83,1400000US11001000802,76919
84,1400000US11001000901,160829
85,1400000US11001000902,119932
86,1400000US11001001001,109770
87,1400000US11001001100,103184
88,1400000US11001001200,77753
89,1400000US11001001301,68417
90,1400000US11001001302,58790
91,1400000US11001001402,84105
92,1400000US11001001500,107917
93,1400000US11001001600,94624
94,1400000US11001001803,34565
95,1400000US11001001804,33520
96,1400000US11001001901,47339
97,1400000US11001002001,32853
98,1400000US11001002002,47619
99,1400000US11001002101,34375
100,1400000US11001002102,36489
101,1400000US11001002202,37073
102,1400000US11001002301,44069
103,1400000US11001002302,49519
104,1400000US11001002400,37304
105,1400000US11001002502,32688
106,1400000US11001002600,85180
107,1400000US11001002701,35147
108,1400000US11001002702,45428
109,1400000US11001002802,22736
110,1400000US11001003000,25539
111,1400000US11001003100,36175
112,1400000US11001003200,31662
113,1400000US11001003302,45938
114,1400000US11001003400,18452
115,1400000US11001003500,18940
116,1400000US11001003700,26223
117,1400000US11001003800,37889
118,1400000US11001003900,42532
119,1400000US11001004001,59008
120,1400000US11001004100,88170
121,1400000US11001004201,53500
122,1400000US11001004300,39841
123,1400000US11001004400,42500
124,1400000US11001004600,33142
125,,
126,1400000US11001004801,24388
127,1400000US11001004802,27559
128,1400000US11001004902,30647
129,,
130,,
131,1400000US11001005201,35561
132,1400000US11001005301,50510
133,1400000US11001005500,59609
134,1400000US11001005800,40644
135,1400000US11001005900,21020
136,1400000US11001006202,0
137,1400000US11001006500,61903
138,1400000US11001006600,75761
139,1400000US11001006700,76952
140,1400000US11001006802,39097
141,1400000US11001006804,31000
142,1400000US11001006900,51438
143,1400000US11001007000,67109
144,1400000US11001007200,8089
145,1400000US11001007301,49122
146,1400000US11001007304,22550
147,1400000US11001007401,14083
148,1400000US11001007404,9353
149,1400000US11001007406,15877
150,1400000US11001009301,51125
151,1400000US11001009400,53558
152,1400000US11001009501,28605
153,1400000US11001009503,61667
154,1400000US11001009505,46023
155,1400000US11001009507,41359
156,1400000US11001009508,41972
157,1400000US11001009601,32571
158,1400000US11001009801,16250
159,1400000US11001009803,23292
160,1400000US11001009804,22539
161,,
162,,
163,1400000US11001009901,61174
164,1400000US11001009902,41146
165,1400000US11001009903,19143
166,1400000US11001009905,25778
167,1400000US11001009907,20176
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,1400000US11001001902,54934
178,1400000US11001008100,62742
179,1400000US11001000801,80266
180,1400000US51059415100,79301
181,,
182,1400000US51059416000,61628
183,1400000US51059420100,72183
184,1400000US51059420800,76585
185,1400000US51059421200,98259
186,1400000US51059421600,45382
187,1400000US51059421800,44423
188,,
189,,
190,,
191,1400000US51059430500,84356
192,,
193,,
194,1400000US51059431900,115123
195,1400000US51059432300,106613
196,,
197,1400000US51059440600,76162
198,1400000US51059450200,70806
199,1400000US51059450500,64038
200,,
201,1400000US51059451300,102705
202,1400000US51059451900,66054
203,,
204,,
205,,
206,1400000US51059460200,137545
207,1400000US51059460300,121470
208,1400000US51059460600,83752
209,1400000US51059461000,86034
210,,
211,,
212,1400000US51059470600,103421
213,1400000US51059471000,87828
214,,
215,,
216,,
217,,
218,1400000US51059481000,69464
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,1400000US51013100100,92851
232,1400000US51013100400,131419
233,1400000US51013100800,54417
234,,
235,,
236,,
237,1400000US51013101900,90968
238,,
239,,
240,,
241,1400000US51013103402,71210
242,,
243,1400000US51510200103,45772
244,,
245,1400000US51510200301,52500
246,,
247,1400000US51510200500,39882
248,1400000US51510200600,55926
249,,
250,,
251,1400000US51510200900,105129
252,1400000US51510201204,40878
253,1400000US51510201600,60806
254,1400000US51510202001,130899
255,,
256,1400000US51610500300,78159
257,1400000US51059415200,56795
258,1400000US51059415300,62299
259,,
260,1400000US51059415500,65917
261,1400000US51059415600,109410
262,1400000US51059415700,99786
263,1400000US51059415800,107723
264,1400000US51059415900,105796
265,1400000US51059416100,111205
266,1400000US51059416200,46675
267,1400000US51059416300,89595
268,,
269,,
270,,
271,1400000US51059420300,81852
272,,
273,,
274,,
275,1400000US51059420600,52384
276,1400000US51059420700,78771
277,,
278,,
279,,
280,,
281,,
282,1400000US51059421300,88933
283,1400000US51059421400,43970
284,1400000US51059421500,34055
285,,
286,,
287,1400000US51059421900,33266
288,1400000US51059422000,56552
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,1400000US51059430400,90056
301,1400000US51059430600,64934
302,1400000US51059430700,70721
303,,
304,,
305,,
306,,
307,,
308,1400000US51059431300,91053
309,1400000US51059431400,90614
310,1400000US51059431500,102732
311,1400000US51059431600,71907
312,,
313,1400000US51059432000,81152
314,1400000US51059432100,75724
315,,
316,,
317,,
318,,
319,1400000US51059432500,108982
320,1400000US51059432600,100544
321,,
322,1400000US51059432800,72847
323,1400000US51059440100,88367
324,,
325,,
326,1400000US51059440300,117690
327,,
328,,
329,,
330,,
331,1400000US51059440800,98019
332,1400000US51059450100,63699
333,1400000US51059450300,65705
334,1400000US51059450400,82288
335,,
336,,
337,,
338,1400000US51059450800,83611
339,1400000US51059450900,86192
340,1400000US51059451000,79272
341,1400000US51059451100,104150
342,1400000US51059451200,130247
343,1400000US51059451400,39896
344,,
345,,
346,,
347,,
348,1400000US51059451800,86180
349,1400000US51059452000,86601
350,,
351,1400000US51059452200,60000
352,,
353,,
354,1400000US51059452400,65343
355,,
356,1400000US51059452600,64156
357,1400000US51059452700,49183
358,,
359,1400000US51059460100,133839
360,1400000US51059460400,90000
361,,
362,,
363,,
364,,
365,1400000US51059460800,83124
366,1400000US51059460900,112411
367,1400000US51059461100,107037
368,,
369,,
370,1400000US51059461500,114913
371,,
372,1400000US51059461700,72774
373,,
374,,
375,,
376,1400000US51059470100,"200,000+"
377,1400000US51059470300,163311
378,1400000US51059470400,140558
379,1400000US51059470500,115251
380,1400000US51059470700,107735
381,1400000US51059470800,108898
382,1400000US51059470900,99100
383,1400000US51059471100,64628
384,,
385,,
386,,
387,,
388,,
389,,
390,1400000US51059480100,167568
391,,
392,,
393,1400000US51059480300,156614
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,1400000US51059481400,84722
412,1400000US51059481500,131935
413,1400000US51059481600,148805
414,,
415,1400000US51059481900,76261
416,,
417,1400000US51059482100,73657
418,,
419,,
420,,
421,,
422,,
423,1400000US51059482400,145272
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,1400000US51059491000,139034
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,1400000US51059492000,149613
453,1400000US51059492100,136000
454,,
455,,
456,1400000US51059492300,83322
457,1400000US51059492400,65563
458,,
459,,
460,,
461,1400000US51013100200,104633
462,1400000US51013100300,130240
463,1400000US51013100500,115529
464,1400000US51013100600,77186
465,1400000US51013100700,76312
466,1400000US51013100900,72656
467,1400000US51013101000,85795
468,1400000US51013101100,101673
469,1400000US51013101200,77934
470,1400000US51013101300,86734
471,,
472,,
473,,
474,1400000US51013101500,59754
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,1400000US51013102100,67167
486,1400000US51013102200,40370
487,,
488,1400000US51013102400,59444
489,1400000US51013102500,51118
490,1400000US51013102600,65128
491,,
492,,
493,,
494,,
495,1400000US51013103000,74222
496,1400000US51013103100,43851
497,1400000US51013103200,47188
498,1400000US51013103300,47000
499,1400000US51013103401,52292
500,,
501,,
502,,
503,,
504,1400000US51013103700,118307
505,1400000US51013103800,48192
506,,
507,,
508,,
