OBJECTID,GEO.id,dec_bpl,dec_bplp,dec_bplm,dec_bplf,dec_bplmp,dec_bplfp
1,1400000US11001007407,589,24.4,30,37,22.4,19.1
2,1400000US11001007409,1423,41.5,96,113,29.4,36.9
3,1400000US11001007502,1771,44.8,182,194,48.9,37.2
4,1400000US11001007503,1014,37.6,81,72,31.2,33.8
5,1400000US11001007504,816,37.9,126,99,41.4,47.8
6,1400000US11001007603,675,16.2,92,142,18.9,21.1
7,1400000US11001007604,549,14.6,35,98,7.6,17.2
8,1400000US11001007605,623,16.9,180,75,28.1,13.2
9,1400000US11001007707,746,19.9,78,78,27.7,22.7
10,1400000US11001007708,640,24.2,68,66,17.8,26.2
11,1400000US11001007709,295,14.7,84,74,25.5,26.0
12,1400000US11001007803,780,25.3,98,124,24.9,34.5
13,1400000US11001007804,1257,40.6,61,110,24.8,39.1
14,1400000US11001007807,313,16.1,63,61,31.8,38.6
15,1400000US11001007808,1459,36.0,108,105,44.6,34.2
16,1400000US11001007809,577,22.5,202,128,55.2,35.5
17,1400000US11001007903,349,19.0,87,71,36.3,24.5
18,1400000US11001008001,464,17.7,104,63,22.2,24.3
19,1400000US11001008002,406,13.1,146,84,20.4,14.4
20,1400000US11001008200,84,3.3,52,19,6.3,2.1
21,1400000US11001008301,219,9.5,68,44,9.9,9.5
22,1400000US11001008402,539,24.6,89,198,23.1,35.7
23,1400000US11001008410,262,19.3,14,5,9.7,3.4
24,1400000US11001008701,467,19.1,128,62,44.6,27.8
25,1400000US11001008802,1153,28.7,105,171,26.3,35.0
26,1400000US11001008803,495,44.4,81,50,43.8,32.5
27,1400000US11001008804,670,28.7,175,112,35.1,36.5
28,1400000US11001008903,555,23.2,121,97,38.5,30.9
29,1400000US11001009000,569,24.2,167,273,42.3,38.4
30,1400000US11001009102,1191,28.5,95,169,26.2,32.2
31,1400000US11001009201,259,24.2,53,50,42.7,32.5
32,1400000US11001009204,695,28.8,88,115,23.3,30.3
33,1400000US11001000100,243,5.2,84,106,8.1,7.9
34,1400000US11001000201,143,71.1,0,143,0.0,79.9
35,1400000US11001000400,45,3.0,5,40,2.0,14.7
36,1400000US11001000702,622,19.0,201,278,26.1,19.2
37,1400000US11001001002,626,18.1,203,327,21.7,25.8
38,1400000US11001001401,107,3.4,10,81,3.3,13.4
39,1400000US11001001702,94,4.3,34,60,12.6,19.3
40,1400000US11001002201,472,13.5,91,83,34.0,28.4
41,1400000US11001002501,309,13.0,112,104,34.8,36.4
42,1400000US11001002801,1075,29.8,138,199,28.0,45.1
43,1400000US11001002900,815,19.6,164,157,25.0,34.5
44,1400000US11001003301,614,23.3,109,136,19.7,39.8
45,1400000US11001003600,1092,27.9,350,303,36.0,45.5
46,1400000US11001004002,152,5.1,77,67,7.3,8.2
47,1400000US11001004202,230,7.9,121,89,10.0,9.9
48,,,,,,,
49,1400000US11001004901,682,35.3,91,135,25.2,42.2
50,1400000US11001005600,1192,24.6,365,780,24.6,37.4
51,1400000US11001006400,914,42.5,97,192,36.3,61.9
52,1400000US11001006801,497,24.4,83,84,26.9,38.0
53,1400000US11001007100,1180,42.5,72,121,19.4,29.7
54,1400000US11001007403,639,28.1,66,94,42.6,31.8
55,1400000US11001007408,1116,52.0,82,75,42.5,44.1
56,1400000US11001007601,955,21.0,154,185,28.9,31.5
57,1400000US11001007703,1486,32.3,48,119,12.4,24.7
58,1400000US11001007806,371,17.7,59,73,23.0,27.4
59,1400000US11001007901,1159,31.9,153,159,40.2,43.1
60,1400000US11001008302,82,4.7,22,17,5.0,5.0
61,1400000US11001008702,479,25.9,108,120,42.5,53.8
62,1400000US11001008904,1150,36.5,112,168,25.2,41.8
63,1400000US11001009203,692,24.6,93,82,23.0,23.6
64,1400000US11001009302,157,12.1,15,8,15.3,7.5
65,1400000US11001009504,424,13.1,145,100,27.9,20.2
66,1400000US11001009509,166,5.7,31,6,19.7,1.8
67,1400000US11001009602,1001,32.6,108,145,40.8,43.0
68,1400000US11001009603,654,20.5,91,152,22.4,25.9
69,1400000US11001009604,302,15.1,55,65,26.2,22.9
70,1400000US11001009700,490,21.3,34,38,24.1,19.6
71,1400000US11001009802,730,40.9,89,27,58.9,31.4
72,1400000US11001009807,594,19.1,58,87,19.0,19.0
73,1400000US11001009904,546,30.5,36,123,15.2,51.0
74,1400000US11001009906,482,31.8,70,70,48.6,39.1
75,,,,,,,
76,,,,,,,
77,1400000US11001000202,944,24.5,325,582,33.1,48.3
78,1400000US11001000300,898,15.6,350,371,21.3,21.0
79,1400000US11001000501,156,6.0,61,95,8.4,9.1
80,1400000US11001000502,133,4.3,72,45,11.8,5.5
81,1400000US11001000600,206,4.8,56,137,8.3,12.5
82,1400000US11001000701,253,5.8,82,142,9.9,8.7
83,1400000US11001000802,377,13.4,125,196,20.1,28.9
84,1400000US11001000901,174,4.4,81,66,28.8,14.0
85,1400000US11001000902,62,3.2,37,10,21.3,4.6
86,1400000US11001001001,278,4.6,105,136,13.9,13.1
87,1400000US11001001100,86,2.0,44,27,9.2,3.7
88,1400000US11001001200,349,7.2,97,153,10.4,11.4
89,1400000US11001001301,300,8.1,75,116,10.9,13.1
90,1400000US11001001302,270,4.3,57,158,3.7,6.1
91,1400000US11001001402,352,13.0,146,176,35.6,30.3
92,1400000US11001001500,88,1.6,60,28,14.9,5.2
93,1400000US11001001600,197,4.9,81,58,21.5,16.3
94,1400000US11001001803,359,11.7,102,96,26.5,17.1
95,1400000US11001001804,715,17.2,121,109,25.2,19.3
96,1400000US11001001901,453,11.5,35,66,16.7,17.1
97,1400000US11001002001,428,17.4,115,139,25.0,33.1
98,1400000US11001002002,354,9.6,96,109,24.6,24.3
99,1400000US11001002101,1008,19.6,110,158,20.5,26.3
100,1400000US11001002102,419,9.1,66,91,14.9,14.7
101,1400000US11001002202,458,15.3,73,64,20.7,16.2
102,1400000US11001002301,548,18.4,37,96,16.9,26.7
103,1400000US11001002302,271,23.9,117,117,39.1,32.1
104,1400000US11001002400,540,15.1,67,89,21.6,25.9
105,1400000US11001002502,1047,19.2,216,166,28.1,25.8
106,1400000US11001002600,186,8.5,55,72,21.2,20.8
107,1400000US11001002701,931,16.7,154,245,12.1,19.9
108,1400000US11001002702,1122,18.5,375,321,23.9,28.5
109,1400000US11001002802,1505,33.0,198,346,25.4,46.5
110,1400000US11001003000,1035,37.7,162,90,37.2,32.1
111,1400000US11001003100,397,14.2,49,49,17.9,14.5
112,1400000US11001003200,1151,25.7,162,100,30.2,25.5
113,1400000US11001003302,283,15.1,93,43,32.2,19.8
114,1400000US11001003400,969,40.2,181,157,39.8,40.1
115,1400000US11001003500,699,35.9,141,150,40.5,51.5
116,1400000US11001003700,1506,34.1,320,287,33.4,40.4
117,1400000US11001003800,993,21.4,205,168,15.6,17.5
118,1400000US11001003900,389,8.4,188,150,12.1,11.2
119,1400000US11001004001,174,5.2,61,113,5.3,9.9
120,1400000US11001004100,92,3.6,55,23,9.0,3.1
121,1400000US11001004201,301,9.0,124,96,8.5,9.3
122,1400000US11001004300,678,19.8,186,126,17.2,16.8
123,1400000US11001004400,490,20.3,103,120,15.7,23.8
124,1400000US11001004600,720,24.2,177,79,34.2,27.5
125,,,,,,,
126,1400000US11001004801,538,29.9,158,142,36.6,42.4
127,1400000US11001004802,609,21.0,151,152,34.2,44.3
128,1400000US11001004902,415,18.6,163,73,33.1,25.8
129,,,,,,,
130,,,,,,,
131,1400000US11001005201,880,19.4,219,273,11.1,23.2
132,1400000US11001005301,438,8.7,166,218,7.7,12.0
133,1400000US11001005500,578,12.8,237,262,13.7,15.7
134,1400000US11001005800,446,31.4,84,112,19.8,41.9
135,1400000US11001005900,627,37.0,358,238,55.3,49.7
136,1400000US11001006202,0,(X),0,0,(X),(X)
137,1400000US11001006500,134,5.3,83,36,10.7,5.0
138,1400000US11001006600,91,5.2,69,18,16.1,3.7
139,1400000US11001006700,172,4.9,62,48,6.6,6.0
140,1400000US11001006802,469,23.1,142,136,30.7,39.5
141,1400000US11001006804,28,9.6,17,11,16.2,19.0
142,1400000US11001006900,339,18.8,97,46,20.3,15.2
143,1400000US11001007000,251,13.5,67,36,12.7,9.0
144,1400000US11001007200,1146,62.1,156,203,53.2,76.9
145,1400000US11001007301,118,2.5,0,11,0.0,52.4
146,1400000US11001007304,1946,43.8,56,80,22.2,35.4
147,1400000US11001007401,1729,57.7,34,54,26.0,32.3
148,1400000US11001007404,2098,63.4,160,70,72.1,40.0
149,1400000US11001007406,1619,51.7,20,79,17.4,58.5
150,1400000US11001009301,452,14.4,142,189,35.4,35.8
151,1400000US11001009400,329,7.9,60,140,19.0,23.1
152,1400000US11001009501,547,15.6,181,226,27.6,30.0
153,1400000US11001009503,211,7.0,131,31,47.3,9.5
154,1400000US11001009505,155,6.6,11,86,5.4,25.2
155,1400000US11001009507,208,13.4,27,29,19.9,12.9
156,1400000US11001009508,159,5.7,43,39,21.4,9.8
157,1400000US11001009601,673,28.4,68,22,44.4,13.1
158,1400000US11001009801,999,48.0,45,26,45.9,35.1
159,1400000US11001009803,782,34.9,75,61,25.5,21.4
160,1400000US11001009804,852,33.4,67,73,33.3,48.3
161,,,,,,,
162,,,,,,,
163,1400000US11001009901,151,6.6,16,57,10.7,21.7
164,1400000US11001009902,372,12.8,23,79,10.7,30.7
165,1400000US11001009903,922,42.6,115,89,51.6,33.8
166,1400000US11001009905,912,34.2,71,57,19.3,24.3
167,1400000US11001009907,1314,42.5,51,65,39.2,33.7
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
