OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
1,1400000US11001007407,0,0,0,886
2,1400000US11001007409,9,12,0,1285
3,1400000US11001007502,0,57,4,1494
4,1400000US11001007503,0,8,0,871
5,1400000US11001007504,0,32,5,716
6,1400000US11001007603,0,28,21,1995
7,1400000US11001007604,0,36,16,1654
8,1400000US11001007605,0,23,26,1557
9,1400000US11001007707,0,16,17,1412
10,1400000US11001007708,7,17,0,1091
11,1400000US11001007709,0,24,10,847
12,1400000US11001007803,0,33,10,1244
13,1400000US11001007804,0,19,0,1091
14,1400000US11001007807,0,14,6,670
15,1400000US11001007808,0,5,0,1315
16,1400000US11001007809,0,12,0,1090
17,1400000US11001007903,0,40,0,804
18,1400000US11001008001,23,16,9,1059
19,1400000US11001008002,31,21,0,1505
20,1400000US11001008200,10,40,0,1475
21,1400000US11001008301,17,85,23,964
22,1400000US11001008402,10,10,0,1080
23,1400000US11001008410,0,27,0,465
24,1400000US11001008701,11,13,3,793
25,1400000US11001008802,0,49,12,1470
26,1400000US11001008803,0,13,0,409
27,1400000US11001008804,0,41,0,1002
28,1400000US11001008903,0,52,0,962
29,1400000US11001009000,0,0,0,1475
30,1400000US11001009102,5,15,0,1580
31,1400000US11001009201,0,23,0,470
32,1400000US11001009204,0,10,0,1125
33,1400000US11001000100,23,66,11,2591
34,1400000US11001000201,0,0,0,58
35,1400000US11001000400,16,0,0,664
36,1400000US11001000702,0,17,0,2250
37,1400000US11001001002,21,46,0,2161
38,1400000US11001001401,37,16,0,1404
39,1400000US11001001702,24,9,18,829
40,1400000US11001002201,0,30,0,1081
41,1400000US11001002501,14,0,0,866
42,1400000US11001002801,8,62,0,1267
43,1400000US11001002900,0,78,13,1293
44,1400000US11001003301,6,43,11,941
45,1400000US11001003600,26,17,5,1514
46,1400000US11001004002,91,36,8,1653
47,1400000US11001004202,58,31,12,1829
48,,,,,
49,1400000US11001004901,0,20,11,835
50,1400000US11001005600,31,51,7,3335
51,1400000US11001006400,0,23,12,999
52,1400000US11001006801,6,6,0,817
53,1400000US11001007100,37,7,0,993
54,1400000US11001007403,0,24,10,759
55,1400000US11001007408,0,14,0,730
56,1400000US11001007601,0,48,8,1722
57,1400000US11001007703,0,10,7,1758
58,1400000US11001007806,0,11,0,904
59,1400000US11001007901,0,7,0,1428
60,1400000US11001008302,19,35,19,800
61,1400000US11001008702,0,0,0,644
62,1400000US11001008904,0,63,18,1298
63,1400000US11001009203,0,7,0,1092
64,1400000US11001009302,0,24,0,424
65,1400000US11001009504,23,37,19,1228
66,1400000US11001009509,9,15,7,1202
67,1400000US11001009602,0,35,5,1181
68,1400000US11001009603,0,29,0,1522
69,1400000US11001009604,6,0,11,897
70,1400000US11001009700,5,8,10,778
71,1400000US11001009802,0,10,0,584
72,1400000US11001009807,0,34,0,1238
73,1400000US11001009904,0,52,0,721
74,1400000US11001009906,0,15,0,626
75,,,,,
76,,,,,
77,1400000US11001000202,14,34,8,1803
78,1400000US11001000300,0,31,0,2680
79,1400000US11001000501,33,50,8,1601
80,1400000US11001000502,52,33,0,1642
81,1400000US11001000600,7,43,28,1965
82,1400000US11001000701,24,26,0,2826
83,1400000US11001000802,28,40,7,1254
84,1400000US11001000901,4,13,0,1461
85,1400000US11001000902,5,16,0,758
86,1400000US11001001001,27,36,13,2438
87,1400000US11001001100,29,32,12,1778
88,1400000US11001001200,39,79,23,2428
89,1400000US11001001301,16,56,13,1958
90,1400000US11001001302,26,106,0,4391
91,1400000US11001001402,9,14,14,1191
92,1400000US11001001500,37,28,20,2135
93,1400000US11001001600,6,0,0,1618
94,1400000US11001001803,0,46,13,1391
95,1400000US11001001804,5,95,15,1613
96,1400000US11001001901,5,17,0,1408
97,1400000US11001002001,0,22,7,968
98,1400000US11001002002,4,6,9,1234
99,1400000US11001002101,30,46,8,1821
100,1400000US11001002102,15,44,8,1894
101,1400000US11001002202,11,17,0,1199
102,1400000US11001002301,11,18,6,1010
103,1400000US11001002302,15,5,0,535
104,1400000US11001002400,0,45,0,1192
105,1400000US11001002502,22,76,11,1779
106,1400000US11001002600,22,24,0,925
107,1400000US11001002701,24,95,20,2474
108,1400000US11001002702,17,55,44,2376
109,1400000US11001002802,13,99,13,1605
110,1400000US11001003000,12,25,8,897
111,1400000US11001003100,9,17,18,917
112,1400000US11001003200,16,37,0,1481
113,1400000US11001003302,6,20,0,604
114,1400000US11001003400,0,16,12,1024
115,1400000US11001003500,0,4,0,809
116,1400000US11001003700,8,62,0,1645
117,1400000US11001003800,46,84,16,2269
118,1400000US11001003900,63,98,24,2624
119,1400000US11001004001,67,76,8,2079
120,1400000US11001004100,48,19,26,1437
121,1400000US11001004201,156,60,0,1881
122,1400000US11001004300,93,69,16,1613
123,1400000US11001004400,59,17,0,975
124,1400000US11001004600,0,14,17,1023
125,,,,,
126,1400000US11001004801,0,32,0,797
127,1400000US11001004802,16,27,0,1117
128,1400000US11001004902,23,32,0,889
129,,,,,
130,,,,,
131,1400000US11001005201,119,38,16,2792
132,1400000US11001005301,152,69,16,3360
133,1400000US11001005500,52,48,0,3096
134,1400000US11001005800,8,8,0,832
