OBJECTID,GEO.id,dec_oo,dec_ro
1,1400000US11001007407,321,593
2,1400000US11001007409,223,1164
3,1400000US11001007502,249,1329
4,1400000US11001007503,285,614
5,1400000US11001007504,168,659
6,1400000US11001007603,1049,1087
7,1400000US11001007604,644,1103
8,1400000US11001007605,390,1306
9,1400000US11001007707,876,602
10,1400000US11001007708,208,944
11,1400000US11001007709,315,635
12,1400000US11001007803,631,672
13,1400000US11001007804,490,667
14,1400000US11001007807,331,420
15,1400000US11001007808,544,858
16,1400000US11001007809,652,454
17,1400000US11001007903,485,309
18,1400000US11001008001,807,332
19,1400000US11001008002,691,822
20,1400000US11001008200,596,943
21,1400000US11001008301,623,550
22,1400000US11001008402,372,713
23,1400000US11001008410,381,147
24,1400000US11001008701,463,287
25,1400000US11001008802,764,833
26,1400000US11001008803,52,378
27,1400000US11001008804,232,836
28,1400000US11001008903,316,724
29,1400000US11001009000,438,1028
30,1400000US11001009102,633,1001
31,1400000US11001009201,182,320
32,1400000US11001009204,145,958
33,1400000US11001000100,1447,1277
34,1400000US11001000201,20,10
35,1400000US11001000400,451,219
36,1400000US11001000702,476,1826
37,1400000US11001001002,688,1593
38,1400000US11001001401,767,693
39,1400000US11001001702,712,271
40,1400000US11001002201,905,230
41,1400000US11001002501,536,350
42,1400000US11001002801,255,1145
43,1400000US11001002900,561,833
44,1400000US11001003301,611,419
45,1400000US11001003600,275,1328
46,1400000US11001004002,645,1139
47,1400000US11001004202,565,1347
48,,,
49,1400000US11001004901,247,597
50,1400000US11001005600,1237,2319
51,1400000US11001006400,141,844
52,1400000US11001006801,474,452
53,1400000US11001007100,329,757
54,1400000US11001007403,116,747
55,1400000US11001007408,113,656
56,1400000US11001007601,834,1044
57,1400000US11001007703,383,1451
58,1400000US11001007806,420,462
59,1400000US11001007901,512,953
60,1400000US11001008302,497,363
61,1400000US11001008702,261,476
62,1400000US11001008904,193,1231
63,1400000US11001009203,569,603
64,1400000US11001009302,344,147
65,1400000US11001009504,714,604
66,1400000US11001009509,1139,94
67,1400000US11001009602,118,1200
68,1400000US11001009603,487,1126
69,1400000US11001009604,650,273
70,1400000US11001009700,355,510
71,1400000US11001009802,165,409
72,1400000US11001009807,522,737
73,1400000US11001009904,80,698
74,1400000US11001009906,186,507
75,,,
76,,,
77,1400000US11001000202,1075,839
78,1400000US11001000300,1314,1464
79,1400000US11001000501,315,1457
80,1400000US11001000502,849,871
81,1400000US11001000600,1345,822
82,1400000US11001000701,1427,1488
83,1400000US11001000802,750,598
84,1400000US11001000901,1301,162
85,1400000US11001000902,685,154
86,1400000US11001001001,1989,559
87,1400000US11001001100,1409,445
88,1400000US11001001200,1270,1297
89,1400000US11001001301,642,1406
90,1400000US11001001302,1511,3137
91,1400000US11001001402,834,398
92,1400000US11001001500,1953,269
93,1400000US11001001600,1465,168
94,1400000US11001001803,307,1199
95,1400000US11001001804,580,1194
96,1400000US11001001901,1201,310
97,1400000US11001002001,321,725
98,1400000US11001002002,882,378
99,1400000US11001002101,840,1098
100,1400000US11001002102,1151,849
101,1400000US11001002202,588,671
102,1400000US11001002301,763,266
103,1400000US11001002302,161,425
104,1400000US11001002400,792,460
105,1400000US11001002502,736,1184
106,1400000US11001002600,701,262
107,1400000US11001002701,586,2064
108,1400000US11001002702,823,1730
109,1400000US11001002802,151,1587
110,1400000US11001003000,248,777
111,1400000US11001003100,471,444
112,1400000US11001003200,863,691
113,1400000US11001003302,417,226
114,1400000US11001003400,351,707
115,1400000US11001003500,231,603
116,1400000US11001003700,158,1634
117,1400000US11001003800,538,1907
118,1400000US11001003900,736,2118
119,1400000US11001004001,1037,1278
120,1400000US11001004100,728,853
121,1400000US11001004201,713,1454
122,1400000US11001004300,433,1342
123,1400000US11001004400,518,606
124,1400000US11001004600,500,581
125,,,
126,1400000US11001004801,319,517
127,1400000US11001004802,189,988
128,1400000US11001004902,101,901
129,,,
130,,,
131,1400000US11001005201,718,2321
132,1400000US11001005301,1230,2462
133,1400000US11001005500,1097,2176
134,1400000US11001005800,164,700
135,1400000US11001005900,10,652
136,1400000US11001006202,0,0
137,1400000US11001006500,589,811
138,1400000US11001006600,480,570
139,1400000US11001006700,1084,793
140,1400000US11001006802,498,358
141,1400000US11001006804,56,119
142,1400000US11001006900,530,385
143,1400000US11001007000,557,465
144,1400000US11001007200,13,875
145,1400000US11001007301,43,1318
146,1400000US11001007304,318,1165
147,1400000US11001007401,59,834
148,1400000US11001007404,67,879
149,1400000US11001007406,30,908
150,1400000US11001009301,878,247
151,1400000US11001009400,1356,330
152,1400000US11001009501,307,1460
153,1400000US11001009503,1114,93
154,1400000US11001009505,945,204
155,1400000US11001009507,512,143
156,1400000US11001009508,783,533
157,1400000US11001009601,307,415
158,1400000US11001009801,117,568
159,1400000US11001009803,195,779
160,1400000US11001009804,291,613
161,,,
162,,,
163,1400000US11001009901,867,142
164,1400000US11001009902,895,291
165,1400000US11001009903,351,509
166,1400000US11001009905,374,660
167,1400000US11001009907,334,716
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,1400000US11001001902,682,134
178,1400000US11001008100,681,640
179,1400000US11001000801,1981,1299
180,1400000US51059415100,1084,178
181,,,
182,1400000US51059416000,1016,573
183,1400000US51059420100,912,145
184,1400000US51059420800,1080,88
185,1400000US51059421200,624,78
186,1400000US51059421600,886,992
187,1400000US51059421800,795,1216
188,,,
189,,,
190,,,
191,1400000US51059430500,531,39
192,,,
193,,,
194,1400000US51059431900,1027,68
195,1400000US51059432300,1381,262
196,,,
197,1400000US51059440600,782,49
198,1400000US51059450200,682,617
199,1400000US51059450500,807,61
200,,,
201,1400000US51059451300,761,111
202,1400000US51059451900,1113,1032
203,,,
204,,,
205,,,
206,1400000US51059460200,1252,60
207,1400000US51059460300,878,53
208,1400000US51059460600,1153,280
209,1400000US51059461000,753,109
210,,,
211,,,
212,1400000US51059470600,682,248
213,1400000US51059471000,662,142
214,,,
215,,,
216,,,
217,,,
218,1400000US51059481000,613,622
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,1400000US51013100100,1431,230
232,1400000US51013100400,1157,100
233,1400000US51013100800,369,138
234,,,
235,,,
236,,,
237,1400000US51013101900,703,250
238,,,
239,,,
240,,,
241,1400000US51013103402,303,1682
242,,,
243,1400000US51510200103,1104,1716
244,,,
245,1400000US51510200301,211,1208
246,,,
247,1400000US51510200500,245,2438
