GEO_ID_2,ACSaapp
1400000US11001007407,99.7
1400000US11001007409,98.7
1400000US11001007502,98.4
1400000US11001007503,100.0
1400000US11001007504,96.8
1400000US11001007603,89.1
1400000US11001007604,93.5
1400000US11001007605,95.4
1400000US11001007707,96.2
1400000US11001007708,97.6
1400000US11001007709,91.4
1400000US11001007803,98.2
1400000US11001007804,99.1
1400000US11001007807,98.9
1400000US11001007808,97.0
1400000US11001007809,99.0
1400000US11001007903,95.4
1400000US11001008001,48.1
1400000US11001008002,39.1
1400000US11001008200,3.7
1400000US11001008301,13.4
1400000US11001008402,48.3
1400000US11001008410,77.5
1400000US11001008701,90.7
1400000US11001008802,86.2
1400000US11001008803,62.1
1400000US11001008804,96.8
1400000US11001008903,96.0
1400000US11001009000,97.3
1400000US11001009102,90.1
1400000US11001009201,62.1
1400000US11001009204,84.9
1400000US11001000100,1.9
1400000US11001000201,5.8
1400000US11001000400,1.3
1400000US11001000702,7.0
1400000US11001001002,11.3
1400000US11001001401,8.1
1400000US11001001702,64.0
1400000US11001002201,75.4
1400000US11001002501,72.4
1400000US11001002801,41.4
1400000US11001002900,35.7
1400000US11001003301,68.5
1400000US11001003600,50.9
1400000US11001004002,8.0
1400000US11001004202,1.3
1400000US11001004702,58.9
1400000US11001004901,55.4
1400000US11001005600,5.6
1400000US11001006400,89.1
1400000US11001006801,68.5
1400000US11001007100,70.3
1400000US11001007403,99.5
1400000US11001007408,96.9
1400000US11001007601,97.3
1400000US11001007703,93.7
1400000US11001007806,88.0
1400000US11001007901,87.5
1400000US11001008302,11.5
1400000US11001008702,78.6
1400000US11001008904,96.4
1400000US11001009203,76.0
1400000US11001009302,77.2
1400000US11001009504,73.5
1400000US11001009509,88.7
1400000US11001009602,98.5
1400000US11001009603,98.7
1400000US11001009604,99.5
1400000US11001009700,99.6
1400000US11001009802,98.5
1400000US11001009807,98.7
1400000US11001009904,97.7
1400000US11001009906,93.5
1400000US11001010500,47.5
1400000US11001010800,9.3
1400000US11001000202,1.9
1400000US11001000300,1.9
1400000US11001000501,2.5
1400000US11001000502,3.8
1400000US11001000600,8.1
1400000US11001000701,5.4
1400000US11001000802,3.0
1400000US11001000901,3.4
1400000US11001000902,1.0
1400000US11001001001,3.3
1400000US11001001100,1.7
1400000US11001001200,3.1
1400000US11001001301,11.2
1400000US11001001302,4.1
1400000US11001001402,21.4
1400000US11001001500,12.6
1400000US11001001600,72.0
1400000US11001001803,76.6
1400000US11001001804,60.6
1400000US11001001901,82.5
1400000US11001002001,48.4
1400000US11001002002,59.2
1400000US11001002101,63.7
1400000US11001002102,74.1
1400000US11001002202,82.3
1400000US11001002301,78.6
1400000US11001002302,62.6
1400000US11001002400,75.3
1400000US11001002502,43.2
1400000US11001002600,37.7
1400000US11001002701,20.6
1400000US11001002702,16.0
1400000US11001002802,32.7
1400000US11001003000,49.1
1400000US11001003100,39.1
1400000US11001003200,60.3
1400000US11001003302,61.3
1400000US11001003400,79.4
1400000US11001003500,69.4
1400000US11001003700,54.6
1400000US11001003800,22.7
1400000US11001003900,17.8
1400000US11001004001,1.3
1400000US11001004100,1.9
1400000US11001004201,11.9
1400000US11001004300,28.0
1400000US11001004400,29.6
1400000US11001004600,70.8
1400000US11001004701,88.2
1400000US11001004801,49.8
1400000US11001004802,60.6
1400000US11001004902,32.1
1400000US11001005001,29.1
1400000US11001005002,20.3
1400000US11001005201,13.0
1400000US11001005301,15.8
1400000US11001005500,7.7
1400000US11001005800,6.0
1400000US11001005900,39.1
1400000US11001006202,-
1400000US11001006500,3.1
1400000US11001006600,0.0
1400000US11001006700,14.0
1400000US11001006802,59.3
1400000US11001006804,91.1
1400000US11001006900,34.1
1400000US11001007000,11.3
1400000US11001007200,56.9
1400000US11001007301,21.1
1400000US11001007304,99.2
1400000US11001007401,93.9
1400000US11001007404,98.9
1400000US11001007406,100.0
1400000US11001009301,71.4
1400000US11001009400,86.8
1400000US11001009501,53.1
1400000US11001009503,81.0
1400000US11001009505,87.9
1400000US11001009507,91.0
1400000US11001009508,89.5
1400000US11001009601,99.6
1400000US11001009801,98.4
1400000US11001009803,98.0
1400000US11001009804,93.9
1400000US11001009810,93.9
1400000US11001009811,99.3
1400000US11001009901,90.8
1400000US11001009902,94.3
1400000US11001009903,98.5
1400000US11001009905,97.1
1400000US11001009907,96.8
1400000US11001010100,19.7
1400000US11001010200,42.7
1400000US11001010300,60.2
1400000US11001010400,93.5
1400000US11001010600,54.8
1400000US11001010700,14.6
1400000US11001010900,97.2
1400000US11001011000,44.0
1400000US11001011100,85.8
1400000US11001001902,79.6
1400000US11001008100,19.4
1400000US11001000801,2.2
