GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US11001007407,3177,0,12,12
1400000US11001007409,3641,0,48,69
1400000US11001007502,4874,86,37,98
1400000US11001007503,2787,0,29,37
1400000US11001007504,3075,23,68,105
1400000US11001007603,4685,267,46,95
1400000US11001007604,3563,266,38,90
1400000US11001007605,3439,120,82,131
1400000US11001007707,3876,44,22,55
1400000US11001007708,2913,19,73,97
1400000US11001007709,2111,64,40,74
1400000US11001007803,3002,44,17,60
1400000US11001007804,3242,0,54,73
1400000US11001007807,2343,26,7,27
1400000US11001007808,3710,21,34,39
1400000US11001007809,3037,30,55,67
1400000US11001007903,1662,33,0,40
1400000US11001008001,2519,963,22,70
1400000US11001008002,3303,1652,0,52
1400000US11001008200,2695,2348,14,64
1400000US11001008301,2249,1745,46,171
1400000US11001008402,2543,1128,13,33
1400000US11001008410,1490,240,6,33
1400000US11001008701,2074,88,0,27
1400000US11001008802,4573,405,25,86
1400000US11001008803,1526,439,16,29
1400000US11001008804,2785,34,63,104
1400000US11001008903,2575,44,39,91
1400000US11001009000,2412,8,0,0
1400000US11001009102,4603,227,19,39
1400000US11001009201,1326,268,10,33
1400000US11001009204,2636,200,9,19
1400000US11001000100,4701,4279,35,135
1400000US11001000201,3598,3100,0,0
1400000US11001000400,1379,1328,6,22
1400000US11001000702,2899,2045,29,46
1400000US11001001002,3109,2129,47,114
1400000US11001001401,3401,3029,10,63
1400000US11001001702,2360,783,15,66
1400000US11001002201,3305,444,19,49
1400000US11001002501,2272,487,7,21
1400000US11001002801,3555,905,53,123
1400000US11001002900,4077,1250,19,110
1400000US11001003301,3052,700,24,84
1400000US11001003600,4487,1436,49,97
1400000US11001004002,2406,2026,43,178
1400000US11001004202,2447,2015,39,140
1400000US11001004702,,,,
1400000US11001004901,1658,614,13,44
1400000US11001005600,4538,3400,56,145
1400000US11001006400,2051,40,10,45
1400000US11001006801,1688,732,10,22
1400000US11001007100,3088,548,44,88
1400000US11001007403,3413,45,48,82
1400000US11001007408,2678,24,63,77
1400000US11001007601,4521,159,78,134
1400000US11001007703,6518,27,52,69
1400000US11001007806,2105,191,28,39
1400000US11001007901,3926,303,30,37
1400000US11001008302,1825,1543,20,93
1400000US11001008702,1983,355,17,17
1400000US11001008904,3349,71,34,115
1400000US11001009203,3048,358,47,54
1400000US11001009302,1281,195,11,35
1400000US11001009504,3497,714,38,117
1400000US11001009509,3197,299,7,38
1400000US11001009602,3577,14,71,111
1400000US11001009603,3627,40,71,100
1400000US11001009604,2151,57,29,46
1400000US11001009700,3051,7,38,61
1400000US11001009802,1262,20,22,32
1400000US11001009807,3211,28,40,74
1400000US11001009904,1572,47,27,79
1400000US11001009906,1897,0,19,34
1400000US11001010500,,,,
1400000US11001010800,,,,
1400000US11001000202,4080,3787,29,85
1400000US11001000300,5168,4648,80,111
1400000US11001000501,3126,2783,70,161
1400000US11001000502,3129,2538,50,135
1400000US11001000600,5420,4423,61,139
1400000US11001000701,4284,3683,44,94
1400000US11001000802,2786,2516,24,99
1400000US11001000901,7651,7021,6,23
1400000US11001000902,2278,2139,12,33
1400000US11001001001,7977,7032,42,118
1400000US11001001100,4315,3869,6,79
1400000US11001001200,4886,4129,7,148
1400000US11001001301,4369,3207,15,100
1400000US11001001302,6264,5414,130,262
1400000US11001001402,3091,2296,14,51
1400000US11001001500,6169,5127,8,93
1400000US11001001600,4293,981,11,17
1400000US11001001803,2991,331,52,111
