NAME00,SHAPE_AREA,POPU00,AVE_INCM00,FID_,NAME10,SHAPE_AR_1,AREA,PERCENTAGE
41,817012.418001,37000,5000.0,0,41,817012.418001,816930.871774,100.000000621
42.02,208408.872348,46000,7800.0,1,42.02,208408.872348,208388.058648,100.000000623
47,645785.257738,56000,45000.0,16,47.01,321250.323595,321218.17227,49.7456882821
47,645785.257738,56000,45000.0,17,47.02,324534.934143,324502.45458,50.2543110753
48.01,317490.214911,88000,74000.0,2,48.01,317490.214911,317458.507096,100.000004331
48.02,288126.908398,96000,23000.0,3,48.02,288126.908398,288098.077452,99.9999964835
49.01,271888.713754,56000,66000.0,4,49.01,271888.713754,271861.549627,100.00000063
49.02,263884.713392,10000,4000.0,5,49.02,263884.713392,263858.309587,99.9999967028
50,438259.156886,20000,12000.0,14,50.02,233507.972347,233484.622265,53.2807949308
50,438259.156886,20000,12000.0,15,50.01,204751.18454,204730.722908,46.7192038494
51,394260.387503,30000,80000.0,6,101,579753.17126,394220.923847,100.000001433
52.01,339712.976325,27050,3250.0,18,52.01,339712.976325,339679.026525,100.000001619
52.02,185492.783757,4000,46000.0,6,101,579753.17126,185474.23521,100.000004111
53.01,286397.737419,5000,3500.0,7,53.01,286397.737419,286369.115044,99.9999999434
53.02,290796.413671,60000,76000.0,8,107,891587.343448,290767.328994,100.000001721
54.01,298671.723083,10000,1000.0,8,107,891587.343448,298641.843138,100.000001773
54.02,302119.206694,15000,2000.0,8,107,891587.343448,302088.978169,100.000002454
55,637547.862326,36000,5600.0,13,55,637547.862326,637484.101381,99.9999987206
57.01,394838.469277,26000,3000.0,9,108,661584.203784,394798.9262,99.9999999422
57.02,266745.734506,23000,2200.0,9,108,661584.203784,266719.00224,99.9999964192
58,910805.503381,24000,2600.0,10,58,910805.503381,910714.291338,100.000000583
59,643889.008519,29000,9000.0,11,59,643889.008519,643824.525321,100.000002876
62.02,6636980.64229,28000,4500.0,12,62.02,6636980.64229,6636315.25222,99.9999993816
