,NAME10,B_PERCENTA,FID_,B_AVE_INCM,B_AREA,B_POPU00
0,41.0,100.000000621,0,5000.0,816930.876847,37000.0002298
1,42.02,100.000000623,1,7800.0,208388.059946,46000.0002866
2,47.01,49.7456882821,16,45000.0,159792.190683,27857.585438
3,47.02,50.2543110753,17,45000.0,163076.472972,28142.4142022
4,48.01,100.000004331,2,74000.0,317458.520845,88000.0038113
5,48.02,99.9999964835,3,23000.0,288098.067321,95999.9966242
6,49.01,100.00000063,4,66000.0,271861.55134,56000.0003528
7,49.02,99.9999967028,5,4000.0,263858.300887,9999.99967028
8,50.01,46.7192038494,15,12000.0,95648.5637777,9343.84076988
9,50.02,53.2807949308,14,12000.0,124402.462784,10656.1589862
10,52.01,100.000001619,18,3250.0,339679.032024,27050.0004379
11,53.01,99.9999999434,7,3500.0,286369.114882,4999.99999717
12,55.0,99.9999987206,13,5600.0,637484.093225,35999.9995394
13,58.0,100.000000583,10,2600.0,910714.296647,24000.0001399
14,59.0,100.000002876,11,9000.0,643824.543837,29000.000834
15,62.02,99.9999993816,12,4500.0,6636315.21118,27999.9998268
16,101.0,200.000005544,6,126000.0,289847.586166,17000.0002972
17,107.0,300.000005948,8,79000.0,297166.056004,28333.3338593
18,108.0,199.999996361,9,5200.0,330758.959331,24499.9995807
