GEO_ID,DEC_MA,DEC_MPP,DEC_AAPP,DEC_TP,D_AS24L
1400000US11001000100,38.5857142857,45.8571428571,9.47142857143,4562.87100502,64.4154348091
1400000US11001000201,28.2,46.8,3.93333333333,4262.05172908,3419.42963315
1400000US11001000202,33.9,47.6333333333,3.63333333333,3823.92944778,548.464620722
1400000US11001000300,36.44,45.5,4.34,5567.2555294,436.79321716
1400000US11001000400,37.15,44.35,5.73333333333,1591.25426325,3.91767408059
1400000US11001000501,36.5333333333,46.9833333333,9.6,2856.81019391,140.64835211
1400000US11001000502,38.6,42.6,6.55,3221.66856266,26.1077712766
1400000US11001000600,40.4333333333,42.7,8.16666666667,4946.11746742,23.7077752102
1400000US11001000701,39.85,42.8833333333,6.33333333333,4348.28784227,119.371929017
1400000US11001000702,37.825,44.3,4.425,3436.51253368,187.769118882
1400000US11001000801,34.525,43.925,4.725,6682.75524912,917.785414815
1400000US11001000802,35.2666666667,45.7333333333,3.56666666667,2859.83862478,70.6658427943
1400000US11001000901,35.26,44.12,4.88,7140.0310514,2696.44161764
1400000US11001000902,34.7666666667,43.9666666667,4.96666666667,2191.60925285,102.083511386
1400000US11001001001,34.64,44.1,5.34,6025.41573742,106.067486917
1400000US11001001002,37.4285714286,43.1,5.95714285714,3582.64908527,287.770195101
1400000US11001001100,43.475,47.95,7.65,4408.50956205,56.5714165976
1400000US11001001200,42.28,46.66,7.74,4858.20258317,117.197147638
1400000US11001001301,42.6857142857,47.4428571429,33.1285714286,3733.72028326,29.8545169753
1400000US11001001302,39.05,43.675,19.85,6096.63714311,56.2297494905
1400000US11001001401,42.2,46.25,8.1,3219.12501773,38.3319328582
1400000US11001001402,44.425,49.1,9.375,3920.23822386,36.9967015828
1400000US11001001500,46.15,49.475,41.925,5634.46214369,49.8579614307
1400000US11001001600,39.025,50.725,46.975,4045.84660664,34.3034298161
1400000US11001001702,42.2666666667,45.9,79.9333333333,2263.66718863,31.9927493371
1400000US11001001803,39.025,50.725,46.975,3161.01596856,59.5063419348
1400000US11001001804,36.58,48.9,68.92,4025.75632924,108.720731145
1400000US11001001901,41.22,45.46,80.54,3878.77211051,114.339656613
1400000US11001001902,44.6,44.8666666667,85.3666666667,2070.61933305,20.4411561004
1400000US11001002001,39.775,46.425,66.4,2551.38516509,62.7337315685
1400000US11001002002,38.9166666667,46.45,77.4333333333,3755.51752156,117.49237979
1400000US11001002101,40.78,45.98,84.94,5143.71979212,110.764713679
1400000US11001002102,42.4,45.06,88.94,4464.96589099,135.929471687
1400000US11001002201,39.075,45.65,86.4,3643.38417226,86.865572734
1400000US11001002202,35.56,44.94,78.04,3125.27147558,113.016564293
1400000US11001002301,37.65,45.025,80.9,2964.23281045,94.7827206214
1400000US11001002302,33.32,45.12,83.72,1372.51735013,251.519018921
1400000US11001002400,36.9428571429,46.2857142857,78.1428571429,3568.03430967,103.25474031
1400000US11001002501,39.425,47.45,77.425,2577.55650483,77.2474540341
1400000US11001002502,35.2666666667,49.5,68.45,5367.9934028,75.9551502137
1400000US11001002600,38.2125,47.15,45.6375,2220.75338087,41.6625880623
1400000US11001002701,34.2333333333,50.5333333333,41.9,5520.61424748,140.751996806
1400000US11001002702,35.0714285714,48.2285714286,24.9571428571,6010.86170756,159.96359743
1400000US11001002801,31.9333333333,50.7666666667,53.8666666667,3735.10431249,44.4285231979
1400000US11001002802,31.7125,51.675,42.4625,4610.26077672,87.1157759927
1400000US11001002900,31.775,50.325,61.45,4211.72100672,63.2781379671
1400000US11001003000,31.4666666667,50.3,63.1666666667,2833.31750587,63.4466738062
1400000US11001003100,33.5,49.9,67.8,2817.77321139,55.9026842601
1400000US11001003200,29.4666666667,45.0333333333,79.0,4458.98730062,85.7205660541
1400000US11001003301,32.35,46.025,84.4,2704.08264045,69.9178203903
1400000US11001003302,34.62,47.5,92.26,1852.34160886,23.1419882422
1400000US11001003400,31.25,46.6,83.6,4213.34291428,1487.50432493
1400000US11001003500,29.12,47.86,76.7,3504.85460824,1038.21099305
1400000US11001003600,29.4,48.225,70.225,3879.4913576,153.878446147
1400000US11001003700,30.38,50.86,50.3,4902.67113246,439.818630446
1400000US11001003800,32.7333333333,52.3,21.3333333333,4713.88451645,72.5390106893
1400000US11001003900,32.55,50.35,19.15,4534.97453848,35.613872303
1400000US11001004001,34.8333333333,49.65,12.9666666667,3460.35195642,21.9006327243
1400000US11001004002,35.25,51.275,16.95,2822.0970972,22.1174209967
1400000US11001004100,37.875,46.975,4.45,2625.65254223,16.0104567911
1400000US11001004201,32.825,54.35,16.475,3456.99114773,32.1196805077
1400000US11001004202,35.2,52.32,9.18,2904.37931183,16.1464393032
1400000US11001004300,31.7666666667,52.8166666667,43.8166666667,3371.40564857,86.5558083928
1400000US11001004400,29.74,49.32,74.76,2617.2802307,90.3525240499
1400000US11001004600,32.98,49.02,88.94,3004.581033,82.1618929574
1400000US11001004701,34.9,49.425,84.35,4358.4155827,42.0766535643
1400000US11001004702,36.45,51.1,85.4,4381.97911985,41.9997957218
1400000US11001004801,32.1,50.08,79.38,1930.62504737,37.117244166
1400000US11001004802,33.3666666667,48.65,79.0833333333,2828.9280444,51.2459844146
1400000US11001004901,33.7,54.7333333333,58.1,2028.85602616,12.2334548791
1400000US11001004902,32.475,52.35,62.925,2290.37474051,87.062796637
1400000US11001005001,33.7,54.7333333333,58.1,7035.88990821,180.625642266
1400000US11001005002,30.95,57.1,48.55,7260.10965321,186.648787262
1400000US11001005201,33.6125,55.2,28.2,4643.36761858,77.8327019132
1400000US11001005301,33.25,53.85,9.225,4890.84046688,42.2497697554
1400000US11001005500,36.1,48.48,5.88,4635.40997159,186.303955614
1400000US11001005600,37.775,45.5,14.975,5749.90706372,1417.08396452
1400000US11001005800,37.7428571429,47.9285714286,55.8142857143,1467.1322267,14.9351739197
1400000US11001005900,39.875,49.35,73.625,1890.0751072,112.25099348
1400000US11001006202,37.9777777778,-474.6,-531.016666667,95.5612201174,8.32716098374
1400000US11001006400,33.6833333333,47.9166666667,68.8333333333,2263.42174389,64.6864106777
1400000US11001006500,37.1166666667,49.8166666667,38.7166666667,2357.76965726,47.9225353899
1400000US11001006600,36.7833333333,50.6833333333,21.9666666667,1852.54076133,19.949398039
1400000US11001006700,37.15,50.275,54.75,3516.59890987,42.3187177077
1400000US11001006801,36.1333333333,61.0,83.5666666667,2031.67358889,34.0993927473
1400000US11001006802,35.15,56.725,87.5,2064.89246615,23.3946819339
1400000US11001006804,37.8375,50.8,90.2428571429,2600.10640796,12.1780990095
1400000US11001006900,37.38,49.0,67.88,1913.2250476,27.38035397
1400000US11001007000,35.2285714286,50.8142857143,42.0714285714,2138.46939766,78.767216007
1400000US11001007100,35.7,55.1,81.18,2791.62313946,11.2371792454
1400000US11001007200,29.8285714286,48.2857142857,66.6142857143,1827.88201112,8.20108959463
1400000US11001007301,32.5555555556,48.2444444444,75.4333333333,5031.86238119,391.679394818
1400000US11001007304,24.96,42.46,98.28,4588.1765544,55.0184344404
1400000US11001007401,32.3666666667,50.9,81.1166666667,2969.98098828,39.1246587999
1400000US11001007403,23.875,41.925,98.2,2341.60076329,31.3321106327
1400000US11001007404,27.9333333333,47.3333333333,95.2833333333,3255.16290376,26.9678832188
1400000US11001007406,22.125,42.125,98.325,3107.16360352,34.3631741572
1400000US11001007407,22.5,42.14,98.48,2405.83868144,25.1674113983
1400000US11001007408,25.9333333333,43.6333333333,97.9,2240.76544732,12.8329691631
1400000US11001007409,25.5333333333,42.0333333333,98.0666666667,3463.69801475,42.2375394869
1400000US11001007502,29.275,44.75,97.55,3947.6889925,76.9493097923
1400000US11001007503,29.9333333333,44.3166666667,97.0333333333,2532.93752039,42.9263689609
1400000US11001007504,29.0666666667,44.2666666667,97.4166666667,2390.52954751,41.3504561933
1400000US11001007601,32.0142857143,50.4285714286,93.4428571429,4524.1941212,76.5170371566
1400000US11001007603,35.7666666667,44.3333333333,94.1,4253.19602736,107.552136664
1400000US11001007604,38.3285714286,44.9428571429,94.9142857143,3760.51843178,90.036972972
1400000US11001007605,33.86,45.42,96.26,3752.8607216,102.768904193
1400000US11001007703,36.15,42.9833333333,97.0833333333,4589.83608343,73.0688497509
1400000US11001007707,33.62,44.0,97.74,3755.02520488,81.8251176241
1400000US11001007708,36.3,43.475,97.075,2701.02805767,69.7956565591
1400000US11001007709,38.1,51.5,94.1833333333,1991.86137708,59.0308873764
1400000US11001007803,35.5857142857,43.9,97.7857142857,3088.36464885,47.5006158269
1400000US11001007804,36.2,44.5,97.7666666667,3385.77269854,98.5173676864
1400000US11001007806,34.7,46.0333333333,97.6666666667,2140.9408246,37.0516169201
1400000US11001007807,35.1666666667,46.4333333333,97.9333333333,1931.8555399,31.6946566525
1400000US11001007808,35.075,43.875,97.975,3973.37567187,99.6898998138
1400000US11001007809,37.025,45.65,97.725,2664.83830157,33.9304367469
1400000US11001007901,37.1166666667,45.3333333333,88.2333333333,3667.19358802,52.1402971801
1400000US11001007903,35.66,53.46,89.76,1914.63527931,29.363604242
1400000US11001008001,36.84,47.22,76.18,2592.4261935,42.4143204551
1400000US11001008002,36.2,54.2428571429,69.5571428571,3079.06357173,80.7339642415
1400000US11001008100,36.62,49.44,59.78,2524.76690483,62.8817607296
1400000US11001008200,37.06,49.62,31.04,2420.44978969,45.3018169729
1400000US11001008301,37.9,50.8166666667,48.9333333333,2245.14597734,59.7464044027
1400000US11001008302,36.08,49.0,65.44,1973.43298607,14.3490239929
1400000US11001008402,37.5333333333,46.2,86.3333333333,2126.73865727,48.8449907456
1400000US11001008410,34.66,46.98,82.02,1639.13735876,42.3181301331
1400000US11001008701,37.575,48.025,92.85,2409.86429375,12.2264715647
1400000US11001008702,33.3,47.6,85.55,1980.90555772,21.3487272094
1400000US11001008802,34.74,46.44,84.16,4118.78401551,61.5562077501
1400000US11001008803,35.5,46.22,88.8,1935.57659,424.347554143
1400000US11001008804,38.78,46.78,96.275,2276.74533308,17.1499182354
1400000US11001008903,37.475,47.075,96.9333333333,2367.92135515,25.8541792826
1400000US11001008904,37.2,45.7142857143,92.4833333333,3149.31959098,42.6286810231
1400000US11001009000,41.7333333333,42.0,96.3333333333,2275.32502713,28.2548150078
1400000US11001009102,37.7,46.14,82.88,4395.80942825,65.2949568615
1400000US11001009201,36.0875,45.9125,78.125,1496.63619309,175.805816969
1400000US11001009203,35.75,46.35,84.9833333333,2847.79846764,72.3881834557
1400000US11001009204,36.65,46.2333333333,90.4,2284.91110942,54.9325972392
1400000US11001009301,40.54,45.68,86.26,3306.98498992,86.9796424484
1400000US11001009302,38.6666666667,45.4666666667,87.5,1288.80225985,15.2111456385
1400000US11001009400,44.1,45.725,86.375,4163.61549291,97.883152907
1400000US11001009501,38.5625,44.95,80.35,4901.60415999,1269.87131553
1400000US11001009503,44.65,45.15,86.675,3072.89322622,66.1972803361
1400000US11001009504,40.32,46.04,78.14,3329.80855022,90.0515465384
1400000US11001009505,43.75,44.95,86.5,2658.07385506,39.8309322141
