GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001000100,42,1.9,0,67.5,6.4,89.1,2.4,25.9,0.63117284,1485,0.509033778,0.490966222,0.017674784,0,7,5.3,8.6,109947
1400000US11001000201,19.4,5.8,0,0,0,57.1,0,76.5,0,NA,0,0,0,0,NA,NA,NA,NA
1400000US11001000202,27.8,1.9,0,5.5,0,92,1.2,42.7,0.529772329,2000,0.633740289,0.366259711,0.00554939,0.00554939,14.4,11.5,17.4,120114
1400000US11001000300,30.3,1.9,5.1,66.6,3.5,83.9,2.8,21.3,0.179618768,1767,0.522805673,0.477194327,0.030279801,0,12,11.3,12.7,101250
1400000US11001000400,40.7,1.3,35.6,21.8,0.9,89.3,0,26.4,0.505494505,1528,0.626506024,0.373493976,0.013769363,0,4.9,7.5,2.2,158580
1400000US11001000501,30.5,2.5,0,70.1,1.2,89.6,3.5,21.6,0.222222222,1648,0.190452756,0.809547244,0.006397638,0,14.3,7,19.3,87415
1400000US11001000502,39.5,3.8,9.7,86.5,7.5,81.2,0.7,22.8,0.455542022,1319,0.484365782,0.515634218,0.007669617,0.016519174,7.2,6.2,8,95694
1400000US11001000600,48.2,8.1,8.6,58.3,9.3,78.1,1.9,37.6,0.518063584,1452,0.679097154,0.320902846,0.035328754,0,5.3,2.8,7.6,115648
1400000US11001000701,49.3,5.4,6.6,92.5,2.8,85.7,1.6,27.4,0.122587376,1277,0.603019818,0.396980182,0.002831079,0.012268009,1.5,0,2.6,79649
1400000US11001000702,30.3,7,0,92.6,3.6,81,4.7,14.7,0,1298,0.291196388,0.708803612,0,0.011286682,8.6,10,7.5,63794
1400000US11001000801,43.1,2.2,0,20.8,5.2,81.9,5.6,32.2,0.283477322,1775,0.590184831,0.409815169,0.027087317,0,7,8,6.1,114732
1400000US11001000802,41.1,3,10.7,74.7,3.3,87.7,1.6,33.3,0.16646849,1237,0.622962963,0.377037037,0.005185185,0,8.1,9.3,6.9,92000
1400000US11001000901,19.8,3.4,0,3.2,2.8,88.6,2.2,59,0.752661753,1591,0.831743869,0.168256131,0.008174387,0,4.9,5.5,4.3,213889
1400000US11001000902,41.6,1,0,0,6.1,82.5,3,33,0.385459534,2000,0.87515006,0.12484994,0,0,5.7,1.9,9.3,163750
1400000US11001001001,36.4,3.3,1.2,27.5,1.5,84.6,1.5,35.6,0.133992806,1615,0.801152738,0.198847262,0.024495677,0,7.7,9.6,6,142697
1400000US11001001002,32.8,11.3,6.5,35.8,7.6,73.8,2.2,17.5,0,1481,0.40932914,0.59067086,0.004192872,0,15.9,11.3,19,85543
1400000US11001001100,42,1.7,10.2,43.1,4.6,85.3,0.6,25.9,0.284960422,1643,0.834801762,0.165198238,0.032488987,0.021475771,7.4,6.1,8.5,141607
1400000US11001001200,35,3.1,2.5,66.7,5.4,85,2,23.9,0.157267673,1559,0.497431845,0.502568155,0.008692217,0,9.7,7.3,11.6,93785
1400000US11001001301,37,11.2,9.1,77,4.1,88.7,2.6,28.8,0.61754386,1714,0.274302214,0.725697786,0,0,10.1,14.2,5.8,88981
1400000US11001001302,34.4,4.1,0,88.7,2.3,87.8,2.2,22.2,0.093529789,1560,0.326500732,0.673499268,0,0,6.4,5.1,7.5,78961
1400000US11001001401,39.6,8.1,7,53.8,6.1,88.5,0.5,30.1,0.372368421,1406,0.529616725,0.470383275,0.016724739,0.006271777,6.2,6.8,5.6,109609
1400000US11001001402,46.7,21.4,24.4,0,7.8,71.2,3.1,41.4,0.06434024,891,0.652669039,0.347330961,0,0,6.8,3.4,9.9,100750
1400000US11001001500,46.4,12.6,10.1,63.9,2.9,82.3,0.4,38.5,0.219205631,2000,0.929005138,0.070994862,0.017748716,0,3,3.2,2.8,179125
1400000US11001001600,47.4,72,24.3,43,8.5,74.6,1.6,37.3,0.068181818,942,0.882075472,0.117924528,0.008254717,0.002948113,3.9,1.6,5.9,133824
1400000US11001001702,38.3,64,0,33.3,20,47,5.3,26.5,0.04628331,1377,0.675829384,0.324170616,0.012322275,0.022748815,9.9,9.9,9.8,91989
1400000US11001001803,44,76.6,28.5,6.2,24.8,32.3,10,27.3,0.079545455,883,0.222082019,0.777917981,0.015772871,0.025236593,14.3,12.9,15.5,35350
1400000US11001001804,37.1,60.6,36.6,0,23.5,23.8,8,30,0,876,0.234303216,0.765696784,0.034711588,0.061766207,26.5,23.1,29.8,40281
1400000US11001001901,42.6,82.5,27.8,12.4,19.4,38.1,5.3,36.8,0,822,0.824761905,0.175238095,0.067301587,0.052063492,10.6,4.6,14.9,48073
1400000US11001001902,46.5,79.6,21.7,23.6,19.7,38,4.5,42.6,0,985,0.762352941,0.237647059,0.025882353,0.065882353,7.8,8.7,7,72273
1400000US11001002001,39.4,48.4,41,40.4,19.6,41.4,0.7,27.2,0.098522167,1005,0.40438247,0.59561753,0.003984064,0,7,9.4,4.9,43478
1400000US11001002002,43.9,59.2,18.5,17,24.3,39.1,6,32.6,0.022675737,861,0.605769231,0.394230769,0.001373626,0.075549451,11.5,12.1,11,53373
1400000US11001002101,36.2,63.7,37.9,9.5,32.1,14.5,9.4,35.4,0,916,0.506399555,0.493600445,0.050639955,0.068447412,17,18.1,16,41886
1400000US11001002102,39.2,74.1,17.3,0,24.6,30.1,6.6,32.3,0,938,0.547728433,0.452271567,0.024502297,0.084226646,12.2,8.9,14.3,42522
1400000US11001002201,36.1,75.4,22.6,11.1,19.2,28.6,7.3,35.7,0,1183,0.818266542,0.181733458,0.073625349,0,3.5,3.2,3.9,70541
