GEO_ID,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC
1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072
1400000US11001000201,19.9,5.4,0.005835668,0,0.125,60.8,2.1,45.9,0,0,115066.34,0.711442786,0,0.711442786,0.666666667,0.333333333,0.0,0.0
1400000US11001000202,32.9,1.6,0.524977293,0,0.027926078,85.3,0.3,31.9,0.099873578,1827.364,118664.78,0.244749806,0.090225564,0.154524242,0.561650993,0.438349007,0.00261233,0.003657262
1400000US11001000300,30.4,3.1,0.536057692,0.044070513,0.053093035,83.5,1.6,25.2,0.033206831,1294.601,96287.42,0.156173913,0.073913043,0.08226087,0.47300216,0.52699784,0.011519078,0.003599712
1400000US11001000400,45.2,4.4,0.716216216,0,0.067612688,81.5,0.2,35.9,0.256666667,1645.413,169035.1,0.029980013,0.003331113,0.026648901,0.673134328,0.326865672,0.0,0.0
1400000US11001000501,32.5,4.8,0.565217391,0.033248082,0.046770601,83.3,2.9,19.3,0,1277.584,85766.99,0.059587471,0.023300229,0.036287242,0.177765237,0.822234763,0.00282167,0.0
1400000US11001000502,38.0,2.7,0.634285714,0.182857143,0.038120909,82.2,1.1,19.3,0.056530214,1205.589,87460.84,0.043435663,0.025146963,0.0182887,0.493604651,0.506395349,0.014534884,0.0
1400000US11001000600,45.6,12.8,0.718954248,0.10130719,0.061403509,72.5,0.6,36.7,0.113983549,1144.066,117164.66,0.048018648,0.013053613,0.034965035,0.620673743,0.379326257,0.017535764,0.008306414
1400000US11001000701,44.5,3.6,0.585427136,0.113065327,0.075990299,72.4,2.6,33.7,0.024590164,990.913,69992.23,0.057565415,0.023435722,0.034129693,0.489536878,0.510463122,0.005831904,0.0
1400000US11001000702,31.2,6.6,0.586805556,0,0.056565657,77.1,2.2,23.6,0,1000.076,48752.4,0.189518586,0.08226691,0.107251676,0.206776716,0.793223284,0.009122502,0.020851434
1400000US11001000801,41.1,4.3,0.2,0.024521073,0.063024306,80.3,13.8,29.9,0.189734189,1599.598,105068.19,0.073974895,0.032301255,0.04167364,0.603963415,0.396036585,0.016463415,0.010060976
1400000US11001000802,34.3,3.3,0.713846154,0.061538462,0.032848428,86.3,1.1,28.9,0.0640625,1036.728,100686.97,0.134354954,0.05274412,0.081610834,0.556379822,0.443620178,0.007418398,0.011127596
1400000US11001000901,21.4,5.7,0.058153477,0.020983213,0.050875454,84,46.4,20.7,0.206349206,1610.07,210525.16,0.044342508,0.023955148,0.02038736,0.889268626,0.110731374,0.01367054,0.004101162
1400000US11001000902,41.8,4.9,0.380952381,0.297619048,0.055862069,81.4,0.6,25.1,0.058430718,1187.263,156990.99,0.031520081,0.020335536,0.011184545,0.816448153,0.183551847,0.017878427,0.0
1400000US11001001001,40.5,3.2,0.562682216,0.081632653,0.0646086,82.1,2,26.2,0.004731861,1532.839,143688.93,0.045859452,0.017321016,0.028538436,0.780612245,0.219387755,0.019623234,0.0
1400000US11001001002,31.5,6.3,0.437229437,0.063492063,0.042973287,86.6,1.8,27.2,0,1213.443,64987.92,0.181186686,0.070911722,0.110274964,0.301622096,0.698377904,0.009206488,0.015344147
1400000US11001001100,42.4,5.7,0.404347826,0.191304348,0.088778201,78.3,1,26.4,0.01384083,1305.073,135067.86,0.020369493,0.012316438,0.008053055,0.759978425,0.240021575,0.01618123,0.0
1400000US11001001200,37.4,5.8,0.649159664,0.06092437,0.065001343,80.8,1.3,19.2,0.009111617,1200.353,101778.68,0.071869852,0.030065898,0.041803954,0.494740943,0.505259057,0.01830931,0.012076354
